environment,seed,method_id,method,episodes,collision_rmst_steps,source_file,source_sha256,source_status
MetaDrive,3,epsilon,Epsilon-Greedy,300,91.98413376674164,04_data/raw/baselines/seed_3/epsilon/all_episode_results.csv,0f3f60b6f43fe116438fcfd0fe0a647bf1186d42c9360ca2e5a54fc264e0f5ec,original_23_seed_archive
MetaDrive,3,noisy,NoisyNet DQN,300,57.19618311323093,04_data/raw/baselines/seed_3/noisy/all_episode_results.csv,b299ac2c75b6da406dce16ce7c04c9955abea1dbe84013a81d1a33dea00146ed,original_23_seed_archive
MetaDrive,3,rnd,DQN + RND,300,90.55821568383018,04_data/raw/baselines/seed_3/rnd/all_episode_results.csv,177662d9e8f515bce3616ae7bb0ff9167b78bcd230992e0347eec7a74e64e2ff,original_23_seed_archive
MetaDrive,3,safetypool,SafetyPool,300,175.7489155191007,04_data/raw/safetypool/seed_3/all_episode_results.csv,276833f5b71dfa4ab132c66a480db89eb7282b7d4187461b3150e083026132c1,original_23_seed_archive
MetaDrive,5,epsilon,Epsilon-Greedy,300,90.71464681749076,04_data/raw/baselines/seed_5/epsilon/all_episode_results.csv,6c748799c02c415b48699973c612dc4168b933cc37f30da9e004f48101f537fe,original_23_seed_archive
MetaDrive,5,noisy,NoisyNet DQN,300,253.63187361419068,04_data/raw/baselines/seed_5/noisy/all_episode_results.csv,e75642995d46b5660802fffb166bfc640819aa0695401f094f454484ce8eef6d,original_23_seed_archive
MetaDrive,5,rnd,DQN + RND,300,90.805500629768,04_data/raw/baselines/seed_5/rnd/all_episode_results.csv,5c092983733191d3271a7ee03b433ac94738c62db3ca431991f29ec4d9beb57c,original_23_seed_archive
MetaDrive,5,safetypool,SafetyPool,300,445.5154633000311,04_data/raw/safetypool/seed_5/all_episode_results.csv,35cc9912e39ae8870378c434bcd7f0827f22a26c9f84293bb2e860c7d8eb37b9,original_23_seed_archive
MetaDrive,7,epsilon,Epsilon-Greedy,300,92.51439539676608,04_data/raw/baselines/seed_7/epsilon/all_episode_results.csv,4ade363adb79653acd23a4d5f75179aa083f892e2b8b5f4e81acbe8a6ceddda9,original_23_seed_archive
MetaDrive,7,noisy,NoisyNet DQN,300,329.5953917468404,04_data/raw/baselines/seed_7/noisy/all_episode_results.csv,1f3fe4f40e3d7d743dbdf7d3ad5dbeb61213aef49373b7c95c612a130d3d52a6,original_23_seed_archive
MetaDrive,7,rnd,DQN + RND,300,99.17323350106057,04_data/raw/baselines/seed_7/rnd/all_episode_results.csv,67c5ecfd84d20931e2b0b9b6fe020dcfec4a2a42905034fb5da7d40f221fb9c4,original_23_seed_archive
MetaDrive,7,safetypool,SafetyPool,300,150.17008336183372,04_data/raw/safetypool/seed_7/all_episode_results.csv,c006316129fa107b3105a257e7f31f295b70a3421427c42e3be515715db1a6a5,original_23_seed_archive
MetaDrive,9,epsilon,Epsilon-Greedy,300,91.6726124123028,04_data/raw/baselines/seed_9/epsilon/all_episode_results.csv,c6675955bf8194d20c5474c3082dc2ed2f21e4f9d72baca573b94579669d7450,original_23_seed_archive
MetaDrive,9,noisy,NoisyNet DQN,300,105.6530612244898,04_data/raw/baselines/seed_9/noisy/all_episode_results.csv,0730e76c43ac84a187a84f1ea963808ad1b66aae99b54e964dc8c1a8db26ea19,original_23_seed_archive
MetaDrive,9,rnd,DQN + RND,300,94.5518752575442,04_data/raw/baselines/seed_9/rnd/all_episode_results.csv,4b3d17448a84cfd5d1d832f5f0115041ab92cb4301548c4cb1f74c747ca30ad5,original_23_seed_archive
MetaDrive,9,safetypool,SafetyPool,300,148.3572350438874,04_data/raw/safetypool/seed_9/all_episode_results.csv,52571bb09d5747203e321115581553c1cee04491958a3bcd3439027631b62734,original_23_seed_archive
MetaDrive,13,epsilon,Epsilon-Greedy,300,90.72325318671656,04_data/raw/baselines/seed_13/epsilon/all_episode_results.csv,006ad4bebd9cb06dc9097f4451134b3ffb8c688a528fb69c7b703e5492e2de3b,original_23_seed_archive
MetaDrive,13,noisy,NoisyNet DQN,300,253.63187361419068,04_data/raw/baselines/seed_13/noisy/all_episode_results.csv,b8cab681021690f756822eec7564a136b50893382201c31f521206223cb2f337,original_23_seed_archive
MetaDrive,13,rnd,DQN + RND,300,94.15366610246454,04_data/raw/baselines/seed_13/rnd/all_episode_results.csv,d1617a8cfc8a85a07cb196f6c96929af9178d7348c7c0414bc77aab7aaae47f1,original_23_seed_archive
MetaDrive,13,safetypool,SafetyPool,300,500.0,04_data/raw/safetypool/seed_13/all_episode_results.csv,cbdfb036bb06d8fd9c449a1122e69bb35d7cc847aa8b96d1781d12eb31cd4dba,original_23_seed_archive
MetaDrive,17,epsilon,Epsilon-Greedy,300,91.25496899970018,04_data/raw/baselines/seed_17/epsilon/all_episode_results.csv,de2b020e3d7aa5d73316fb31027c0e6a575f7fa296c6eb9f7123ef0b291ff8a7,original_23_seed_archive
MetaDrive,17,noisy,NoisyNet DQN,300,95.75655280794813,04_data/raw/baselines/seed_17/noisy/all_episode_results.csv,c4752e04bce5e289ff1da3a3143698005104035f9d99bd4ff714cfced3e4292c,original_23_seed_archive
MetaDrive,17,rnd,DQN + RND,300,120.66234327442956,04_data/raw/baselines/seed_17/rnd/all_episode_results.csv,7ef99ff18de9ca6664d6a4dc2638691b26617ee51908bfb0ee43403c344f7a94,original_23_seed_archive
MetaDrive,17,safetypool,SafetyPool,300,90.6235668314648,04_data/raw/safetypool/seed_17/all_episode_results.csv,368f0c85ad23b38559821d4c11c2ce8f4d6ed2dae0c28e7bd6719b22230f84c0,original_23_seed_archive
MetaDrive,19,epsilon,Epsilon-Greedy,300,91.30507846734226,04_data/raw/baselines/seed_19/epsilon/all_episode_results.csv,33c7a18d44b1fbc1d0aac2a73f455fb58448dfd3d4abdd2f7289a512f286cbc2,original_23_seed_archive
MetaDrive,19,noisy,NoisyNet DQN,300,66.72344277471447,04_data/raw/baselines/seed_19/noisy/all_episode_results.csv,0b269c0bdd76a0207866d9c7555ec5970af1d66392c9484847563a66abafa53d,original_23_seed_archive
MetaDrive,19,rnd,DQN + RND,300,90.76395447692047,04_data/raw/baselines/seed_19/rnd/all_episode_results.csv,ceff4b6915c8f50315aa569ddff6f0debc6e6f0a49950778d56c4dea854c56f6,original_23_seed_archive
MetaDrive,19,safetypool,SafetyPool,300,170.0386831725336,04_data/raw/safetypool/seed_19/all_episode_results.csv,0007c3d611dfcfed033d2760f9487e0efab597426e5f8739e9b72cad2bf6202d,original_23_seed_archive
MetaDrive,29,epsilon,Epsilon-Greedy,300,91.10433030580052,04_data/raw/baselines/seed_29/epsilon/all_episode_results.csv,f9bf74e14c5e4b1dafc0467e68e02e70de3ae39994a38d492a7db997db193912,original_23_seed_archive
MetaDrive,29,noisy,NoisyNet DQN,300,90.63902567190132,04_data/raw/baselines/seed_29/noisy/all_episode_results.csv,eef40cebaa9787c6d671a90f8b6336a398e57db287c911422938a18a1840d632,original_23_seed_archive
MetaDrive,29,rnd,DQN + RND,300,85.62066073000952,04_data/raw/baselines/seed_29/rnd/all_episode_results.csv,bfea43a4aed1206e44ff93fb22f4203f6b7a4c9b8ff544a1c198d163747ddf73,original_23_seed_archive
MetaDrive,29,safetypool,SafetyPool,300,87.80932608858087,04_data/raw/safetypool/seed_29/all_episode_results.csv,c98b9ab4df36ef329824bad2c4b9256197af84c5d3d05559e2bff0b28d4effc6,original_23_seed_archive
MetaDrive,31,epsilon,Epsilon-Greedy,300,91.25083896377136,04_data/raw/baselines/seed_31/epsilon/all_episode_results.csv,5bab8c186098c3a7cd7c342871482b0f259718609df9477c775d2294f361d3d5,original_23_seed_archive
MetaDrive,31,noisy,NoisyNet DQN,300,90.86087616104096,04_data/raw/baselines/seed_31/noisy/all_episode_results.csv,ebd4efe42d4fb2bf0b20b3373a9ddcf6cf1ec9191cc569fdcb69d3afbded6ee3,original_23_seed_archive
MetaDrive,31,rnd,DQN + RND,300,91.68630154648238,04_data/raw/baselines/seed_31/rnd/all_episode_results.csv,5c5e305a42fd995983c04a3dcaa0c5332b9fdc180deb4c686872dd7999462f11,original_23_seed_archive
MetaDrive,31,safetypool,SafetyPool,300,472.15263157894736,04_data/raw/safetypool/seed_31/all_episode_results.csv,6e9e448e47bd7d06bee39ef0359755c58263d7ee3b6e4695260124ef6c68cc8c,original_23_seed_archive
MetaDrive,33,epsilon,Epsilon-Greedy,300,94.12252302214335,04_data/raw/baselines/seed_33/epsilon/all_episode_results.csv,7d0885b6cf2291f1c41d978b2f6a232a6433ea0353595b05f7f4f589bce7161b,original_23_seed_archive
MetaDrive,33,noisy,NoisyNet DQN,300,90.5316493397152,04_data/raw/baselines/seed_33/noisy/all_episode_results.csv,65a011e20ebcd415e6a5c1ea7b70409c930df27dc68da5a45500aba920305f9b,original_23_seed_archive
MetaDrive,33,rnd,DQN + RND,300,240.14259085871933,04_data/raw/baselines/seed_33/rnd/all_episode_results.csv,3f577cd922f2539560fbf026c38b7dcb23df67d35003828b1e263752f33461d2,original_23_seed_archive
MetaDrive,33,safetypool,SafetyPool,300,500.0,04_data/raw/safetypool/seed_33/all_episode_results.csv,8796dc6d8f8eff3239effe2590dfe3fc0426c22f09c67fb2f2c06fc255243fd6,original_23_seed_archive
MetaDrive,38,epsilon,Epsilon-Greedy,300,90.11880626930125,04_data/raw/baselines/seed_38/epsilon/all_episode_results.csv,f2dfeca16d21c2c48095173e83514a62883cc4a042edeb78fb69576284a73065,original_23_seed_archive
