series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,25,25,116,0.0,0.0,215.51724137931035,1.0,215.51724137931035,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,7,22,25,109,64.22018348623853,0.28,201.8348623853211,0.88,229.3577981651376,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,17,9,25,109,155.96330275229357,0.68,82.56880733944953,0.36,229.3577981651376,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,16,11,25,113,141.5929203539823,0.64,97.34513274336283,0.44,221.23893805309734,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,14,13,25,111,126.12612612612612,0.56,117.11711711711712,0.52,225.22522522522522,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,12,14,25,103,116.50485436893204,0.48,135.92233009708738,0.56,242.71844660194174,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,16,11,25,113,141.5929203539823,0.64,97.34513274336283,0.44,221.23893805309734,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,17,8,25,114,149.12280701754386,0.68,70.17543859649123,0.32,219.2982456140351,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,17,10,25,121,140.49586776859505,0.68,82.64462809917356,0.4,206.61157024793388,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,14,14,25,122,114.75409836065573,0.56,114.75409836065573,0.56,204.91803278688525,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,18,8,25,130,138.46153846153845,0.72,61.53846153846154,0.32,192.30769230769232,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,16,14,25,121,132.23140495867767,0.64,115.70247933884298,0.56,206.61157024793388,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,17,11,25,99,171.7171717171717,0.68,111.11111111111111,0.44,252.5252525252525,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,14,14,25,107,130.84112149532712,0.56,130.84112149532712,0.56,233.6448598130841,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,17,10,25,119,142.85714285714286,0.68,84.03361344537815,0.4,210.08403361344537,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,11,15,25,89,123.59550561797752,0.44,168.53932584269663,0.6,280.8988764044944,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,15,13,25,125,120.0,0.6,104.0,0.52,200.0,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,16,14,25,124,129.03225806451613,0.64,112.90322580645162,0.56,201.61290322580646,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,12,15,25,150,80.0,0.48,100.0,0.6,166.66666666666666,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,15,11,25,109,137.61467889908258,0.6,100.91743119266054,0.44,229.3577981651376,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,25,2,25,117,213.67521367521368,1.0,17.094017094017094,0.08,213.67521367521368,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,25,2,25,124,201.61290322580646,1.0,16.129032258064516,0.08,201.61290322580646,1.0
epsilon,Epsilon Greedy,test,3,50,74,25,25,3,25,129,193.7984496124031,1.0,23.25581395348837,0.12,193.7984496124031,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,25,3,25,134,186.56716417910448,1.0,22.388059701492537,0.12,186.56716417910448,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,25,2,25,127,196.8503937007874,1.0,15.748031496062993,0.08,196.8503937007874,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,25,3,25,131,190.83969465648855,1.0,22.900763358778626,0.12,190.83969465648855,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,25,0,25,115,217.3913043478261,1.0,0.0,0.0,217.3913043478261,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,25,1,25,131,190.83969465648855,1.0,7.633587786259542,0.04,190.83969465648855,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,25,0,25,142,176.05633802816902,1.0,0.0,0.0,176.05633802816902,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,25,2,25,142,176.05633802816902,1.0,14.084507042253522,0.08,176.05633802816902,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,25,3,25,136,183.8235294117647,1.0,22.058823529411764,0.12,183.8235294117647,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,25,3,25,140,178.57142857142858,1.0,21.428571428571427,0.12,178.57142857142858,1.0
noisy,NoisyNet DQN,train,1,0,24,25,2,24,25,56,35.714285714285715,0.08,428.57142857142856,0.96,446.42857142857144,1.0
noisy,NoisyNet DQN,train,2,25,49,25,0,25,25,75,0.0,0.0,333.3333333333333,1.0,333.3333333333333,1.0
noisy,NoisyNet DQN,train,3,50,74,25,3,23,25,76,39.473684210526315,0.12,302.63157894736844,0.92,328.94736842105266,1.0
noisy,NoisyNet DQN,train,4,75,99,25,17,11,25,165,103.03030303030303,0.68,66.66666666666667,0.44,151.5151515151515,1.0
noisy,NoisyNet DQN,train,5,100,124,25,25,0,25,157,159.23566878980893,1.0,0.0,0.0,159.23566878980893,1.0
noisy,NoisyNet DQN,train,6,125,149,25,25,0,25,141,177.3049645390071,1.0,0.0,0.0,177.3049645390071,1.0
noisy,NoisyNet DQN,train,7,150,174,25,25,0,25,139,179.85611510791367,1.0,0.0,0.0,179.85611510791367,1.0
noisy,NoisyNet DQN,train,8,175,199,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
noisy,NoisyNet DQN,train,9,200,224,25,25,0,25,143,174.82517482517483,1.0,0.0,0.0,174.82517482517483,1.0
noisy,NoisyNet DQN,train,10,225,249,25,25,0,25,131,190.83969465648855,1.0,0.0,0.0,190.83969465648855,1.0
noisy,NoisyNet DQN,train,11,250,274,25,25,0,25,137,182.4817518248175,1.0,0.0,0.0,182.4817518248175,1.0
noisy,NoisyNet DQN,train,12,275,299,25,25,0,25,192,130.20833333333334,1.0,0.0,0.0,130.20833333333334,1.0
noisy,NoisyNet DQN,train,13,300,324,25,25,0,25,144,173.61111111111111,1.0,0.0,0.0,173.61111111111111,1.0
noisy,NoisyNet DQN,train,14,325,349,25,25,0,25,142,176.05633802816902,1.0,0.0,0.0,176.05633802816902,1.0
noisy,NoisyNet DQN,train,15,350,374,25,25,0,25,138,181.15942028985506,1.0,0.0,0.0,181.15942028985506,1.0
noisy,NoisyNet DQN,train,16,375,399,25,25,0,25,138,181.15942028985506,1.0,0.0,0.0,181.15942028985506,1.0
noisy,NoisyNet DQN,train,17,400,424,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
noisy,NoisyNet DQN,train,18,425,449,25,25,0,25,145,172.41379310344828,1.0,0.0,0.0,172.41379310344828,1.0
noisy,NoisyNet DQN,train,19,450,474,25,25,0,25,158,158.22784810126583,1.0,0.0,0.0,158.22784810126583,1.0
noisy,NoisyNet DQN,train,20,475,499,25,25,0,25,144,173.61111111111111,1.0,0.0,0.0,173.61111111111111,1.0
noisy,NoisyNet DQN,test,1,0,24,25,25,0,25,123,203.2520325203252,1.0,0.0,0.0,203.2520325203252,1.0
noisy,NoisyNet DQN,test,2,25,49,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
noisy,NoisyNet DQN,test,3,50,74,25,25,0,25,144,173.61111111111111,1.0,0.0,0.0,173.61111111111111,1.0
noisy,NoisyNet DQN,test,4,75,99,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
noisy,NoisyNet DQN,test,5,100,124,25,25,0,25,135,185.1851851851852,1.0,0.0,0.0,185.1851851851852,1.0
noisy,NoisyNet DQN,test,6,125,149,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
noisy,NoisyNet DQN,test,7,150,174,25,25,0,25,115,217.3913043478261,1.0,0.0,0.0,217.3913043478261,1.0
noisy,NoisyNet DQN,test,8,175,199,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
noisy,NoisyNet DQN,test,9,200,224,25,25,0,25,154,162.33766233766235,1.0,0.0,0.0,162.33766233766235,1.0
noisy,NoisyNet DQN,test,10,225,249,25,25,0,25,156,160.25641025641025,1.0,0.0,0.0,160.25641025641025,1.0
noisy,NoisyNet DQN,test,11,250,274,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
noisy,NoisyNet DQN,test,12,275,299,25,25,0,25,150,166.66666666666666,1.0,0.0,0.0,166.66666666666666,1.0
rnd,DQN + RND,train,1,0,24,25,0,25,25,116,0.0,0.0,215.51724137931035,1.0,215.51724137931035,1.0
rnd,DQN + RND,train,2,25,49,25,7,22,25,109,64.22018348623853,0.28,201.8348623853211,0.88,229.3577981651376,1.0
rnd,DQN + RND,train,3,50,74,25,17,9,25,109,155.96330275229357,0.68,82.56880733944953,0.36,229.3577981651376,1.0
rnd,DQN + RND,train,4,75,99,25,16,11,25,113,141.5929203539823,0.64,97.34513274336283,0.44,221.23893805309734,1.0
rnd,DQN + RND,train,5,100,124,25,14,13,25,111,126.12612612612612,0.56,117.11711711711712,0.52,225.22522522522522,1.0
rnd,DQN + RND,train,6,125,149,25,12,14,25,103,116.50485436893204,0.48,135.92233009708738,0.56,242.71844660194174,1.0
rnd,DQN + RND,train,7,150,174,25,16,11,25,113,141.5929203539823,0.64,97.34513274336283,0.44,221.23893805309734,1.0
rnd,DQN + RND,train,8,175,199,25,17,8,25,114,149.12280701754386,0.68,70.17543859649123,0.32,219.2982456140351,1.0
rnd,DQN + RND,train,9,200,224,25,17,10,25,121,140.49586776859505,0.68,82.64462809917356,0.4,206.61157024793388,1.0
rnd,DQN + RND,train,10,225,249,25,14,13,25,122,114.75409836065573,0.56,106.55737704918033,0.52,204.91803278688525,1.0
rnd,DQN + RND,train,11,250,274,25,18,8,25,130,138.46153846153845,0.72,61.53846153846154,0.32,192.30769230769232,1.0
rnd,DQN + RND,train,12,275,299,25,16,14,25,121,132.23140495867767,0.64,115.70247933884298,0.56,206.61157024793388,1.0
rnd,DQN + RND,train,13,300,324,25,17,11,25,99,171.7171717171717,0.68,111.11111111111111,0.44,252.5252525252525,1.0
rnd,DQN + RND,train,14,325,349,25,14,14,25,107,130.84112149532712,0.56,130.84112149532712,0.56,233.6448598130841,1.0
rnd,DQN + RND,train,15,350,374,25,17,10,25,119,142.85714285714286,0.68,84.03361344537815,0.4,210.08403361344537,1.0
rnd,DQN + RND,train,16,375,399,25,11,15,25,89,123.59550561797752,0.44,168.53932584269663,0.6,280.8988764044944,1.0
rnd,DQN + RND,train,17,400,424,25,15,13,25,125,120.0,0.6,104.0,0.52,200.0,1.0
rnd,DQN + RND,train,18,425,449,25,16,14,25,124,129.03225806451613,0.64,112.90322580645162,0.56,201.61290322580646,1.0
rnd,DQN + RND,train,19,450,474,25,12,15,25,150,80.0,0.48,100.0,0.6,166.66666666666666,1.0
rnd,DQN + RND,train,20,475,499,25,15,11,25,109,137.61467889908258,0.6,100.91743119266054,0.44,229.3577981651376,1.0
rnd,DQN + RND,test,1,0,24,25,25,2,25,117,213.67521367521368,1.0,17.094017094017094,0.08,213.67521367521368,1.0
rnd,DQN + RND,test,2,25,49,25,25,2,25,124,201.61290322580646,1.0,16.129032258064516,0.08,201.61290322580646,1.0
rnd,DQN + RND,test,3,50,74,25,25,2,25,128,195.3125,1.0,15.625,0.08,195.3125,1.0
rnd,DQN + RND,test,4,75,99,25,25,2,25,134,186.56716417910448,1.0,14.925373134328359,0.08,186.56716417910448,1.0
rnd,DQN + RND,test,5,100,124,25,25,2,25,127,196.8503937007874,1.0,15.748031496062993,0.08,196.8503937007874,1.0
rnd,DQN + RND,test,6,125,149,25,25,2,25,133,187.9699248120301,1.0,15.037593984962406,0.08,187.9699248120301,1.0
rnd,DQN + RND,test,7,150,174,25,25,0,25,115,217.3913043478261,1.0,0.0,0.0,217.3913043478261,1.0
rnd,DQN + RND,test,8,175,199,25,25,1,25,131,190.83969465648855,1.0,7.633587786259542,0.04,190.83969465648855,1.0
rnd,DQN + RND,test,9,200,224,25,24,1,25,145,165.51724137931035,0.96,6.896551724137931,0.04,172.41379310344828,1.0
rnd,DQN + RND,test,10,225,249,25,25,2,25,144,173.61111111111111,1.0,13.88888888888889,0.08,173.61111111111111,1.0
rnd,DQN + RND,test,11,250,274,25,25,2,25,139,179.85611510791367,1.0,14.388489208633093,0.08,179.85611510791367,1.0
rnd,DQN + RND,test,12,275,299,25,25,1,25,141,177.3049645390071,1.0,7.092198581560283,0.04,177.3049645390071,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,1,0,24,25,16,9,25,210,76.19047619047619,0.64,42.857142857142854,0.36,119.04761904761905,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,2,25,49,25,25,0,25,137,182.4817518248175,1.0,0.0,0.0,182.4817518248175,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,3,50,74,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,4,75,99,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,5,100,124,25,25,0,25,149,167.78523489932886,1.0,0.0,0.0,167.78523489932886,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,6,125,149,25,25,0,25,131,190.83969465648855,1.0,0.0,0.0,190.83969465648855,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,7,150,174,25,25,0,25,134,186.56716417910448,1.0,0.0,0.0,186.56716417910448,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,8,175,199,25,25,0,25,127,196.8503937007874,1.0,0.0,0.0,196.8503937007874,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,9,200,224,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,10,225,249,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,11,250,274,25,25,0,25,132,189.3939393939394,1.0,0.0,0.0,189.3939393939394,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,12,275,299,25,25,0,25,188,132.9787234042553,1.0,0.0,0.0,132.9787234042553,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,13,300,324,25,25,0,25,138,181.15942028985506,1.0,0.0,0.0,181.15942028985506,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,14,325,349,25,25,0,25,136,183.8235294117647,1.0,0.0,0.0,183.8235294117647,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,15,350,374,25,25,0,25,129,193.7984496124031,1.0,0.0,0.0,193.7984496124031,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,16,375,399,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,17,400,424,25,25,0,25,135,185.1851851851852,1.0,0.0,0.0,185.1851851851852,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,18,425,449,25,25,0,25,138,181.15942028985506,1.0,0.0,0.0,181.15942028985506,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,19,450,474,25,25,0,25,149,167.78523489932886,1.0,0.0,0.0,167.78523489932886,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,20,475,499,25,25,0,25,136,183.8235294117647,1.0,0.0,0.0,183.8235294117647,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,1,0,24,25,25,0,25,123,203.2520325203252,1.0,0.0,0.0,203.2520325203252,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,2,25,49,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,3,50,74,25,25,0,25,144,173.61111111111111,1.0,0.0,0.0,173.61111111111111,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,4,75,99,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,5,100,124,25,25,0,25,135,185.1851851851852,1.0,0.0,0.0,185.1851851851852,1.0
