series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,total_steps,collisions_per_1000_steps,collision_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,116,0.0,0.0
epsilon,Epsilon Greedy,train,2,25,49,25,7,109,64.22018348623853,0.28
epsilon,Epsilon Greedy,train,3,50,74,25,17,109,155.96330275229357,0.68
epsilon,Epsilon Greedy,train,4,75,99,25,16,113,141.5929203539823,0.64
epsilon,Epsilon Greedy,train,5,100,124,25,14,111,126.12612612612612,0.56
epsilon,Epsilon Greedy,train,6,125,149,25,12,103,116.50485436893204,0.48
epsilon,Epsilon Greedy,train,7,150,174,25,16,113,141.5929203539823,0.64
epsilon,Epsilon Greedy,train,8,175,199,25,17,114,149.12280701754386,0.68
epsilon,Epsilon Greedy,train,9,200,224,25,17,121,140.49586776859505,0.68
epsilon,Epsilon Greedy,train,10,225,249,25,14,122,114.75409836065573,0.56
epsilon,Epsilon Greedy,train,11,250,274,25,18,130,138.46153846153845,0.72
epsilon,Epsilon Greedy,train,12,275,299,25,16,121,132.23140495867767,0.64
epsilon,Epsilon Greedy,train,13,300,324,25,17,99,171.7171717171717,0.68
epsilon,Epsilon Greedy,train,14,325,349,25,14,107,130.84112149532712,0.56
epsilon,Epsilon Greedy,train,15,350,374,25,17,119,142.85714285714286,0.68
epsilon,Epsilon Greedy,train,16,375,399,25,11,89,123.59550561797752,0.44
epsilon,Epsilon Greedy,train,17,400,424,25,15,125,120.0,0.6
epsilon,Epsilon Greedy,train,18,425,449,25,16,124,129.03225806451613,0.64
epsilon,Epsilon Greedy,train,19,450,474,25,12,150,80.0,0.48
epsilon,Epsilon Greedy,train,20,475,499,25,15,109,137.61467889908258,0.6
epsilon,Epsilon Greedy,test,1,0,24,25,25,117,213.67521367521368,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,25,124,201.61290322580646,1.0
epsilon,Epsilon Greedy,test,3,50,74,25,25,129,193.7984496124031,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,25,134,186.56716417910448,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,25,127,196.8503937007874,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,25,131,190.83969465648855,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,25,115,217.3913043478261,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,25,131,190.83969465648855,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,25,142,176.05633802816902,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,25,142,176.05633802816902,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,25,136,183.8235294117647,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,25,140,178.57142857142858,1.0
noisy,NoisyNet DQN,train,1,0,24,25,2,56,35.714285714285715,0.08
noisy,NoisyNet DQN,train,2,25,49,25,0,75,0.0,0.0
noisy,NoisyNet DQN,train,3,50,74,25,3,76,39.473684210526315,0.12
noisy,NoisyNet DQN,train,4,75,99,25,17,165,103.03030303030303,0.68
noisy,NoisyNet DQN,train,5,100,124,25,25,157,159.23566878980893,1.0
noisy,NoisyNet DQN,train,6,125,149,25,25,141,177.3049645390071,1.0
noisy,NoisyNet DQN,train,7,150,174,25,25,139,179.85611510791367,1.0
noisy,NoisyNet DQN,train,8,175,199,25,25,130,192.30769230769232,1.0
noisy,NoisyNet DQN,train,9,200,224,25,25,143,174.82517482517483,1.0
noisy,NoisyNet DQN,train,10,225,249,25,25,131,190.83969465648855,1.0
noisy,NoisyNet DQN,train,11,250,274,25,25,137,182.4817518248175,1.0
noisy,NoisyNet DQN,train,12,275,299,25,25,192,130.20833333333334,1.0
noisy,NoisyNet DQN,train,13,300,324,25,25,144,173.61111111111111,1.0
noisy,NoisyNet DQN,train,14,325,349,25,25,142,176.05633802816902,1.0
noisy,NoisyNet DQN,train,15,350,374,25,25,138,181.15942028985506,1.0
noisy,NoisyNet DQN,train,16,375,399,25,25,138,181.15942028985506,1.0
noisy,NoisyNet DQN,train,17,400,424,25,25,140,178.57142857142858,1.0
noisy,NoisyNet DQN,train,18,425,449,25,25,145,172.41379310344828,1.0
noisy,NoisyNet DQN,train,19,450,474,25,25,158,158.22784810126583,1.0
noisy,NoisyNet DQN,train,20,475,499,25,25,144,173.61111111111111,1.0
noisy,NoisyNet DQN,test,1,0,24,25,25,123,203.2520325203252,1.0
noisy,NoisyNet DQN,test,2,25,49,25,25,130,192.30769230769232,1.0
noisy,NoisyNet DQN,test,3,50,74,25,25,144,173.61111111111111,1.0
noisy,NoisyNet DQN,test,4,75,99,25,25,140,178.57142857142858,1.0
noisy,NoisyNet DQN,test,5,100,124,25,25,135,185.1851851851852,1.0
noisy,NoisyNet DQN,test,6,125,149,25,25,155,161.29032258064515,1.0
noisy,NoisyNet DQN,test,7,150,174,25,25,115,217.3913043478261,1.0
noisy,NoisyNet DQN,test,8,175,199,25,25,140,178.57142857142858,1.0
noisy,NoisyNet DQN,test,9,200,224,25,25,154,162.33766233766235,1.0
noisy,NoisyNet DQN,test,10,225,249,25,25,156,160.25641025641025,1.0
noisy,NoisyNet DQN,test,11,250,274,25,25,155,161.29032258064515,1.0
noisy,NoisyNet DQN,test,12,275,299,25,25,150,166.66666666666666,1.0
rnd,DQN + RND,train,1,0,24,25,0,116,0.0,0.0
rnd,DQN + RND,train,2,25,49,25,7,109,64.22018348623853,0.28
rnd,DQN + RND,train,3,50,74,25,17,109,155.96330275229357,0.68
rnd,DQN + RND,train,4,75,99,25,16,113,141.5929203539823,0.64
rnd,DQN + RND,train,5,100,124,25,14,111,126.12612612612612,0.56
rnd,DQN + RND,train,6,125,149,25,12,103,116.50485436893204,0.48
rnd,DQN + RND,train,7,150,174,25,16,113,141.5929203539823,0.64
rnd,DQN + RND,train,8,175,199,25,17,114,149.12280701754386,0.68
rnd,DQN + RND,train,9,200,224,25,17,121,140.49586776859505,0.68
rnd,DQN + RND,train,10,225,249,25,14,122,114.75409836065573,0.56
rnd,DQN + RND,train,11,250,274,25,18,130,138.46153846153845,0.72
rnd,DQN + RND,train,12,275,299,25,16,121,132.23140495867767,0.64
rnd,DQN + RND,train,13,300,324,25,17,99,171.7171717171717,0.68
rnd,DQN + RND,train,14,325,349,25,14,107,130.84112149532712,0.56
rnd,DQN + RND,train,15,350,374,25,17,119,142.85714285714286,0.68
rnd,DQN + RND,train,16,375,399,25,11,89,123.59550561797752,0.44
rnd,DQN + RND,train,17,400,424,25,15,125,120.0,0.6
rnd,DQN + RND,train,18,425,449,25,16,124,129.03225806451613,0.64
rnd,DQN + RND,train,19,450,474,25,12,150,80.0,0.48
rnd,DQN + RND,train,20,475,499,25,15,109,137.61467889908258,0.6
rnd,DQN + RND,test,1,0,24,25,25,117,213.67521367521368,1.0
rnd,DQN + RND,test,2,25,49,25,25,124,201.61290322580646,1.0
rnd,DQN + RND,test,3,50,74,25,25,128,195.3125,1.0
rnd,DQN + RND,test,4,75,99,25,25,134,186.56716417910448,1.0
rnd,DQN + RND,test,5,100,124,25,25,127,196.8503937007874,1.0
rnd,DQN + RND,test,6,125,149,25,25,133,187.9699248120301,1.0
rnd,DQN + RND,test,7,150,174,25,25,115,217.3913043478261,1.0
rnd,DQN + RND,test,8,175,199,25,25,131,190.83969465648855,1.0
rnd,DQN + RND,test,9,200,224,25,24,145,165.51724137931035,0.96
rnd,DQN + RND,test,10,225,249,25,25,144,173.61111111111111,1.0
rnd,DQN + RND,test,11,250,274,25,25,139,179.85611510791367,1.0
rnd,DQN + RND,test,12,275,299,25,25,141,177.3049645390071,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),train,1,0,24,25,16,210,76.19047619047619,0.64
Karthikeya27adv23,Policy (Karthikeya27adv23),train,2,25,49,25,25,137,182.4817518248175,1.0
