series_id,method,source_kind,source_name,phase,episodes,summed_episode_wall_time_seconds,summed_episode_wall_time_minutes,average_wall_time_seconds_per_episode,median_wall_time_seconds_per_episode,std_wall_time_seconds_per_episode,min_wall_time_seconds_per_episode,p25_wall_time_seconds_per_episode,p75_wall_time_seconds_per_episode,p95_wall_time_seconds_per_episode,max_wall_time_seconds_per_episode,summed_episode_cpu_time_seconds,average_cpu_time_seconds_per_episode,total_environment_steps,average_environment_steps_per_episode,average_wall_time_ms_per_environment_step
epsilon,Epsilon Greedy,baseline,epsilon,train,500,631.0436335168779,10.517393891947965,1.2620872670337557,1.107918240595609,0.6763353283414205,0.2778541469015181,0.8276980076916516,1.6328758505405858,2.4745911605190485,6.011435761582106,630.7562798220001,1.2615125596440002,2289,4.578,275.6852920563031
epsilon,Epsilon Greedy,baseline,epsilon,test,300,469.31767638912424,7.821961273152071,1.564392254630414,1.3636163121555,0.8760482885735194,0.5495110140182078,1.0855661410605533,1.8790822256123645,3.4824993242975326,6.617057293187827,469.169999834,1.5638999994466667,1715,5.716666666666667,273.65462180123865
noisy,NoisyNet DQN,baseline,noisy,train,500,694.437525829766,11.573958763829433,1.3888750516595318,1.249701850116253,0.8042870315012985,0.2761613898910582,0.8359657538821921,1.6972717909375208,2.797136053419672,5.859847946092486,694.101468611999,1.3882029372239981,2489,4.978,279.00262186812614
noisy,NoisyNet DQN,baseline,noisy,test,300,460.5081280414015,7.675135467356692,1.5350270934713384,1.3462401311844587,0.8454751577993408,0.5377039541490376,1.0778415967943147,1.8747071223333478,3.3276733922073634,6.567223445046693,460.3886571309995,1.5346288571033317,1697,5.656666666666666,271.3660153455519
rnd,DQN + RND,baseline,rnd,train,500,647.8815903356299,10.798026505593832,1.2957631806712597,1.1335206946823746,0.7433674893850454,0.2757802535779774,0.8366526020690799,1.6705574970692396,2.528213528660125,7.126452435739338,647.4792527269947,1.2949585054539894,2311,4.622,280.3468586480441
rnd,DQN + RND,baseline,rnd,test,300,458.45421475730836,7.640903579288473,1.5281807158576945,1.3618472146335987,0.8005456871899866,0.5430329819209874,1.0818649356951937,1.8895313956309114,3.0348673083819477,6.625227864366025,458.31017492300043,1.5277005830766681,1675,5.583333333333333,273.70400881033333
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,train,500,1290.8665403854102,21.514442339756837,2.5817330807708205,2.2254473688080907,2.5913772282341103,0.2872350928373635,1.3193623325787485,2.8061688571469863,6.500285911280661,34.03704303922132,1290.1151799170004,2.580230359834001,4570,9.14,282.46532612372215
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,test,300,976.8048555315472,16.280080925525787,3.2560161851051572,2.448232855880633,2.3285475536308384,0.8300150972791016,2.1960894572548573,3.279400338535197,7.935040636430495,20.76632514595985,976.5430989990032,3.2551436633300104,3542,11.806666666666667,275.7777683601206
Karthikeya27adv8956,Policy (Karthikeya27adv8956),policy,Karthikeya27adv8956,train,500,1295.6772162429988,21.594620270716646,2.5913544324859976,2.197960424469784,2.5460074068314897,0.2781538181006908,1.3811366034206003,2.826225077267736,6.304567858995869,33.1752447350882,1294.628922583,2.589257845166,4674,9.348,277.2095028333331
Karthikeya27adv8956,Policy (Karthikeya27adv8956),policy,Karthikeya27adv8956,test,300,968.1048299521208,16.13508049920201,3.2270160998404025,2.4023833638057113,2.2914818937150354,0.837808077223599,2.162626158562489,3.2131325361551717,7.873162240837701,20.41561713209376,967.8101022800033,3.2260336742666778,3556,11.853333333333333,272.24545274244116
