series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,25,25,59,0.0,0.0,423.728813559322,1.0,423.728813559322,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,0,25,25,59,0.0,0.0,423.728813559322,1.0,423.728813559322,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,9,18,25,167,53.89221556886228,0.36,107.78443113772455,0.72,149.7005988023952,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,7,20,25,124,56.45161290322581,0.28,161.29032258064515,0.8,201.61290322580646,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,9,19,25,173,52.02312138728324,0.36,109.82658959537572,0.76,144.50867052023122,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,4,22,25,149,26.845637583892618,0.16,147.6510067114094,0.88,167.78523489932886,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,6,20,25,176,34.09090909090909,0.24,113.63636363636364,0.8,142.04545454545453,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,16,14,25,129,124.03100775193798,0.64,108.52713178294573,0.56,193.7984496124031,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,13,13,25,97,134.02061855670104,0.52,134.02061855670104,0.52,257.7319587628866,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,16,11,25,130,123.07692307692308,0.64,84.61538461538461,0.44,192.30769230769232,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,13,13,25,115,113.04347826086956,0.52,113.04347826086956,0.52,217.3913043478261,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,17,12,25,127,133.85826771653544,0.68,94.48818897637796,0.48,196.8503937007874,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,12,15,25,130,92.3076923076923,0.48,115.38461538461539,0.6,192.30769230769232,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,15,12,25,113,132.7433628318584,0.6,106.19469026548673,0.48,221.23893805309734,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,16,13,25,114,140.35087719298247,0.64,114.03508771929825,0.52,219.2982456140351,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,16,11,25,125,128.0,0.64,88.0,0.44,200.0,1.0
