pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
32,ACTIVE,4,1,1,1,1,INITIAL,3,6,33.333333333333336,8,0,1,495,0,16,6,0,0,0,6,0|0|0|1|4|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|4|0|0|0|1,331,385,0.8619680404663086,0.4064694344997406,0.999885082244873,0.015973346307873726,2,False,False
85,ACTIVE,4,0,0,5,5,INITIAL,7,2,77.77777777777777,6,0,3,423,0,88,9,4,0,2,4,0|1|0|1|3|1|1|1|1,0|0|0|0|3|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|1|0|0,0|0|0|0|2|1|0|1|0,337,391,0.9029140830039978,0.26604399383068084,0.9997005343437195,0.018302612099796535,5,False,False
103,ACTIVE,4,0,0,1,1,INITIAL,3,6,33.333333333333336,7,0,2,431,0,80,5,0,1,1,4,0|0|0|1|3|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|1|0|0,0|0|0|1|3|0|0|0|0,338,395,0.8699122667312622,0.37328314781188965,0.9986801147460938,0.054222315549850464,1,False,False
145,ACTIVE,4,0,0,1,1,INITIAL,3,6,33.333333333333336,8,1,0,495,16,0,5,3,0,0,1,0|0|0|1|3|0|1|0|0,0|0|0|0|3|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,343,375,0.8528718948364258,0.252101331949234,0.997649073600769,0.06352462619543076,1,False,False
110,ACTIVE,4,0,0,2,2,INITIAL,5,4,55.55555555555556,5,0,4,47,0,464,6,0,0,3,3,0|0|0|1|1|0|2|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|1|1,0|0|0|1|0|0|2|0|0,352,383,0.9383913278579712,0.22163547575473785,1.0000000596046448,1.507891447261045e-07,2,False,False
223,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,495,0,16,4,0,0,0,4,0|0|0|0|3|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|3|0|1|0|0,355,355,0.0,0.0,0.0,0.0,0,False,False
138,ACTIVE,4,0,0,0,0,INITIAL,3,6,33.333333333333336,6,0,3,231,0,280,4,0,0,2,2,0|0|0|1|1|0|0|0|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|1|0|0|0|0,0|0|0|0|0|0|0|0|2,360,360,0.0,0.0,0.0,0.0,0,False,False
272,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,495,0,16,4,0,0,0,4,0|0|0|0|3|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|3|0|1|0|0,361,361,0.0,0.0,0.0,0.0,0,False,False
176,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,495,0,16,4,0,0,0,4,0|0|0|0|3|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|3|0|0|0|1,367,367,0.0,0.0,0.0,0.0,0,False,False
290,ACTIVE,4,4,1,3,3,INITIAL,6,3,66.66666666666667,7,0,2,239,0,272,11,5,1,1,4,0|1|0|1|6|0|1|1|1,0|1|0|0|3|0|0|1|0,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|1,0|0|0|1|3|0|0|0|0,369,387,0.873343825340271,0.29585376878579456,0.9990516304969788,0.036006081849336624,4,False,False
341,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,495,0,16,4,0,0,0,4,0|0|0|0|3|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|3|0|1|0|0,376,376,0.0,0.0,0.0,0.0,0,False,False
381,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,495,0,16,4,0,0,0,4,0|0|0|0|3|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|3|0|0|0|1,381,381,0.0,0.0,0.0,0.0,0,False,False
345,ACTIVE,4,1,1,1,1,INITIAL,3,6,33.333333333333336,8,1,0,495,16,0,6,4,0,0,2,0|0|0|1|4|0|1|0|0,0|0|0|0|4|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|1|0|0,383,392,0.8356966972351074,0.25312280654907227,0.9986894726753235,0.04421605169773102,2,False,False
