eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,0,0,0,0,False
333,1,327,327,6,1,False,False,511,0,0,1,1,0,0,0,False
333,1,328,328,5,1,False,False,511,0,0,1,1,0,0,0,False
333,1,328,328,5,1,False,False,511,0,0,1,1,0,0,0,False
333,1,328,328,5,1,False,False,511,0,0,1,1,0,0,0,False
333,1,328,328,5,1,False,False,511,0,0,1,0,0,0,1,False
333,1,328,328,5,1,False,False,511,0,0,1,0,0,0,1,False
333,1,328,328,5,1,False,False,511,0,0,1,0,0,0,1,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,0,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,1,0,0,0,False
333,1,329,329,4,1,False,False,511,0,0,1,0,0,0,0,False
336,1,329,329,7,1,False,False,511,0,0,1,0,0,0,0,False
336,1,330,330,6,1,False,False,511,0,0,1,1,0,0,0,False
336,1,330,330,6,1,False,False,511,0,0,1,1,0,0,0,False
336,1,330,330,6,1,False,False,511,0,0,1,1,0,0,0,False
336,1,330,330,6,1,False,False,511,0,0,1,1,0,0,0,False
336,1,330,330,6,1,False,False,511,0,0,1,1,0,0,0,False
336,1,330,330,6,1,False,False,511,0,0,1,0,0,0,1,False
336,1,330,330,6,1,False,False,511,0,0,1,0,0,0,1,False
336,1,330,330,6,1,False,False,511,0,0,1,0,0,0,1,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,1,0,0,0,False
336,1,331,331,5,1,False,False,511,0,0,1,0,0,0,1,False
336,1,332,332,4,1,False,False,511,0,0,1,0,0,0,1,False
336,1,332,332,4,1,False,False,511,0,0,1,0,0,0,1,False
336,1,332,332,4,1,False,False,511,0,0,1,0,0,0,1,False
336,1,332,332,4,1,False,False,511,0,0,1,0,0,0,1,False
336,1,333,333,3,1,False,False,511,0,0,1,1,0,0,0,False
336,1,333,333,3,1,False,False,511,0,0,1,1,0,0,0,False
336,1,333,333,3,1,False,False,511,0,0,1,1,0,0,0,False
336,1,333,333,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,333,333,6,1,False,False,511,0,0,1,1,0,0,0,False
339,1,333,333,6,1,False,False,511,0,0,1,1,0,0,0,False
339,1,333,333,6,1,False,False,511,0,0,1,1,0,0,0,False
339,1,333,333,6,1,False,False,511,0,0,1,0,0,0,1,False
339,1,333,333,6,1,False,False,511,0,0,1,0,0,0,1,False
339,1,333,333,6,1,False,False,511,0,0,1,0,0,0,1,False
339,1,334,334,5,1,False,False,511,0,0,1,0,0,0,1,False
339,1,334,334,5,1,False,False,511,0,0,1,0,0,0,1,False
339,1,334,334,5,1,False,False,511,0,0,1,0,0,0,1,False
339,1,334,334,5,1,False,False,511,0,0,1,0,0,0,1,False
339,1,335,335,4,1,False,False,511,0,0,1,0,0,0,1,False
339,1,335,335,4,1,False,False,511,0,0,1,0,0,0,1,False
339,1,336,336,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,336,336,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,336,336,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,336,336,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,336,336,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,336,336,3,1,False,False,511,0,0,1,1,0,0,0,False
339,1,336,336,3,1,False,False,511,0,0,1,0,0,0,1,False
339,1,336,336,3,1,False,False,511,0,0,1,0,0,0,1,False
339,2,280,280,59,1,False,False,509,2,0,2,2,0,0,0,False
339,2,283,283,56,1,False,False,509,2,0,2,2,0,0,0,False
339,2,284,284,55,1,False,False,509,2,0,2,2,0,0,0,False
339,2,298,298,41,1,False,False,509,2,0,2,2,0,0,0,False
339,2,299,299,40,1,False,False,509,2,0,2,2,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,1,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,1,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,1,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,1,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,1,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,1,0,0,0,False
342,1,337,337,5,1,False,False,511,0,0,1,0,0,0,1,False
342,1,337,337,5,1,False,False,511,0,0,1,0,0,0,1,False
342,1,338,338,4,1,False,False,511,0,0,1,1,0,0,0,False
342,1,338,338,4,1,False,False,511,0,0,1,1,0,0,0,False
342,1,338,338,4,1,False,False,511,0,0,1,1,0,0,0,False
342,1,338,338,4,1,False,False,511,0,0,1,1,0,0,0,False
342,1,338,338,4,1,False,False,511,0,0,1,1,0,0,0,False
342,1,338,338,4,1,False,False,511,0,0,1,0,0,0,1,False
342,1,338,338,4,1,False,False,511,0,0,1,0,0,0,1,False
342,1,338,338,4,1,False,False,511,0,0,1,0,0,0,1,False
342,1,339,339,3,1,False,False,511,0,0,1,1,0,0,0,False
342,1,339,339,3,1,False,False,511,0,0,1,1,0,0,0,False
342,1,339,339,3,1,False,False,511,0,0,1,1,0,0,0,False
342,1,339,339,3,1,False,False,511,0,0,1,1,0,0,0,False
342,1,339,339,3,1,False,False,511,0,0,1,1,0,0,0,False
342,1,339,339,3,1,False,False,511,0,0,1,1,0,0,0,False
342,1,339,339,3,1,False,False,511,0,0,1,0,0,0,1,False
342,1,339,339,3,1,False,False,511,0,0,1,0,0,0,1,False
342,1,339,339,3,1,False,False,511,0,0,1,0,0,0,1,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,1,0,0,0,False
345,1,340,340,5,1,False,False,511,0,0,1,0,0,0,1,False
345,1,340,340,5,1,False,False,511,0,0,1,0,0,0,1,False
345,1,340,340,5,1,False,False,511,0,0,1,0,0,0,1,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,1,0,0,0,False
345,1,341,341,4,1,False,False,511,0,0,1,0,0,0,1,False
345,1,341,341,4,1,False,False,511,0,0,1,0,0,0,1,False
345,1,342,342,3,1,False,False,511,0,0,1,1,0,0,0,False
345,1,342,342,3,1,False,False,511,0,0,1,1,0,0,0,False
345,1,342,342,3,1,False,False,511,0,0,1,1,0,0,0,False
345,1,342,342,3,1,False,False,511,0,0,1,1,0,0,0,False
345,1,342,342,3,1,False,False,511,0,0,1,0,0,0,1,False
345,1,342,342,3,1,False,False,511,0,0,1,0,0,0,1,False
349,1,342,342,7,1,False,False,511,0,0,1,0,0,0,1,False
349,1,343,343,6,1,False,False,511,0,0,1,1,0,0,0,False
349,1,343,343,6,1,False,False,511,0,0,1,1,0,0,0,False
349,1,343,343,6,1,False,False,511,0,0,1,1,0,0,0,False
349,1,343,343,6,1,False,False,511,0,0,1,1,0,0,0,False
349,1,343,343,6,1,False,False,511,0,0,1,1,0,0,0,False
349,1,343,343,6,1,False,False,511,0,0,1,0,0,0,1,False
349,1,344,344,5,1,False,False,511,0,0,1,0,0,0,1,False
349,1,344,344,5,1,False,False,511,0,0,1,0,0,0,1,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,345,345,4,1,False,False,511,0,0,1,1,0,0,0,False
349,1,346,346,3,1,False,False,511,0,0,1,1,0,0,0,False
349,1,346,346,3,1,False,False,511,0,0,1,1,0,0,0,False
349,1,346,346,3,1,False,False,511,0,0,1,0,0,0,1,False
349,1,346,346,3,1,False,False,511,0,0,1,0,0,0,1,False
349,2,300,300,49,1,False,False,503,8,0,2,2,0,0,0,False
349,2,301,301,48,1,False,False,511,0,0,2,1,0,0,1,False
349,2,299,302,50,1,False,False,511,0,0,2,0,0,0,1,False
349,2,302,302,47,1,False,False,511,0,0,2,0,0,0,0,False
349,2,307,307,42,1,False,False,509,2,0,2,2,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,347,347,5,1,False,False,511,0,0,1,1,0,0,0,False
352,1,348,348,4,1,False,False,511,0,0,1,1,0,0,0,False
352,1,348,348,4,1,False,False,511,0,0,1,1,0,0,0,False
352,1,348,348,4,1,False,False,511,0,0,1,0,0,0,1,False
