retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
6,6,RETIRED,UNKNOWN_PASS_EXHAUSTED,139,200,10,9,4,0,1,8,0,2,509,18,6,0,6,6,1|7|1|1|2|1|2|2|1,0|6|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|1|0|1|1|0|1,0|1|0|0|2|0|1|2|0,247,9,0.9619474411010742,0.14613834582269192,1.0000001192092896,0.0,7,,False,False,False,unknown_pass_outcome_interrupted_by_failure
7,7,RETIRED,UNKNOWN_PASS_EXHAUSTED,141,221,10,9,2,0,1,8,0,2,509,16,4,0,5,7,1|5|1|1|2|1|2|2|1,0|4|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|1|0|1|0|0|1,0|1|0|0|2|0|2|2|0,234,10,0.9702770113945007,0.08900048583745956,0.9999999403953552,0.0,7,,False,False,False,unknown_pass_outcome_interrupted_by_failure
64,64,RETIRED,UNKNOWN_PASS_EXHAUSTED,152,300,13,9,1,1,1,7,128,16,367,18,3,0,2,13,2|3|1|2|3|1|2|2|2,0|0|0|0|2|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|0,2|3|0|2|1|0|2|1|2,358,7,0.9569604992866516,0.2228618711233139,0.9965940117835999,0.06235017254948616,6,,False,False,False,unknown_pass_outcome_interrupted_by_failure
4,4,RETIRED,UNKNOWN_PASS_EXHAUSTED,150,337,13,9,1,0,0,9,0,0,511,18,4,0,3,12,2|4|1|2|2|1|2|3|1,0|3|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,2|2|0|2|2|0|2|2|0,360,7,0.9629892706871033,0.22632178664207458,0.9985042214393616,0.04051971063017845,7,,False,False,False,unknown_pass_outcome_interrupted_by_failure
292,292,RETIRED,UNKNOWN_PASS_EXHAUSTED,217,341,11,9,3,2,0,7,36,0,475,22,3,0,3,11,2|1|6|2|1|2|2|1|5,0|0|0|0|0|1|0|0|2,0|0|0|0|0|0|0|0|0,0|1|0|0|1|0|0|1|0,2|0|1|2|0|1|2|0|3,383,3,0.999773104985555,0.21864072978496552,0.9997919996579488,0.035946027686198555,6,,False,False,False,unknown_pass_outcome_interrupted_by_failure
378,378,RETIRED,UNKNOWN_PASS_EXHAUSTED,182,360,8,9,0,0,0,9,0,0,511,12,0,0,5,8,1|1|1|1|2|1|2|2|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|1|0|1|0|0|1,0|2|0|0|2|0|2|2|0,-1,-1,0.0,0.0,0.0,0.0,7,,False,False,False,unknown_pass_outcome_interrupted_by_failure
1378,1378,RETIRED,UNKNOWN_PASS_EXHAUSTED,293,368,7,9,0,0,0,9,0,0,511,11,0,0,7,4,2|1|1|2|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|1|0|1|1|1|1|1,2|0|0|2|0|0|0|0|0,-1,-1,0.0,0.0,0.0,0.0,3,,False,False,False,unknown_pass_outcome_interrupted_by_failure
246,246,RETIRED,UNKNOWN_PASS_EXHAUSTED,222,369,11,9,2,0,0,9,0,0,511,17,2,0,3,12,2|1|4|2|1|2|2|1|2,0|0|2|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|1|0|0|1|0,2|0|2|2|0|2|2|0|2,387,7,0.9996667504310608,0.13948918879032135,0.9998337626457214,0.02942632883787155,6,,False,False,False,unknown_pass_outcome_interrupted_by_failure
183,183,RETIRED,UNKNOWN_PASS_EXHAUSTED,169,371,6,8,2,0,0,9,0,0,511,13,2,0,8,7,4|1|1|1|1|1|1|1|2,2|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|1|1,3|0|1|1|0|0|0|0|2,391,6,0.999844491481781,0.11739235743880272,0.9999618530273438,0.014061677269637585,-1,,False,False,False,status_filtered_pass_end
245,245,RETIRED,UNKNOWN_PASS_EXHAUSTED,284,387,6,7,1,0,1,8,0,4,507,13,2,0,6,5,1|1|3|1|1|2|1|1|2,0|0|2|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|1|0|1|1|0|1|1|0,0|0|1|0|0|2|0|0|2,398,5,0.9990410804748535,0.27441081404685974,0.9978482723236084,0.06340129673480988,5,,False,False,False,unknown_pass_outcome_interrupted_by_failure
