hazard_id,status,archived_episode,last_hit_episode,hit_count,archive_cycles,source_candidate_visits,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts
5,HAZARD,373,338,1,3,0,7,0,2,367,0,144,2,0,2,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
8,HAZARD,338,338,2,2,0,8,0,1,495,0,16,0,0,0,0,2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|2|0|0|0|0
17,HAZARD,373,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
18,HAZARD,366,372,3,3,0,8,0,1,495,0,16,0,0,0,0,3,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|2|0|0|1|0
31,HAZARD,373,-1,0,2,0,8,0,1,383,0,128,1,0,1,0,0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
37,HAZARD,373,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
38,HAZARD,388,394,13,6,0,7,0,2,127,0,384,1,0,0,1,5,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,0|0|0|1|1|0|1|2|0
45,HAZARD,379,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
57,HAZARD,379,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
58,HAZARD,395,387,5,8,0,5,0,4,103,0,408,2,0,2,2,5,0|0|0|1|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|1,0|0|0|1|0|0|0|0|1,0|1|0|0|2|0|0|2|0
72,HAZARD,379,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
79,HAZARD,390,367,9,8,0,6,0,3,359,0,152,1,0,1,0,4,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|2|2|0|0|0|0
80,HAZARD,371,391,11,10,0,4,0,5,54,0,457,3,0,0,3,7,1|0|0|1|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|0|0|1|1|0|2|2
85,HAZARD,395,360,6,10,0,5,0,4,103,0,408,1,0,1,0,6,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|2|0|0|0|2|2
86,HAZARD,399,399,19,9,0,5,0,4,107,0,404,2,0,0,2,7,0|0|1|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|1,1|1|0|0|2|1|0|2|0
92,HAZARD,379,-1,0,2,0,8,0,1,383,0,128,1,0,1,0,0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
100,HAZARD,390,316,2,5,0,7,0,2,367,0,144,2,0,2,0,1,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0
102,HAZARD,384,384,3,3,0,7,0,2,367,0,144,1,0,1,0,2,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|2|0|0|0|0
108,HAZARD,379,340,1,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
109,HAZARD,311,375,3,2,0,9,0,0,511,0,0,0,0,0,0,2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|1|0
131,HAZARD,383,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
144,HAZARD,383,-1,0,2,0,8,0,1,495,0,16,1,0,1,0,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
152,HAZARD,383,-1,0,2,0,8,0,1,383,0,128,1,0,1,0,0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
156,HAZARD,383,-1,0,2,0,8,0,1,495,0,16,1,0,0,1,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0
