episode,cumulative_pools_created
201,1
204,2
205,3
209,4
209,5
209,6
209,7
209,8
210,9
211,10
211,11
212,12
216,13
218,14
219,15
224,16
224,17
224,18
227,19
228,20
229,21
240,22
243,23
249,24
252,25
263,26
271,27
278,28
278,29
279,30
280,31
283,32
288,33
291,34
301,35
301,36
304,37
304,38
304,39
311,40
311,41
311,42
311,43
313,44
318,45
318,46
318,47
321,48
321,49
322,50
322,51
322,52
322,53
322,54
322,55
324,56
326,57
328,58
329,59
329,60
330,61
330,62
333,63
333,64
333,65
338,66
341,67
341,68
341,69
361,70
368,71
370,72
370,73
370,74
