series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,25,25,59,0.0,0.0,423.728813559322,1.0,423.728813559322,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,0,25,25,104,0.0,0.0,240.3846153846154,1.0,240.3846153846154,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,10,18,25,132,75.75757575757575,0.4,136.36363636363637,0.72,189.3939393939394,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,11,15,25,109,100.91743119266054,0.44,137.61467889908258,0.6,229.3577981651376,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,14,13,25,128,109.375,0.56,101.5625,0.52,195.3125,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,16,12,25,100,160.0,0.64,120.0,0.48,250.0,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,19,8,25,120,158.33333333333334,0.76,66.66666666666667,0.32,208.33333333333334,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,13,13,25,130,100.0,0.52,100.0,0.52,192.30769230769232,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,17,11,25,116,146.55172413793105,0.68,94.82758620689656,0.44,215.51724137931035,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,20,7,25,116,172.41379310344828,0.8,60.3448275862069,0.28,215.51724137931035,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,20,6,25,115,173.91304347826087,0.8,52.17391304347826,0.24,217.3913043478261,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,18,10,25,107,168.22429906542055,0.72,93.45794392523365,0.4,233.6448598130841,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,10,15,25,120,83.33333333333333,0.4,125.0,0.6,208.33333333333334,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,17,12,25,125,136.0,0.68,96.0,0.48,200.0,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,18,8,25,128,140.625,0.72,62.5,0.32,195.3125,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,16,10,25,97,164.94845360824743,0.64,103.09278350515464,0.4,257.7319587628866,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,18,8,25,122,147.54098360655738,0.72,65.57377049180327,0.32,204.91803278688525,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,14,14,25,111,126.12612612612612,0.56,126.12612612612612,0.56,225.22522522522522,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,16,13,25,119,134.45378151260505,0.64,109.24369747899159,0.52,210.08403361344537,1.0
