pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
0,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,503,8,0,4,3,0,0,1,0|0|0|3|0|0|0|0|1,0|0|0|3|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,191,191,0.0,0.0,0.0,0.0,0,False,False
37,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,503,0,8,4,1,0,0,3,0|0|0|3|0|0|0|0|1,0|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|2|0|0|0|0|1,194,194,0.0,0.0,0.0,0.0,0,False,False
33,ACTIVE,4,0,0,2,2,INITIAL,4,5,44.44444444444444,8,1,0,503,8,0,6,4,0,0,2,0|1|0|3|0|0|1|0|1,0|1|0|3|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|1,195,359,0.9793719053268433,0.07332044281065464,0.9979965686798096,0.05968887358903885,2,False,False
57,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,503,8,0,4,4,0,0,0,0|0|0|3|0|0|0|0|1,0|0|0|3|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,195,195,0.0,0.0,0.0,0.0,0,False,False
86,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,503,8,0,4,3,0,0,1,0|0|0|3|0|0|0|0|1,0|0|0|3|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,195,195,0.0,0.0,0.0,0.0,0,False,False
32,ACTIVE,4,0,0,1,1,INITIAL,3,6,33.333333333333336,7,1,1,253,2,256,5,3,0,1,1,0|3|0|1|0|0|0|0|1,0|2|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,0|1|0|0|0|0|0|0|0,199,208,0.9967581629753113,0.032167524099349976,1.0,0.0,1,False,False
52,ACTIVE,4,0,0,3,3,INITIAL,5,4,55.55555555555556,7,1,1,505,2,4,7,3,0,1,3,0|3|1|1|0|0|1|0|1,0|3|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|1|0|0|1|0|1,204,239,0.9855342706044515,0.1400609239935875,0.9997595349947611,0.011248896519343058,3,False,False
54,ACTIVE,4,0,0,2,2,INITIAL,4,5,44.44444444444444,5,1,3,181,2,328,6,2,0,3,1,0|3|0|1|0|0|1|0|1,0|2|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|1|0|1,0|1|0|0|0|0|0|0|0,205,386,0.9832899272441864,0.10711190104484558,1.0000001192092896,0.0,2,False,False
55,ACTIVE,4,0,0,7,7,UNKNOWN,9,5,100.0,5,1,3,217,2,292,11,3,0,3,3,1|3|1|1|1|1|1|1|1,0|2|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,0|1|0|1|1|0|0|0|0,206,275,0.9959213478224618,0.017370069133383886,1.0000001192092896,0.0,3,True,False
156,ACTIVE,4,4,2,6,6,UNKNOWN,9,2,100.0,3,0,6,104,0,407,14,3,0,6,5,1|2|1|1|1|1|2|1|4,0|0|0|0|0|1|1|0|1,0|0|0|0|0|0|0|0|0,1|2|1|0|1|0|0|1|0,0|0|0|1|0|0|1|0|3,221,270,0.9924336870511373,0.19814817359050116,0.9996473987897238,0.028828841634094715,7,False,False
