hazard_id,status,archived_episode,last_hit_episode,hit_count,archive_cycles,source_candidate_visits,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts
1,HAZARD,92,340,1,2,0,8,0,1,510,0,1,1,0,0,1,1,1|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0
8,HAZARD,94,286,1,2,0,8,0,1,510,0,1,1,0,0,1,1,1|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0
13,HAZARD,409,443,22,5,0,7,0,2,506,0,5,1,0,0,1,4,1|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,0|0|2|0|0|1|0|1|0
14,HAZARD,448,448,42,10,0,4,0,5,147,0,364,2,0,0,2,8,0|0|0|1|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|1|0|0,0|1|2|0|1|2|0|0|2
18,HAZARD,98,310,1,2,0,8,0,1,510,0,1,1,0,0,1,1,1|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0
24,HAZARD,284,284,2,4,0,7,0,2,506,0,5,2,0,1,2,2,1|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,1|0|1|0|0|0|0|0|0,0|0|0|0|1|1|0|0|0
31,HAZARD,309,309,1,2,0,7,0,2,463,0,48,2,0,0,2,0,0|0|0|0|1|1|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|0|0|0,0|0|0|0|0|0|0|0|0
32,HAZARD,439,439,6,4,0,7,0,2,506,0,5,2,0,0,2,2,1|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|0,0|0|0|1|0|0|1|0|0
34,HAZARD,201,201,1,2,0,7,0,2,382,0,129,2,0,0,2,0,1|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0
39,HAZARD,424,424,4,5,0,4,0,5,263,0,248,5,0,0,5,0,0|0|0|1|1|1|1|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|0,0|0|0|0|0|0|0|0|0
51,HAZARD,411,429,19,5,0,7,0,2,502,0,9,2,0,0,2,3,1|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|0|0|0,0|1|0|0|0|1|0|1|0
66,HAZARD,314,314,3,4,0,5,0,4,199,0,312,4,0,0,4,0,0|0|0|1|1|1|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|0|0|1,0|0|0|0|0|0|0|0|0
67,HAZARD,276,276,1,2,0,8,0,1,447,0,64,1,0,0,1,1,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|1|0|0|0
71,HAZARD,353,353,5,6,0,4,0,5,269,0,242,6,0,0,6,0,0|1|0|0|1|1|2|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|1|1|2|1|0,0|0|0|0|0|0|0|0|0
73,HAZARD,354,362,8,4,0,7,0,2,475,0,36,2,0,0,2,2,0|0|1|0|0|1|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|0,1|0|0|0|0|0|1|0|0
101,HAZARD,350,434,7,4,0,7,0,2,471,0,40,1,0,0,1,3,0|0|0|0|0|1|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|0|0|0,0|0|0|2|0|0|1|0|0
111,HAZARD,239,239,2,3,0,6,0,3,490,0,21,3,0,0,3,0,1|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0
114,HAZARD,406,406,6,6,0,7,0,2,506,0,5,2,0,0,2,4,1|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|0,0|0|0|1|0|1|1|0|1
119,HAZARD,447,447,9,6,0,5,0,4,482,0,29,3,0,2,2,3,1|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|1|0|0|0|0,1|0|1|0|0|0|0|0|0,0|0|0|2|0|0|1|0|0
123,HAZARD,126,153,1,1,0,8,0,1,495,0,16,1,0,0,1,0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0
133,HAZARD,155,155,1,2,0,7,0,2,431,0,80,2,0,0,2,0,0|0|0|0|1|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|1|0|0,0|0|0|0|0|0|0|0|0
139,HAZARD,432,432,2,4,0,8,0,1,479,0,32,1,0,0,1,3,0|0|0|0|0|1|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|0|0|0,0|0|0|1|1|0|0|1|0
144,HAZARD,255,255,2,3,0,8,0,1,447,0,64,1,0,0,1,2,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|1|0|0|1
148,HAZARD,267,267,3,3,0,7,0,2,439,0,72,2,0,0,2,1,0|0|0|1|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|1|0|0,0|0|0|0|0|0|0|0|1
