episode,cumulative_pools_created
92,1
93,2
95,3
97,4
98,5
100,6
101,7
107,8
111,9
113,10
115,11
116,12
118,13
120,14
123,15
124,16
128,17
129,18
131,19
133,20
134,21
134,22
139,23
139,24
141,25
143,26
145,27
147,28
150,29
150,30
153,31
155,32
157,33
159,34
165,35
167,36
171,37
173,38
176,39
186,40
191,41
192,42
192,43
194,44
198,45
200,46
201,47
202,48
206,49
210,50
217,51
218,52
218,53
220,54
223,55
224,56
226,57
230,58
231,59
236,60
238,61
239,62
244,63
248,64
250,65
252,66
266,67
272,68
272,69
275,70
276,71
277,72
289,73
297,74
299,75
303,76
310,77
321,78
351,79
354,80
367,81
382,82
388,83
388,84
388,85
