retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
23,23,RETIRED,UNKNOWN_PASS_EXHAUSTED,129,178,9,9,25,0,3,6,0,146,365,36,29,0,3,7,2|1|1|2|1|1|3|24|1,2|1|0|0|1|0|2|23|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,2|0|0|2|0|0|2|1|0,448,0,0.9032374095916748,0.2795838236808777,0.9996838903427124,0.021295348044950514,3,,False,False,False,unknown_pass_outcome_interrupted_by_failure
85,85,RETIRED,UNKNOWN_PASS_EXHAUSTED,148,179,8,8,24,0,3,6,0,146,365,35,29,0,3,6,2|1|1|2|1|1|3|23|1,2|1|0|0|1|0|2|23|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,2|0|0|2|0|0|2|0|0,446,0,0.9225292975703875,0.26745913177728653,0.9996211354931196,0.023393307890122134,3,,False,False,False,unknown_pass_outcome_interrupted_by_failure
11,11,RETIRED,UNKNOWN_PASS_EXHAUSTED,141,198,9,9,41,0,3,6,0,274,237,55,43,0,6,7,1|1|2|2|13|3|2|22|9,0|1|0|0|13|0|0|20|9,0|0|0|0|0|0|0|0|0,1|0|1|2|0|0|2|0|0,0|0|2|0|0|3|0|2|0,418,0,0.9060223509625691,0.2922923917450556,0.9997770815360837,0.021143524262985987,2,,False,False,False,unknown_pass_outcome_interrupted_by_failure
93,93,RETIRED,UNKNOWN_PASS_EXHAUSTED,146,204,8,8,60,0,3,6,0,274,237,73,63,0,4,9,1|2|2|1|43|2|2|15|5,0|1|0|0|42|0|1|15|4,0|0|0|0|0|0|0|0|0,1|0|1|1|0|0|1|0|0,0|1|2|0|1|2|0|2|1,447,0,0.8941537429889043,0.3055872917175293,0.9995043754577637,0.02785127622822377,2,,False,False,False,unknown_pass_outcome_interrupted_by_failure
52,52,RETIRED,UNKNOWN_PASS_EXHAUSTED,137,217,8,9,10,0,4,5,0,210,301,23,17,0,5,3,2|2|1|1|1|1|2|11|2,1|1|0|0|1|0|2|11|1,0|0|0|0|0|0|0|0|0,1|0|1|1|0|1|0|0|1,0|1|0|1|0|1|0|0|0,449,2,0.8710533082485199,0.2731349378824234,0.9986321866512299,0.03605836532078684,1,,False,False,False,unknown_pass_final_outcome_matured
29,29,RETIRED,UNKNOWN_PASS_EXHAUSTED,132,219,9,9,23,0,4,5,0,210,301,35,28,0,4,4,1|1|1|2|1|2|1|24|2,0|1|0|0|1|0|1|24|1,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|1,0|0|0|2|0|2|0|0|0,449,0,0.8815189988716788,0.250161644557248,0.999613256558128,0.027752141784572894,5,,False,False,False,unknown_pass_outcome_interrupted_by_failure
67,67,RETIRED,UNKNOWN_PASS_EXHAUSTED,160,233,7,8,14,0,4,5,0,210,301,26,18,0,3,5,1|1|1|2|2|2|1|15|1,0|1|0|0|1|0|1|15|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|1,0|0|0|2|1|2|0|0|0,444,0,0.882642422403608,0.2709923471723284,0.9984269653047834,0.05339722401861634,4,,False,False,False,unknown_pass_final_outcome_matured
271,271,RETIRED,UNKNOWN_PASS_EXHAUSTED,220,241,7,7,17,0,3,6,0,146,365,29,20,0,5,12,2|1|2|1|1|1|0|19|2,0|1|0|0|1|0|0|18|0,0|0|0|0|0|0|0|0|0,1|0|2|0|0|1|0|0|1,2|0|0|4|0|0|4|1|1,445,0,0.9093101375243243,0.26458867595476265,0.9998313854722416,0.018388515393513338,8,,False,True,True,direct_final_action
95,95,RETIRED,UNKNOWN_PASS_EXHAUSTED,155,252,8,9,44,0,5,4,0,334,177,55,47,0,1,7,2|10|1|1|14|7|1|9|10,0|10|1|1|12|5|1|7|10,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,1|0|0|0|2|2|0|2|0,449,1,0.9134851436723362,0.44039962643926794,0.9979091665961526,0.06983132194727659,0,,False,True,True,direct_final_action
2,2,RETIRED,UNKNOWN_PASS_EXHAUSTED,231,288,5,6,25,0,2,7,0,18,493,37,30,0,6,6,2|1|1|1|26|0|2|2|2,0|1|0|0|25|0|1|2|1,0|0|0|0|0|0|0|0|0,2|0|1|1|0|0|1|0|1,0|0|0|0|1|2|0|2|1,425,2,0.8850821447372437,0.36894691467285157,0.9986348056793213,0.04917552574304864,8,,False,False,False,unknown_pass_final_outcome_matured
