pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
89,ACTIVE,4,0,0,1,1,INITIAL,4,5,44.44444444444444,5,0,4,248,0,263,5,0,0,3,2,1|2|1|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|1,0|2|0|0|0|0|0|0|0,157,329,0.9723360538482666,0.16284248232841492,1.0000001192092896,0.0,1,False,False
153,ACTIVE,4,0,0,5,5,INITIAL,8,1,88.88888888888889,8,0,1,509,0,2,9,2,0,0,7,1|2|1|1|1|0|1|1|1,0|0|0|0|1|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|2|1|1|0|0|1|1|0,164,225,0.9618806004524231,0.19402535855770112,1.0,0.0,5,False,False
27,ACTIVE,4,1,1,4,4,INITIAL,6,3,66.66666666666667,5,0,4,496,0,15,9,2,0,3,3,1|4|1|1|1|0|0|0|1,0|1|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,1|0|1|1|0|0|0|0|0,0|2|0|0|1|0|0|0|0,164,194,0.9624564498662949,0.19482658803462982,0.9993617534637451,0.0271288575604558,5,False,False
340,ACTIVE,4,0,0,2,2,INITIAL,4,5,44.44444444444444,9,0,0,511,0,0,6,2,0,0,3,0|3|1|0|1|0|0|0|1,0|1|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|1|0|0|0|0|0|1,164,211,0.9970475733280182,0.027739237062633038,0.9996955096721649,0.04694937728345394,2,False,False
112,ACTIVE,4,0,0,5,5,INITIAL,8,1,88.88888888888889,5,0,4,107,0,404,9,1,0,2,7,1|1|1|1|1|1|0|1|2,0|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|1|0,1|1|2|0|0|1|0|0|2,165,330,0.9963869690895081,0.20866836607456207,1.0000001192092896,0.0,5,False,False
183,ACTIVE,4,0,0,5,5,INITIAL,8,1,88.88888888888889,1,0,8,64,0,447,9,0,0,7,6,1|1|1|1|1|1|0|1|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|0|1|1,2|0|1|1|0|0|0|0|2,169,330,0.9995078921318055,0.21082809567451477,0.9996325373649597,0.037668706849217415,5,False,False
181,ACTIVE,4,0,0,5,5,INITIAL,8,1,88.88888888888889,3,0,6,100,0,411,9,0,0,5,4,1|1|1|1|1|1|0|1|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|1|0|1|1|0|0|1|0,0|0|1|0|0|1|0|0|2,171,298,0.9992395162582397,0.20254998207092284,0.9998931288719177,0.014124452881515027,5,False,False
5,ACTIVE,4,0,0,5,5,INITIAL,7,1,77.77777777777777,7,0,2,505,0,6,10,1,0,1,8,1|3|1|1|1|0|1|1|1,0|1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,1|2|0|1|1|0|1|1|1,173,299,0.9758487462997436,0.16239303201436997,0.9991887211799622,0.030254045501351357,5,False,False
378,ACTIVE,4,0,0,7,7,UNKNOWN,9,1,100.0,1,0,8,128,0,383,11,0,0,5,7,1|1|1|1|2|1|2|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|1|0|1|0|0|1,0|2|0|0|2|0|2|1|0,182,221,0.9753965820584979,0.07636503343071256,1.0000001192092896,0.0,7,False,False
255,ACTIVE,4,0,0,1,1,INITIAL,3,6,33.333333333333336,8,1,0,509,2,0,5,2,0,0,3,0|3|1|0|0|0|0|0|1,0|2|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|1|0|0|0|0|0|1,183,240,0.9838911890983582,0.14655573666095734,0.9960956573486328,0.09007620066404343,1,False,False
11,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,7,0,2,505,0,6,4,1,0,1,2,0|1|3|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|0|0|0,0|0|2|0|0|0|0|0|0,196,196,0.0,0.0,0.0,0.0,0,False,False
32,ACTIVE,4,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,253,2,256,4,3,0,1,0,0|3|0|0|0|0|0|0|1,0|3|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,201,201,0.0,0.0,0.0,0.0,0,False,False
246,ACTIVE,4,0,0,10,10,UNKNOWN,9,1,100.0,2,0,7,68,0,443,14,1,0,3,10,2|1|2|2|1|2|1|1|2,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|1|0|0|1|0,2|0|1|2|0|2|1|0|2,222,344,0.9993423223495483,0.19285298213362695,0.999408632516861,0.053187135607004166,10,False,True
754,ACTIVE,4,0,0,2,2,INITIAL,4,5,44.44444444444444,6,0,3,249,0,262,6,0,0,2,4,1|3|1|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|1,1|3|0|0|0|0|0|0|0,224,332,0.9700876772403717,0.09287169575691223,1.0,0.0,2,False,False
790,ACTIVE,4,0,0,3,3,INITIAL,6,3,66.66666666666667,7,0,2,505,0,6,7,0,0,1,6,1|2|1|1|1|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,1|2|0|1|1|0|0|0|1,227,337,0.9698732495307922,0.13228716949621835,0.998945971330007,0.035153862088918686,3,False,False
