episode,cumulative_pools_created
62,1
62,2
62,3
62,4
62,5
62,6
62,7
62,8
62,9
62,10
62,11
62,12
62,13
62,14
63,15
63,16
63,17
63,18
63,19
63,20
63,21
63,22
63,23
63,24
63,25
63,26
63,27
63,28
63,29
64,30
64,31
64,32
64,33
65,34
65,35
66,36
66,37
66,38
67,39
69,40
69,41
70,42
70,43
71,44
71,45
71,46
71,47
74,48
74,49
76,50
78,51
78,52
78,53
79,54
80,55
86,56
86,57
86,58
91,59
93,60
93,61
108,62
117,63
125,64
125,65
130,66
142,67
146,68
147,69
150,70
150,71
155,72
159,73
163,74
163,75
169,76
171,77
171,78
171,79
172,80
176,81
182,82
185,83
192,84
194,85
201,86
201,87
210,88
217,89
217,90
218,91
225,92
227,93
233,94
236,95
248,96
251,97
254,98
255,99
256,100
263,101
265,102
275,103
287,104
297,105
298,106
301,107
317,108
320,109
323,110
323,111
351,112
357,113
360,114
374,115
380,116
383,117
385,118
390,119
400,120
402,121
402,122
404,123
409,124
410,125
416,126
429,127
433,128
442,129
