pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
5,ACTIVE,2,0,0,2,2,INITIAL,4,5,44.44444444444444,6,2,1,474,5,32,4,2,0,1,1,1|0|1|0|0|1|0|0|1,1|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|0|0|0,0|0|0|0|0|0|0|0|1,73,121,0.9245507121086121,0.22350142151117325,0.9963551461696625,0.05674767410522463,2,False,False
33,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,2,1,444,65,2,3,2,0,1,0,1|1|0|0|0|0|1|0|0,1|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,83,107,0.8688968420028687,0.2868024706840515,1.0,0.0,1,False,False
15,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,507,4,0,2,1,0,0,1,0|0|1|0|0|0|0|0|1,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,84,84,0.0,0.0,0.0,0.0,0,False,False
69,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,251,4,256,2,1,0,1,0,0|0|1|0|0|0|0|0|1,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,87,87,0.0,0.0,0.0,0.0,0,False,False
61,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,509,0,2,2,0,0,1,1,0|1|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,90,90,0.0,0.0,0.0,0.0,0,False,False
125,ACTIVE,2,0,0,7,7,UNKNOWN,9,1,100.0,1,4,4,1,360,150,9,4,0,4,1,1|1|1|1|1|1|1|1|1,0|0|0|1|0|1|1|0|1,0|0|0|0|0|0|0|0|0,0|1|1|0|1|0|0|1|0,1|0|0|0|0|0|0|0|0,97,186,0.8711430260113308,0.40320591415677753,0.9955785615103585,0.11515079811215401,6,False,True
59,ACTIVE,2,0,0,3,3,INITIAL,5,4,55.55555555555556,4,3,2,284,97,130,5,3,0,2,0,1|1|0|0|0|1|1|1|0,1|0|0|0|0|1|1|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,103,149,0.8883869250615438,0.3489394287268321,0.9997050166130066,0.02145675290375948,3,False,False
77,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,508,2,1,2,1,0,1,0,1|1|0|0|0|0|0|0|0,0|1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,108,108,0.0,0.0,0.0,0.0,0,False,False
183,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,445,64,2,2,1,0,1,0,0|1|0|0|0|0|1|0|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,116,116,0.0,0.0,0.0,0.0,0,False,False
161,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,9,0,0,511,0,0,2,0,0,0,2,0|1|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|1|0|0,118,118,0.0,0.0,0.0,0.0,0,False,False
