eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
273,1,255,255,18,1,False,False,511,0,0,1,0,0,0,1,False
273,1,255,255,18,1,False,False,511,0,0,1,0,0,0,1,False
282,1,255,255,27,1,False,False,511,0,0,1,0,0,0,1,False
282,1,256,256,26,1,False,False,511,0,0,1,1,0,0,0,False
282,1,256,256,26,1,False,False,511,0,0,1,0,0,0,1,False
282,1,256,256,26,1,False,False,511,0,0,1,0,0,0,1,False
282,1,256,256,26,1,False,False,511,0,0,1,0,0,0,1,False
282,1,256,256,26,1,False,False,511,0,0,1,0,0,0,1,False
282,1,257,257,25,1,False,False,511,0,0,1,0,0,0,1,False
282,1,257,257,25,1,False,False,511,0,0,1,0,0,0,1,False
282,1,258,258,24,1,False,False,511,0,0,1,1,0,0,0,False
282,1,258,258,24,1,False,False,511,0,0,1,0,0,0,1,False
282,1,260,260,22,1,False,False,511,0,0,1,0,0,0,1,False
282,1,260,260,22,1,False,False,511,0,0,1,0,0,0,1,False
282,1,260,260,22,1,False,False,511,0,0,1,0,0,0,1,False
282,1,260,260,22,1,False,False,511,0,0,1,0,0,0,1,False
282,1,262,262,20,1,False,False,511,0,0,1,1,0,0,0,False
282,1,262,262,20,1,False,False,511,0,0,1,1,0,0,0,False
282,1,262,262,20,1,False,False,511,0,0,1,1,0,0,0,False
282,1,262,262,20,1,False,False,511,0,0,1,0,0,0,1,False
282,1,262,262,20,1,False,False,511,0,0,1,0,0,0,1,False
282,1,262,262,20,1,False,False,511,0,0,1,0,0,0,1,False
282,1,262,262,20,1,False,False,511,0,0,1,0,0,0,1,False
282,1,263,263,19,1,False,False,511,0,0,1,0,0,0,1,False
282,1,265,265,17,1,False,False,511,0,0,1,0,0,0,1,False
282,1,265,265,17,1,False,False,511,0,0,1,0,0,0,1,False
282,1,266,266,16,1,False,False,511,0,0,1,0,0,0,1,False
282,1,266,266,16,1,False,False,511,0,0,1,0,0,0,1,False
282,1,266,266,16,1,False,False,511,0,0,1,0,0,0,1,False
282,1,267,267,15,1,False,False,511,0,0,1,1,0,0,0,False
282,1,267,267,15,1,False,False,511,0,0,1,1,0,0,0,False
