retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
30,30,RETIRED,UNKNOWN_PASS_EXHAUSTED,25,41,8,9,62,0,0,9,0,0,511,72,6,0,3,63,1|1|1|1|2|1|1|63|1,0|0|0|0|0|0|0|6|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|1|0|2|1|0|57|1,290,0,0.9074024750340369,0.3412395436917582,0.999874024621902,0.02160617049441733,-1,,False,False,False,status_filtered_pass_end
4,4,RETIRED,UNKNOWN_PASS_EXHAUSTED,19,46,10,9,71,0,0,9,0,0,511,88,8,0,8,85,3|1|2|1|2|2|2|73|2,0|0|0|0|1|0|1|6|0,0|0|0|0|0|0|0|0|0,2|0|2|0|0|2|0|0|2,0|2|0|2|2|1|2|75|1,298,0,0.8966814195606071,0.3662502706890375,0.9998868779397346,0.019762020685191884,4,,False,False,False,unknown_pass_outcome_interrupted_by_failure
115,115,RETIRED,UNKNOWN_PASS_EXHAUSTED,39,53,6,7,24,0,0,9,0,0,511,35,3,0,5,32,1|1|1|1|1|1|2|26|1,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,1|0|1|1|0|0|1|0|1,0|1|1|1|1|1|2|24|1,294,0,0.8857449193795522,0.3178045315047105,0.9998669375975927,0.021431570193575073,-1,,False,False,False,status_filtered_pass_end
19,19,RETIRED,UNKNOWN_PASS_EXHAUSTED,26,72,6,8,23,0,0,9,0,0,511,31,3,0,3,29,1|1|0|1|2|1|1|23|1,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|1|0|2|1|1|22|1,299,0,0.8916011634080306,0.3438466878040977,0.9998423664466195,0.021873521171864526,3,,False,True,True,direct_final_action
144,144,RETIRED,UNKNOWN_PASS_EXHAUSTED,46,75,7,9,19,0,0,9,0,0,511,32,2,1,0,46,1|2|1|1|14|1|1|10|1,0|0|0|0|2|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,2|2|2|3|16|1|3|14|3,262,1,0.9245790180407072,0.49904703780224446,0.9992096926036634,0.0621393231282893,-1,,False,False,False,status_filtered_pass_end
406,406,RETIRED,UNKNOWN_PASS_EXHAUSTED,82,92,2,3,14,0,0,9,0,0,511,22,1,0,4,47,1|0|1|0|2|1|1|15|1,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|1,0|1|0|1|2|1|2|39|1,288,0,0.8818008261067527,0.3331315496138164,0.9998645143849509,0.020084422175256935,-1,,False,False,False,status_filtered_pass_end
187,187,RETIRED,UNKNOWN_PASS_EXHAUSTED,66,114,7,9,21,0,0,9,0,0,511,32,1,2,1,28,1|1|1|1|13|1|1|4|9,0|0|0|0|0|0|0|1|0,0|0|0|0|1|0|0|1|0,1|0|0|0|0|0|0|0|0,0|1|1|1|12|1|1|2|9,289,1,0.9348984105246407,0.4382714359533219,0.9995432410921369,0.045180600275108146,0,,False,True,True,direct_final_action
551,551,RETIRED,UNKNOWN_PASS_EXHAUSTED,123,140,3,4,6,0,0,9,0,0,511,14,0,0,4,39,1|1|1|0|1|1|0|8|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|1,0|1|0|1|1|1|1|33|1,248,0,0.9160292247931162,0.28359988580147427,0.9998418291409811,0.02043622776788349,-1,,False,False,False,status_filtered_pass_end
641,641,RETIRED,UNKNOWN_PASS_EXHAUSTED,113,144,3,4,20,0,0,9,0,0,511,32,4,0,8,60,2|1|2|1|0|2|0|22|2,0|0|0|0|0|0|0|4|0,0|0|0|0|0|0|0|0|0,2|0|2|0|0|2|0|0|2,0|2|0|2|2|1|2|50|1,281,0,0.8852339655160903,0.3659466490149498,0.9998748421669006,0.02036332636125735,-1,,False,False,False,status_filtered_pass_end
682,682,RETIRED,UNKNOWN_PASS_EXHAUSTED,122,160,4,6,0,0,0,9,0,0,511,7,0,0,2,12,1|1|1|1|1|0|1|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|0,0|1|0|1|1|1|1|6|1,-1,-1,0.0,0.0,0.0,0.0,2,,False,True,True,direct_final_action
678,678,RETIRED,UNKNOWN_PASS_EXHAUSTED,133,216,4,6,4,0,0,9,0,0,511,10,2,1,1,15,0|0|1|1|5|0|1|1|1,0|0|0|0|2|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|1|0|0|0|0|0|0,1|1|0|1|5|1|1|4|1,292,1,0.9526100754737854,0.43392591178417206,0.9987673461437225,0.06650644214823842,2,,False,True,True,direct_final_action
749,749,RETIRED,UNKNOWN_PASS_EXHAUSTED,204,245,2,3,4,0,0,9,0,0,511,10,1,0,3,22,1|0|1|1|1|1|0|5|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,0|1|0|1|1|1|1|16|1,297,0,0.9067714214324951,0.2777978666126728,0.999826043844223,0.02570781286340207,-1,,False,False,False,status_filtered_pass_end
1293,1293,RETIRED,UNKNOWN_PASS_EXHAUSTED,220,257,3,4,2,0,0,9,0,0,511,9,2,1,1,15,1|0|0|1|1|0|1|4|1,0|0|0|0|0|0|0|2|0,0|0|0|0|1|0|0|0|0,1|0|0|0|0|0|0|0|0,0|1|1|1|5|1|1|2|3,269,1,0.9613978266716003,0.40839970111846924,0.9995461702346802,0.04173304419964552,-1,,False,False,False,status_filtered_pass_end
1346,1346,RETIRED,UNKNOWN_PASS_EXHAUSTED,229,280,4,5,0,0,0,9,0,0,511,6,1,0,0,17,1|1|0|0|1|0|1|2|0,0|1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|1|1|1|5|1|1|3|3,-1,-1,0.0,0.0,0.0,0.0,-1,,False,False,False,status_filtered_pass_end
395,395,RETIRED,UNKNOWN_PASS_EXHAUSTED,176,281,4,5,0,0,0,9,0,0,511,7,1,1,0,25,0|1|0|0|2|1|2|1|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|2|1|1|7|2|2|6|3,-1,-1,0.0,0.0,0.0,0.0,-1,,False,False,False,status_filtered_pass_end
