pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
0,ACTIVE,2,0,0,2,2,INITIAL,4,1,44.44444444444444,1,1,7,2,128,381,5,1,0,3,4,1|0|1|0|1|1|0|1|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,0|0|0|1|1|0|1|0|1,63,89,0.8664668798446655,0.30538809299468994,0.992161899805069,0.11525705829262733,2,False,False
12,ACTIVE,2,0,0,3,3,INITIAL,5,1,55.55555555555556,1,2,6,2,144,365,5,2,0,2,4,0|0|1|1|1|1|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|0,1|0|0|1|0|0|1|0|1,72,87,0.9206837018330892,0.2149448941151301,0.9926899075508118,0.10438969482978185,3,False,False
34,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,0,2,491,0,20,2,0,0,1,1,0|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,74,74,0.0,0.0,0.0,0.0,0,False,False
36,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,491,16,4,2,1,0,1,0,0|0|1|0|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,75,75,0.0,0.0,0.0,0.0,0,False,False
53,ACTIVE,2,2,1,0,0,INITIAL,3,6,33.333333333333336,6,2,1,359,144,8,4,3,0,1,0,0|0|0|1|2|0|0|1|0,0|0|0|0|2|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,77,77,0.0,0.0,0.0,0.0,1,False,False
2,ACTIVE,2,0,0,3,3,INITIAL,5,4,55.55555555555556,4,2,3,99,144,268,5,2,0,1,2,0|0|1|1|1|0|0|1|1,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,0|0|1|0|0|0|0|0|1,80,88,0.9084522724151611,0.2985521008570989,0.9970909953117371,0.05665183470894893,3,False,False
64,ACTIVE,2,0,0,0,0,INITIAL,2,4,22.22222222222222,4,0,5,163,0,348,2,0,0,1,4,0|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|1|1|0|1|0|1,81,81,0.0,0.0,0.0,0.0,0,False,False
84,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,487,16,8,2,1,0,0,1,0|0|0|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,85,85,0.0,0.0,0.0,0.0,0,False,False
126,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,0,2,494,0,17,2,0,0,1,1,1|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,91,91,0.0,0.0,0.0,0.0,0,False,False
128,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,92,92,0.0,0.0,0.0,0.0,0,False,False
