pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
0,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,1,2,125,256,130,3,1,0,2,0,0|1|0|0|0|0|0|1|1,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|1|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,40,48,0.9050450921058655,0.32536932826042175,0.9999563694000244,0.013831695541739464,1,False,False
40,ACTIVE,2,0,0,2,2,INITIAL,4,5,44.44444444444444,5,2,2,103,144,264,4,2,0,0,2,0|0|0|1|1|0|0|1|1,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|1,46,81,0.8828889727592468,0.23302947729825974,0.9964247643947601,0.0671769380569458,2,False,False
52,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,3,0,111,400,0,3,3,0,0,0,0|0|0|0|1|0|0|1|1,0|0|0|0|1|0|0|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,51,85,0.8746532201766968,0.2652662992477417,0.999921977519989,0.010146715678274632,1,False,False
85,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,487,16,8,2,1,0,0,1,0|0|0|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,52,52,0.0,0.0,0.0,0.0,0,False,False
126,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,1,2,483,16,12,3,1,0,1,1,0|0|1|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,58,67,0.8554791808128357,0.33909672498703003,0.9947614073753357,0.10651490092277527,1,False,False
23,ACTIVE,2,2,1,1,1,INITIAL,4,5,44.44444444444444,5,2,2,103,144,264,5,3,0,0,3,0|0|0|1|2|0|0|1|1,0|0|0|0|2|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|2,67,89,0.8749969601631165,0.2523804008960724,0.9908088445663452,0.10562850534915924,2,False,False
89,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,487,16,8,2,1,0,0,1,0|0|0|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,75,75,0.0,0.0,0.0,0.0,0,False,False
152,ACTIVE,2,0,0,2,2,INITIAL,4,5,44.44444444444444,5,2,2,358,144,9,4,2,0,2,0,1|0|0|1|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,77,90,0.8961791396141052,0.3464418649673462,0.9954717457294464,0.11871671676635742,2,False,False
221,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,0,2,487,0,24,2,0,0,1,1,0|0|0|1|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,0|0|0|0|1|0|0|0|0,78,78,0.0,0.0,0.0,0.0,0,False,False
189,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,2,1,359,144,8,3,2,0,0,1,0|0|0|1|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,81,82,0.9486910104751587,0.25574102997779846,0.9936531782150269,0.12413550913333893,1,False,False
