phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,policy_safety_stop,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,step_cost,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,gamma,learning_rate,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts,mean_lane_boundary_clearance,minimum_lane_boundary_clearance,mean_nearest_collision_hazard_center_distance,minimum_nearest_collision_hazard_center_distance,mean_absolute_lane_offset,maximum_absolute_lane_offset,mean_absolute_heading_error,maximum_absolute_heading_error,mean_ego_speed,maximum_ego_speed
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,0,17,36cac250cf1c74b886e655def0a6b7e90bd0b54615dd0ea9a46bc1a086176559,-50.0,-50.0,1,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,1,0.2513903660001233,0.2514975260000001,0.0,0.0,0.0,1,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 1}",2.0,2.0,23.201797485351562,23.201797485351562,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,1,18,b6d0849ff1439293e3d4bb16eac202da6ba78c851fad02caf7268be2095b52d0,-50.0,-50.0,1,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,1,0.16649791900272248,0.16669651100000005,0.0,0.0,0.0,2,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 1}",2.0,2.0,21.690452575683594,21.690452575683594,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,2,19,e57319132e11070f7b4bba3de7fb66e34a908aefcf79305f1c21497449b0ea79,-49.9,-49.9,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3238734699989436,0.3240607190000002,0.0,0.0,0.0,4,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 2}",1.4224591255187988,0.8449182510375977,35.42647361755371,21.199874877929688,0.5775408744812012,1.1550817489624023,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,3,20,0ba4a0b0cca2d731cec42c693710b70f76f988e28984e6d3ead19d81f4b1700d,-50.0,-50.0,1,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,1,0.17201162000128534,0.17219736900000004,0.0,0.0,0.0,5,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 1}",2.0,2.0,24.384841918945312,24.384841918945312,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,4,21,0b97296c7f4bd20ba30779bc31e09b7940f45b5623c4985d4e66924747aa5b47,-49.95,-49.95,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3210452819985221,0.3212651769999999,0.0,0.0,0.0,7,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 2}",1.4224590063095093,0.8449180126190186,37.36396598815918,23.55971908569336,0.5775409936904907,1.1550819873809814,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,5,22,234bea4fcdd04a76f5e92a8b1fb1f556dcd02702a7e30d892a0d6eab773d1bc2,-50.0,-50.0,1,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,1,0.1705789910047315,0.17079284300000008,0.0,0.0,0.0,8,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 1}",2.0,2.0,23.900724411010742,23.900724411010742,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,6,23,d5965bd5c5d113d8054c5e83b673dd0a478c33433d594c34a43c8eb1e6141014,-49.95,-49.95,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3329033799964236,0.3330756309999998,0.0,0.0,0.0,10,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 2}",1.4224590063095093,0.8449180126190186,35.730844497680664,22.633987426757812,0.5775409936904907,1.1550819873809814,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,7,24,fbb4d4a11de948817667daf09cf5e033b2a17a818efb6cc7353d8dbf6fa8851a,-49.9,-49.9,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3384030230008648,0.3386450639999996,0.0,0.0,0.0,12,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 2}",1.4224591255187988,0.8449182510375977,38.980661392211914,24.22860336303711,0.5775408744812012,1.1550817489624023,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,8,25,23f2b5a941ff6c6b32b9bfdc263775807dc36acf708aaeb24f67f88ec360b13f,-49.9,-49.9,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.31568350800080225,0.3159851169999994,0.0,0.0,0.0,14,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 2}",1.4224591255187988,0.8449182510375977,36.6858024597168,22.86925506591797,0.5775408744812012,1.1550817489624023,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,9,26,c56ebf12053dd55adda84b3671df0f62f050983bb0c40d0b164d81e55286da97,-50.0,-50.0,1,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,1,0.16809024900430813,0.1681718029999999,0.0,0.0,0.0,15,0,0.99,5e-05,0.0,0.0,0.0,False,,"{""normalizer_warmup_argmax"": 1}",2.0,2.0,24.125324249267578,24.125324249267578,0.0,0.0,0.0,0.0,90.0,90.0
