pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
0,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,507,0,4,2,0,0,1,1,0|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,63,63,0.0,0.0,0.0,0.0,0,False,False
6,ACTIVE,2,2,1,7,7,UNKNOWN,9,2,100.0,2,3,4,257,146,108,12,4,0,3,6,1|1|2|1|2|1|2|1|1,0|1|0|0|2|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|2|0|0|1|0|0|0,1|0|0|2|0|0|2|0|1,69,86,0.9034291761262077,0.22518903868538992,0.9990320375987461,0.03465057823008725,6,False,True
12,ACTIVE,2,0,0,3,3,INITIAL,5,3,55.55555555555556,3,3,3,290,145,76,5,3,0,1,4,1|0|1|1|1|0|0|1|0,1|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|2|0|0|2|0|0,72,87,0.9206837018330892,0.2149448941151301,0.9926899075508118,0.10438969482978185,3,False,False
34,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,0,1,507,0,4,2,0,0,1,1,0|0|1|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|1|0|0|0|0,74,74,0.0,0.0,0.0,0.0,0,False,False
36,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,491,16,4,2,1,0,1,0,0|0|1|0|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,75,75,0.0,0.0,0.0,0.0,0,False,False
53,ACTIVE,2,2,1,0,0,INITIAL,3,6,33.333333333333336,6,2,1,359,144,8,4,3,0,1,0,0|0|0|1|2|0|0|1|0,0|0|0|0|2|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,77,77,0.0,0.0,0.0,0.0,1,False,False
2,ACTIVE,2,0,0,3,3,INITIAL,5,4,55.55555555555556,6,2,1,359,144,8,5,2,0,1,2,0|0|1|1|1|0|0|1|1,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,0|0|1|0|0|0|0|0|1,80,88,0.9084522922833761,0.2985521008570989,0.9970909953117371,0.05665183470894893,3,False,False
64,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,495,16,0,2,1,0,0,1,0|0|0|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,81,81,0.0,0.0,0.0,0.0,0,False,False
29,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,0,2,493,0,18,2,0,0,2,0,0|1|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|1|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,81,81,0.0,0.0,0.0,0.0,0,False,False
84,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,495,16,0,2,1,0,0,1,0|0|0|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,85,85,0.0,0.0,0.0,0.0,0,False,False
101,ACTIVE,2,0,0,0,0,INITIAL,2,5,22.22222222222222,5,2,2,295,144,72,2,2,0,0,4,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|2|0|0|2|0|0,89,89,0.0,0.0,0.0,0.0,0,False,False
129,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,91,91,0.0,0.0,0.0,0.0,0,False,False
140,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,92,92,0.0,0.0,0.0,0.0,0,False,False
10,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,491,16,4,2,1,0,1,0,0|0|1|0|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,93,93,0.0,0.0,0.0,0.0,0,False,False
154,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,93,93,0.0,0.0,0.0,0.0,0,False,False
172,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,8,1,0,495,16,0,2,1,0,0,1,0|0|0|0|1|0|1|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,94,94,0.0,0.0,0.0,0.0,0,False,False
