eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
285,1,98,98,187,1,False,False,495,16,0,1,1,0,0,0,False
285,1,99,99,186,1,False,False,495,16,0,1,1,0,0,0,False
285,1,100,100,185,1,False,False,495,16,0,1,1,0,0,0,False
285,1,105,105,180,1,False,False,495,16,0,1,1,0,0,0,False
285,1,105,105,180,1,False,False,510,1,0,1,1,0,0,0,False
285,1,105,105,180,1,False,False,510,1,0,1,1,0,0,0,False
285,1,105,105,180,1,False,False,510,1,0,1,1,0,0,0,False
285,1,105,105,180,1,False,False,511,0,0,1,0,0,0,1,False
285,1,107,107,178,1,False,False,495,16,0,1,1,0,0,0,False
285,1,107,107,178,1,False,False,495,16,0,1,1,0,0,0,False
285,1,107,107,178,1,False,False,495,16,0,1,1,0,0,0,False
285,1,107,107,178,1,False,False,495,16,0,1,1,0,0,0,False
285,1,107,107,178,1,False,False,495,16,0,1,1,0,0,0,False
285,1,109,109,176,1,False,False,495,16,0,1,1,0,0,0,False
285,1,113,113,172,1,False,False,495,16,0,1,1,0,0,0,False
285,1,114,114,171,1,False,False,495,16,0,1,1,0,0,0,False
285,1,114,114,171,1,False,False,495,16,0,1,1,0,0,0,False
285,1,114,114,171,1,False,False,511,0,0,1,0,0,0,1,False
285,1,115,115,170,1,False,False,495,16,0,1,1,0,0,0,False
285,1,117,117,168,1,False,False,495,16,0,1,1,0,0,0,False
285,1,121,121,164,1,False,False,495,16,0,1,1,0,0,0,False
285,1,125,125,160,1,False,False,511,0,0,1,0,0,0,1,False
285,1,128,128,157,1,False,False,495,16,0,1,1,0,0,0,False
285,1,128,128,157,1,False,False,495,16,0,1,1,0,0,0,False
285,1,129,129,156,1,False,False,495,16,0,1,1,0,0,0,False
285,1,129,129,156,1,False,False,495,16,0,1,1,0,0,0,False
285,1,130,130,155,1,False,False,495,16,0,1,1,0,0,0,False
285,1,133,133,152,1,False,False,495,16,0,1,1,0,0,0,False
285,1,135,135,150,1,False,False,495,16,0,1,1,0,0,0,False
285,1,135,135,150,1,False,False,495,16,0,1,1,0,0,0,False
