retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
9,9,RETIRED,UNKNOWN_PASS_EXHAUSTED,96,138,10,9,79,0,1,8,0,2,509,93,82,0,3,10,1|7|2|1|66|2|1|11|2,0|7|0|0|64|0|0|11|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|0|2|0|2|2|0|2|2,448,0,0.8968533979186529,0.24578840804250934,0.9935609464403949,0.03863026399925776,2,,False,False,False,unknown_pass_outcome_interrupted_by_failure
40,40,RETIRED,UNKNOWN_PASS_EXHAUSTED,111,226,10,9,11,0,4,5,0,210,301,25,15,0,3,7,2|2|1|2|12|1|2|2|1,0|2|0|0|11|0|1|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,2|0|0|2|1|0|1|1|0,444,0,0.8904283480210737,0.21735033257441086,0.9903520291501825,0.04075992539186369,0,,False,False,False,unknown_pass_outcome_interrupted_by_failure
87,87,RETIRED,UNKNOWN_PASS_EXHAUSTED,119,232,10,9,2,0,4,5,0,210,301,14,7,0,3,4,2|2|1|2|2|1|1|2|1,0|2|0|0|2|0|1|2|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,2|0|0|2|0|0|0|0|0,397,0,0.8746059536933899,0.2500893548130989,0.9988573789596558,0.017736440058797598,0,,False,False,False,unknown_pass_outcome_interrupted_by_failure
27,27,RETIRED,UNKNOWN_PASS_EXHAUSTED,159,247,7,7,18,0,3,6,0,146,365,28,21,0,3,7,1|2|2|1|18|1|1|2|0,0|1|0|0|18|0|0|2|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|2|0|0|2|0|0|2,412,2,0.8743541505601671,0.2820736649963591,0.986033644941118,0.05030115080686907,1,,False,False,False,unknown_pass_final_outcome_matured
95,95,RETIRED,UNKNOWN_PASS_EXHAUSTED,139,254,7,7,6,0,5,4,0,211,300,19,13,0,3,4,1|2|1|1|5|1|2|5|1,1|2|0|0|5|0|1|4|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,0|0|0|2|0|0|1|1|0,415,0,0.8978906174500784,0.2058045690258344,0.9886559347311655,0.04662607920666536,7,,False,False,False,unknown_pass_final_outcome_matured
300,300,RETIRED,UNKNOWN_PASS_EXHAUSTED,193,269,8,8,16,0,2,7,0,130,381,27,20,0,3,10,1|2|1|1|14|1|1|5|1,0|1|0|0|14|0|0|4|1,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|2|0|2|2|0|1|2,447,2,0.8784509859979153,0.27439131308346987,0.9906806722283363,0.04110907492577098,-1,,False,False,False,status_filtered_pass_end
93,93,RETIRED,UNKNOWN_PASS_EXHAUSTED,120,278,6,8,4,0,0,9,0,0,511,13,0,0,13,0,1|1|1|2|1|2|2|1|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1|1|1|2|1|2|2|1|2,0|0|0|0|0|0|0|0|0,409,1,0.9333358556032181,0.5115076154470444,0.9996732324361801,0.05391690693795681,1,,False,True,True,direct_final_action
254,254,RETIRED,UNKNOWN_PASS_EXHAUSTED,163,280,9,8,13,0,4,5,0,150,361,28,18,0,3,7,1|2|2|1|16|2|1|1|2,0|1|1|0|15|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|1|0|1|2|0|0|2,448,3,0.909757829629458,0.24226402548643258,0.9850753820859469,0.08159076923934314,1,,False,False,False,unknown_pass_final_outcome_matured
15,15,RETIRED,UNKNOWN_PASS_EXHAUSTED,101,313,9,9,0,0,4,5,0,402,109,16,7,0,3,7,2|2|1|2|3|1|2|1|2,0|2|0|0|3|0|0|1|1,0|0|0|0|0|0|0|0|0,2|0|1|0|0|0|0|0|0,0|0|0|2|0|2|2|0|1,-1,-1,0.0,0.0,0.0,0.0,3,,False,False,False,unknown_pass_outcome_interrupted_by_failure
23,23,RETIRED,UNKNOWN_PASS_EXHAUSTED,99,316,10,9,5,0,2,7,0,258,253,18,7,2,4,7,1|2|1|1|5|2|1|1|4,0|2|0|0|2|0|0|0|3,0|0|1|0|1|0|0|0|0,1|0|1|1|0|0|1|0|0,0|0|0|0|2|2|0|2|1,367,5,0.839444887638092,0.33975896835327146,0.9913668155670166,0.0647677967324853,5,,False,False,False,unknown_pass_outcome_interrupted_by_failure
