pool_id,status,promotion_evidence_visits,absorbed_candidate_visits,absorbed_candidate_action_evidence,active_pool_mask_visits,matched_state_count,exploration_pass,actions_tried,remaining_actions,coverage_percent,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,first_episode_created,last_episode_visited,mean_general_cosine_similarity,mean_general_rms_distance,mean_safety_cosine_similarity,mean_safety_rms_distance,centroid_updates,centroid_frozen_by_stability,centroid_frozen_by_cap
34,ACTIVE,2,0,0,4,4,INITIAL,6,3,66.66666666666667,3,1,5,266,128,117,6,1,0,3,2,1|0|1|0|1|1|1|1|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,0|0|0|0|1|0|1|0|0,74,254,0.8894977271556854,0.3095564618706703,0.9989914149045944,0.04743940170737915,4,False,False
84,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,1,1,487,16,8,2,1,0,0,1,0|0|0|1|1|0|0|0|0,0|0|0|0|1|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,85,85,0.0,0.0,0.0,0.0,0,False,False
142,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,93,93,0.0,0.0,0.0,0.0,0,False,False
218,ACTIVE,2,0,0,1,1,INITIAL,3,5,33.333333333333336,5,2,2,47,144,320,3,2,0,1,1,0|0|0|0|1|0|1|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|1,104,284,0.8750389218330383,0.3352300822734833,0.9960085153579712,0.1306735873222351,1,False,False
224,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,2,1,111,144,256,3,2,0,0,1,0|0|0|0|1|0|0|1|1,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1,104,131,0.9602499008178711,0.17061741650104523,0.9947730898857117,0.16947484016418457,1,False,False
247,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,107,107,0.0,0.0,0.0,0.0,0,False,False
286,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,109,109,0.0,0.0,0.0,0.0,0,False,False
319,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,112,112,0.0,0.0,0.0,0.0,0,False,False
321,ACTIVE,2,0,0,0,0,INITIAL,2,7,22.22222222222222,7,2,0,367,144,0,2,2,0,0,0,0|0|0|0|1|0|0|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,112,112,0.0,0.0,0.0,0.0,0,False,False
332,ACTIVE,2,0,0,1,1,INITIAL,3,6,33.333333333333336,6,2,1,303,144,64,3,2,0,0,1,0|0|0|0|1|0|1|1|0,0|0|0|0|1|0|0|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,113,113,0.9069725275039673,0.2515871226787567,0.9956927299499512,0.14609090983867645,1,False,False
