retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
6,6,RETIRED,UNKNOWN_PASS_EXHAUSTED,69,83,6,9,69,0,0,9,0,0,511,81,69,0,6,10,1|2|3|1|5|1|1|66|1,0|1|0|0|5|0|0|63|0,0|0|0|0|0|0|0|0|0,1|0|3|0|0|1|0|0|1,1|1|0|2|1|0|1|3|1,463,0,0.8947202934735063,0.25779292009015015,0.9980145174524059,0.04574129748347121,5,,False,True,True,direct_final_action
2,2,RETIRED,UNKNOWN_PASS_EXHAUSTED,80,104,8,9,61,0,0,9,0,0,511,72,63,0,3,9,1|3|1|1|24|1|1|39|1,0|2|0|0|24|0|0|37|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|2|0|1|1|0|3|1,466,0,0.9069189536766927,0.25407788499456935,0.9972366524524376,0.05042199395667594,1,,False,False,False,unknown_pass_final_outcome_matured
12,12,RETIRED,UNKNOWN_PASS_EXHAUSTED,72,105,5,6,26,0,0,9,0,0,511,35,28,0,4,10,1|2|1|1|21|1|0|7|1,0|2|0|0|21|0|0|5|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|1,1|1|0|1|1|0|1|4|1,444,0,0.9044359509761517,0.24545584619045258,0.9971248278251061,0.0524055539102007,1,,False,False,False,unknown_pass_final_outcome_matured
10,10,RETIRED,UNKNOWN_PASS_EXHAUSTED,93,112,3,4,12,0,1,8,0,2,509,21,16,0,4,7,1|5|2|0|2|1|0|10|0,0|5|0|0|2|0|0|9|0,0|0|0|0|0|0|0|0|0,1|0|2|0|0|1|0|0|0,0|0|0|1|1|1|2|1|1,470,0,0.8930626412232717,0.21485028291742006,0.9942592978477478,0.07291366322897375,1,,False,False,False,unknown_pass_final_outcome_matured
0,0,RETIRED,UNKNOWN_PASS_EXHAUSTED,63,113,4,5,10,0,0,9,0,0,511,18,11,0,3,8,1|3|1|0|1|1|0|11|0,0|2|0|0|0|0|0|9|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,1|1|0|1|1|0|1|2|1,341,0,0.8813977241516113,0.28920648992061615,0.9950605094432831,0.07449404251528904,1,,False,False,False,unknown_pass_final_outcome_matured
53,53,RETIRED,UNKNOWN_PASS_EXHAUSTED,77,131,7,9,49,0,0,9,0,0,511,63,52,0,3,9,1|7|1|1|9|1|1|41|1,0|7|0|0|8|0|0|37|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|1|0|1|1|0|4|1,455,0,0.9012164461369417,0.26213207567224694,0.9937136915265298,0.08702497220864254,1,,False,False,False,unknown_pass_final_outcome_matured
348,348,RETIRED,UNKNOWN_PASS_EXHAUSTED,161,188,1,2,6,0,2,7,0,130,381,13,9,0,4,4,1|2|1|0|0|1|0|7|1,0|2|0|0|0|0|0|7|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|1,0|0|0|1|1|0|1|0|1,458,0,0.8947966595490774,0.21073461572329202,0.9991132915019989,0.027908204317403335,1,,False,False,False,unknown_pass_final_outcome_matured
25,25,RETIRED,UNKNOWN_PASS_EXHAUSTED,94,192,7,9,19,0,0,9,0,0,511,31,19,1,0,11,1|3|1|1|18|1|1|4|1,0|2|0|0|15|0|0|2|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|1|1|1|3|1|1|1|1,470,3,0.9516924682416414,0.3074928804447776,0.9980580273427462,0.05754803733802155,1,,False,False,False,unknown_pass_outcome_interrupted_by_failure
64,64,RETIRED,UNKNOWN_PASS_EXHAUSTED,81,204,4,5,12,0,1,8,0,2,509,19,15,0,3,7,1|14|1|0|1|1|0|1|0,0|14|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,1|0|0|1|1|1|1|1|1,403,0,0.8898027042547861,0.2348910147945086,0.9982537825902303,0.04489941041295727,1,,False,False,False,unknown_pass_final_outcome_matured
128,128,RETIRED,UNKNOWN_PASS_EXHAUSTED,92,204,7,8,13,0,2,7,0,130,381,24,18,0,3,5,1|2|1|1|1|1|1|15|1,0|2|0|0|1|0|0|15|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,0|0|0|1|1|1|1|0|1,474,0,0.8892949819564819,0.23423501734550184,0.9973705869454604,0.05009107800343862,1,,False,False,False,unknown_pass_final_outcome_matured
397,397,RETIRED,UNKNOWN_PASS_EXHAUSTED,125,217,8,9,16,0,1,8,0,4,507,28,19,2,1,8,1|15|1|1|1|1|4|3|1,0|14|1|0|0|0|3|1|0,0|0|0|0|0|0|0|2|0,1|0|0|0|0|0|0|0|0,1|1|0|1|1|1|1|0|2,466,1,0.9392394982278347,0.31736060325056314,0.9957140721380711,0.09034281615458895,1,,False,False,False,unknown_pass_final_outcome_matured
160,160,RETIRED,UNKNOWN_PASS_EXHAUSTED,94,224,5,6,9,0,1,8,0,2,509,19,14,0,3,8,1|11|1|0|2|1|1|1|1,0|11|0|0|2|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,0|0|0|1|1|1|1|3|1,473,0,0.9044057528177897,0.2137402892112732,0.9990089072121514,0.032937181647866964,1,,False,False,False,unknown_pass_final_outcome_matured
36,36,RETIRED,UNKNOWN_PASS_EXHAUSTED,75,233,7,9,10,0,1,8,0,2,509,22,15,0,2,6,1|3|1|1|2|1|1|11|1,0|3|0|0|2|0|0|10|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1,469,0,0.8944659650325775,0.23580507636070253,0.9967636108398438,0.060636326926760374,1,,False,False,False,unknown_pass_final_outcome_matured
83,83,RETIRED,UNKNOWN_PASS_EXHAUSTED,110,236,7,8,13,0,0,9,0,0,511,25,16,0,6,10,1|5|1|1|3|1|2|10|1,0|5|0|0|2|0|0|9|0,0|0|0|0|0|0|0|0|0,1|0|1|1|0|1|2|0|0,0|1|1|1|1|1|1|3|1,437,0,0.8876955509185791,0.23232141595620376,0.9979819701268122,0.04815103393048048,1,,False,False,False,unknown_pass_final_outcome_matured
112,112,RETIRED,UNKNOWN_PASS_EXHAUSTED,188,239,2,3,5,0,1,8,0,2,509,12,8,0,3,6,1|6|1|0|1|1|0|2|0,0|6|0|0|0|0|0|2|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,0|0|0|1|1|1|1|1|1,418,2,0.9037509679794311,0.2254603236913681,0.9952803015708923,0.06924782916903496,1,,False,False,False,unknown_pass_final_outcome_matured
66,66,RETIRED,UNKNOWN_PASS_EXHAUSTED,134,275,7,9,5,0,3,6,0,266,245,16,10,1,1,6,1|3|1|1|4|1|1|3|1,0|3|0|1|3|0|0|2|1,0|0|0|0|0|0|0|1|0,0|0|1|0|0|0|0|0|0,2|0|0|0|1|2|1|0|0,380,1,0.9329821467399597,0.33328282833099365,0.9993518114089965,0.03470889367163181,2,,False,True,True,direct_final_action
726,726,RETIRED,UNKNOWN_PASS_EXHAUSTED,267,288,5,6,6,0,0,9,0,0,511,15,10,0,3,6,1|1|2|1|6|1|1|2|0,0|1|2|0|5|0|0|2|0,0|0|0|0|0|0|0|0|0,1|0|0|1|0|0|1|0|0,0|1|1|0|1|1|0|1|1,391,0,0.9157655835151672,0.308375284075737,0.997537245353063,0.06881242152303457,2,,False,False,False,unknown_pass_final_outcome_matured
643,643,RETIRED,UNKNOWN_PASS_EXHAUSTED,215,294,6,7,5,0,1,8,0,2,509,15,9,0,3,7,1|3|1|1|0|1|1|6|1,0|3|0|0|0|0|0|6|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|1|0|0|0,1|0|0|1|1|1|1|1|1,464,2,0.8945732355117798,0.31276938915252683,0.9928496241569519,0.10657064355909825,1,,False,False,False,unknown_pass_final_outcome_matured
493,493,RETIRED,UNKNOWN_PASS_EXHAUSTED,171,347,6,8,4,0,2,7,0,18,493,13,7,0,2,5,1|1|1|1|5|1|1|1|1,0|1|0|0|5|0|1|0|0,0|0|0|0|0|0|0|0|0,1|0|1|0|0|0|0|0|0,0|0|0|1|0|1|1|1|1,420,0,0.9189648628234863,0.18221600353717804,0.9980583041906357,0.04622940067201853,0,,False,True,True,direct_final_action
309,309,RETIRED,UNKNOWN_PASS_EXHAUSTED,115,362,5,8,2,0,2,7,0,130,381,11,5,0,3,4,1|1|1|1|1|1|1|3|1,0|1|0|0|1|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|1|0|0|1,1|0|0|1|1|0|1|0|0,472,1,0.9267852008342743,0.2802816480398178,0.9925928115844727,0.11023034807294607,8,,False,True,True,direct_final_action
67,67,RETIRED,UNKNOWN_PASS_EXHAUSTED,111,364,5,8,4,0,3,6,0,385,126,15,11,0,1,5,1|0|1|1|1|1|1|8|1,1|0|0|0|1|0|0|8|1,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,0|1|0|1|1|1|1|0|0,472,2,0.9568140655755997,0.32721591740846634,0.997052788734436,0.09920678194612265,2,,False,True,True,direct_final_action
1711,1711,RETIRED,UNKNOWN_PASS_EXHAUSTED,362,397,4,5,12,0,2,7,0,80,431,22,16,0,4,6,1|0|1|0|14|2|1|2|1,0|0|0|0|14|0|1|1|0,0|0|0|0|0|0|0|0|0,0|0|1|0|0|2|0|0|1,1|1|0|1|0|0|0|3|0,472,0,0.9155751019716263,0.23197598134477934,0.9984761426846186,0.03844715084414929,-1,,False,False,False,status_filtered_pass_end
126,126,RETIRED,UNKNOWN_PASS_EXHAUSTED,91,409,5,6,2,0,2,7,0,6,505,12,7,1,3,4,1|3|2|1|2|0|1|1|1,0|3|2|0|1|0|0|0|1,0|0|0|0|0|0|0|1|0,1|0|0|1|0|0|1|0|0,0|0|0|0|1|1|0|1|1,469,2,0.8663515746593475,0.3850926607847214,0.9987641274929047,0.06405225489288568,2,,False,False,False,unknown_pass_final_outcome_matured
562,562,RETIRED,UNKNOWN_PASS_EXHAUSTED,317,438,4,5,0,0,1,8,0,2,509,8,5,1,0,7,0|3|1|0|1|1|0|2|0,0|3|0|0|1|0|0|1|0,0|0|0|0|0|0|0|1|0,0|0|0|0|0|0|0|0|0,1|0|1|1|1|1|1|0|1,-1,-1,0.0,0.0,0.0,0.0,-1,,False,False,False,status_filtered_pass_end
921,921,RETIRED,UNKNOWN_PASS_EXHAUSTED,319,460,6,8,1,0,5,4,0,314,197,9,6,2,1,2,1|2|1|1|1|1|0|1|1,0|2|0|1|1|1|0|0|1,0|0|1|0|0|0|0|1|0,0|0|1|0|0|0|0|0|0,1|0|0|0|0|0|1|0|0,464,8,0.9660561084747314,0.28907185792922974,0.9980271458625793,0.11909568309783936,2,,True,True,True,direct_final_action
1675,1675,RETIRED,UNKNOWN_PASS_EXHAUSTED,385,471,5,7,0,0,4,5,0,282,229,7,4,0,1,4,0|1|1|1|1|0|1|1|1,0|1|0|1|1|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0,1|0|0|0|0|1|1|1|0,-1,-1,0.0,0.0,0.0,0.0,2,,False,True,True,direct_final_action
