series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,1,24,25,1806,0.5537098560354374,0.04,13.289036544850498,0.96,13.842746400885936,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,2,23,25,1955,1.0230179028132993,0.08,11.764705882352942,0.92,12.787723785166241,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,2,23,25,1823,1.0970927043335161,0.08,12.616566099835437,0.92,13.713658804168952,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,2,23,25,2050,0.975609756097561,0.08,11.21951219512195,0.92,12.195121951219512,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,6,22,25,2272,2.640845070422535,0.24,9.683098591549296,0.88,11.003521126760564,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,8,20,25,2276,3.51493848857645,0.32,8.787346221441124,0.8,10.984182776801406,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,7,19,25,2138,3.2740879326473338,0.28,8.886810102899906,0.76,11.693171188026193,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,10,17,25,2284,4.378283712784588,0.4,7.4430823117338,0.68,10.945709281961472,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,6,20,25,2505,2.395209580838323,0.24,7.984031936127744,0.8,9.980039920159681,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,7,20,25,2143,3.2664489034064395,0.28,9.332711152589827,0.8,11.665888940737284,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,7,19,25,2503,2.796644027167399,0.28,7.59089093088294,0.76,9.988014382740712,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,7,20,25,2364,2.961082910321489,0.28,8.460236886632826,0.8,10.575296108291033,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,4,23,25,2030,1.9704433497536946,0.16,11.330049261083744,0.92,12.31527093596059,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,7,20,25,2020,3.4653465346534653,0.28,9.900990099009901,0.8,12.376237623762377,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,4,25,25,2072,1.9305019305019304,0.16,12.065637065637066,1.0,12.065637065637066,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,4,21,25,2736,1.4619883040935673,0.16,7.675438596491228,0.84,9.137426900584796,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,4,22,25,2212,1.8083182640144666,0.16,9.945750452079565,0.88,11.301989150090415,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,8,19,25,2353,3.399915002124947,0.32,8.074798130046748,0.76,10.62473438164046,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,9,18,25,2384,3.7751677852348995,0.36,7.550335570469799,0.72,10.486577181208053,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,9,18,25,2378,3.7846930193439867,0.36,7.569386038687973,0.72,10.513036164844408,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,11,16,25,1949,5.643919958953309,0.44,8.209338122113904,0.64,12.827090815802975,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,9,18,24,1949,4.617752693689071,0.36,9.235505387378142,0.72,12.314007183170856,0.96
epsilon,Epsilon Greedy,test,3,50,74,25,11,18,25,1806,6.0908084163898115,0.44,9.966777408637874,0.72,13.842746400885936,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,15,14,25,2035,7.371007371007371,0.6,6.87960687960688,0.56,12.285012285012286,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,14,14,25,1901,7.364544976328248,0.56,7.364544976328248,0.56,13.150973172014728,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,14,14,25,1862,7.518796992481203,0.56,7.518796992481203,0.56,13.426423200859292,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,14,13,25,1774,7.891770011273957,0.56,7.3280721533258175,0.52,14.092446448703495,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,14,14,25,1798,7.786429365962181,0.56,7.786429365962181,0.56,13.904338153503893,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,16,16,25,1968,8.130081300813009,0.64,8.130081300813009,0.64,12.703252032520325,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,14,13,25,1987,7.0457976849521895,0.56,6.542526421741319,0.52,12.581781580271766,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,15,14,25,1826,8.214676889375685,0.6,7.667031763417306,0.56,13.691128148959475,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,16,12,25,1911,8.372579801151229,0.64,6.279434850863423,0.48,13.082155939298797,1.0
noisy,NoisyNet DQN,train,1,0,24,25,0,17,17,6342,0.0,0.0,2.6805424156417534,0.68,2.6805424156417534,0.68
noisy,NoisyNet DQN,train,2,25,49,25,0,18,18,6604,0.0,0.0,2.725620835857056,0.72,2.725620835857056,0.72
noisy,NoisyNet DQN,train,3,50,74,25,0,25,25,2701,0.0,0.0,9.255831173639393,1.0,9.255831173639393,1.0
noisy,NoisyNet DQN,train,4,75,99,25,0,25,25,2016,0.0,0.0,12.40079365079365,1.0,12.40079365079365,1.0
noisy,NoisyNet DQN,train,5,100,124,25,0,25,25,1733,0.0,0.0,14.425851125216388,1.0,14.425851125216388,1.0
noisy,NoisyNet DQN,train,6,125,149,25,0,25,25,1434,0.0,0.0,17.433751743375176,1.0,17.433751743375176,1.0
noisy,NoisyNet DQN,train,7,150,174,25,0,25,25,1434,0.0,0.0,17.433751743375176,1.0,17.433751743375176,1.0
noisy,NoisyNet DQN,train,8,175,199,25,0,25,25,1328,0.0,0.0,18.825301204819276,1.0,18.825301204819276,1.0
noisy,NoisyNet DQN,train,9,200,224,25,0,25,25,1357,0.0,0.0,18.422991893883566,1.0,18.422991893883566,1.0
noisy,NoisyNet DQN,train,10,225,249,25,0,25,25,1217,0.0,0.0,20.542317173377157,1.0,20.542317173377157,1.0
noisy,NoisyNet DQN,train,11,250,274,25,0,25,25,1199,0.0,0.0,20.85070892410342,1.0,20.85070892410342,1.0
noisy,NoisyNet DQN,train,12,275,299,25,3,25,25,1640,1.829268292682927,0.12,15.24390243902439,1.0,15.24390243902439,1.0
noisy,NoisyNet DQN,train,13,300,324,25,0,25,25,1176,0.0,0.0,21.258503401360546,1.0,21.258503401360546,1.0
noisy,NoisyNet DQN,train,14,325,349,25,4,25,25,1082,3.6968576709796674,0.16,23.10536044362292,1.0,23.10536044362292,1.0
noisy,NoisyNet DQN,train,15,350,374,25,1,25,25,1023,0.9775171065493646,0.04,24.437927663734115,1.0,24.437927663734115,1.0
noisy,NoisyNet DQN,train,16,375,399,25,1,25,25,1278,0.7824726134585289,0.04,19.561815336463223,1.0,19.561815336463223,1.0
noisy,NoisyNet DQN,train,17,400,424,25,1,24,25,1023,0.9775171065493646,0.04,23.46041055718475,0.96,24.437927663734115,1.0
noisy,NoisyNet DQN,train,18,425,449,25,4,25,25,1091,3.666361136571952,0.16,22.9147571035747,1.0,22.9147571035747,1.0
noisy,NoisyNet DQN,train,19,450,474,25,2,24,25,1370,1.4598540145985401,0.08,17.51824817518248,0.96,18.248175182481752,1.0
noisy,NoisyNet DQN,train,20,475,499,25,14,12,25,1846,7.583965330444204,0.56,6.500541711809317,0.48,13.542795232936077,1.0
noisy,NoisyNet DQN,test,1,0,24,25,10,16,25,1974,5.065856129685917,0.4,8.105369807497468,0.64,12.664640324214792,1.0
noisy,NoisyNet DQN,test,2,25,49,25,11,15,24,2030,5.41871921182266,0.44,7.389162561576355,0.6,11.822660098522167,0.96
noisy,NoisyNet DQN,test,3,50,74,25,9,18,25,1823,4.9369171695008225,0.36,9.873834339001645,0.72,13.713658804168952,1.0
noisy,NoisyNet DQN,test,4,75,99,25,15,13,25,2061,7.27802037845706,0.6,6.307617661329452,0.52,12.1300339640951,1.0
noisy,NoisyNet DQN,test,5,100,124,25,14,12,25,1937,7.227671657201858,0.56,6.19514713474445,0.48,12.906556530717605,1.0
noisy,NoisyNet DQN,test,6,125,149,25,13,13,25,1927,6.746237675142709,0.52,6.746237675142709,0.52,12.973533990659055,1.0
noisy,NoisyNet DQN,test,7,150,174,25,15,12,25,1779,8.431703204047217,0.6,6.745362563237774,0.48,14.05283867341203,1.0
noisy,NoisyNet DQN,test,8,175,199,25,15,13,25,1838,8.161044613710555,0.6,7.072905331882481,0.52,13.601741022850925,1.0
noisy,NoisyNet DQN,test,9,200,224,25,17,14,25,2010,8.457711442786069,0.68,6.965174129353234,0.56,12.437810945273633,1.0
noisy,NoisyNet DQN,test,10,225,249,25,13,13,25,2066,6.292352371732817,0.52,6.292352371732817,0.52,12.100677637947726,1.0
noisy,NoisyNet DQN,test,11,250,274,25,13,14,25,1867,6.963042313872522,0.52,7.4986609534011786,0.56,13.39046598821639,1.0
noisy,NoisyNet DQN,test,12,275,299,25,15,11,25,1927,7.784120394395433,0.6,5.708354955889985,0.44,12.973533990659055,1.0
rnd,DQN + RND,train,1,0,24,25,2,24,25,1976,1.0121457489878543,0.08,12.145748987854251,0.96,12.651821862348179,1.0
rnd,DQN + RND,train,2,25,49,25,2,24,25,1701,1.1757789535567313,0.08,14.109347442680775,0.96,14.697236919459142,1.0
rnd,DQN + RND,train,3,50,74,25,2,23,25,1365,1.465201465201465,0.08,16.84981684981685,0.92,18.315018315018314,1.0
rnd,DQN + RND,train,4,75,99,25,7,19,25,2261,3.0959752321981426,0.28,8.403361344537815,0.76,11.057054400707651,1.0
rnd,DQN + RND,train,5,100,124,25,6,21,25,2116,2.835538752362949,0.24,9.92438563327032,0.84,11.814744801512287,1.0
rnd,DQN + RND,train,6,125,149,25,9,18,25,2485,3.6217303822937628,0.36,7.2434607645875255,0.72,10.060362173038229,1.0
rnd,DQN + RND,train,7,150,174,25,6,21,25,2329,2.5762129669386002,0.24,9.016745384285102,0.84,10.734220695577502,1.0
rnd,DQN + RND,train,8,175,199,25,10,18,25,2395,4.175365344467641,0.4,7.515657620041754,0.72,10.438413361169102,1.0
rnd,DQN + RND,train,9,200,224,25,5,21,25,2404,2.0798668885191347,0.2,8.735440931780365,0.84,10.399334442595674,1.0
rnd,DQN + RND,train,10,225,249,25,8,21,25,2213,3.615002259376412,0.32,9.489380930863081,0.84,11.296882060551289,1.0
rnd,DQN + RND,train,11,250,274,25,9,19,25,2510,3.585657370517928,0.36,7.569721115537849,0.76,9.9601593625498,1.0
rnd,DQN + RND,train,12,275,299,25,4,21,25,2356,1.697792869269949,0.16,8.913412563667233,0.84,10.611205432937181,1.0
rnd,DQN + RND,train,13,300,324,25,4,23,25,2052,1.949317738791423,0.16,11.208576998050683,0.92,12.183235867446394,1.0
rnd,DQN + RND,train,14,325,349,25,9,19,25,2175,4.137931034482759,0.36,8.735632183908047,0.76,11.494252873563218,1.0
rnd,DQN + RND,train,15,350,374,25,7,20,25,2351,2.9774564015312635,0.28,8.507018290089324,0.8,10.633772862611655,1.0
rnd,DQN + RND,train,16,375,399,25,4,21,25,2480,1.6129032258064515,0.16,8.46774193548387,0.84,10.080645161290322,1.0
rnd,DQN + RND,train,17,400,424,25,7,20,25,2339,2.992731936725096,0.28,8.550662676357417,0.8,10.688328345446772,1.0
rnd,DQN + RND,train,18,425,449,25,7,18,25,2297,3.04745319982586,0.28,7.83630822812364,0.72,10.8837614279495,1.0
rnd,DQN + RND,train,19,450,474,25,10,15,25,2262,4.420866489832007,0.4,6.63129973474801,0.6,11.052166224580018,1.0
rnd,DQN + RND,train,20,475,499,25,12,15,25,2270,5.286343612334802,0.48,6.607929515418502,0.6,11.013215859030836,1.0
rnd,DQN + RND,test,1,0,24,25,10,16,25,1975,5.063291139240507,0.4,8.10126582278481,0.64,12.658227848101266,1.0
rnd,DQN + RND,test,2,25,49,25,11,15,24,2037,5.400098183603339,0.44,7.363770250368188,0.6,11.782032400589102,0.96
rnd,DQN + RND,test,3,50,74,25,9,18,25,1805,4.986149584487535,0.36,9.97229916897507,0.72,13.850415512465373,1.0
rnd,DQN + RND,test,4,75,99,25,14,13,25,2058,6.802721088435374,0.56,6.316812439261419,0.52,12.147716229348882,1.0
rnd,DQN + RND,test,5,100,124,25,14,13,25,1939,7.2202166064981945,0.56,6.704486848891181,0.52,12.893243940175347,1.0
rnd,DQN + RND,test,6,125,149,25,12,14,25,1895,6.332453825857519,0.48,7.387862796833773,0.56,13.192612137203167,1.0
rnd,DQN + RND,test,7,150,174,25,15,12,25,1783,8.412787436904095,0.6,6.730229949523276,0.48,14.021312394840157,1.0
rnd,DQN + RND,test,8,175,199,25,15,13,25,1839,8.156606851549755,0.6,7.0690592713431215,0.52,13.594344752582925,1.0
rnd,DQN + RND,test,9,200,224,25,17,14,25,2012,8.449304174950298,0.68,6.958250497017892,0.56,12.42544731610338,1.0
rnd,DQN + RND,test,10,225,249,25,13,13,25,2066,6.292352371732817,0.52,6.292352371732817,0.52,12.100677637947726,1.0
rnd,DQN + RND,test,11,250,274,25,13,14,25,1868,6.9593147751606,0.52,7.494646680942184,0.56,13.383297644539615,1.0
rnd,DQN + RND,test,12,275,299,25,15,11,25,1930,7.772020725388601,0.6,5.699481865284974,0.44,12.953367875647668,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,1,0,24,25,17,11,25,1815,9.366391184573002,0.68,6.0606060606060606,0.44,13.774104683195592,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,2,25,49,25,9,16,25,2045,4.400977995110025,0.36,7.823960880195599,0.64,12.224938875305623,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,3,50,74,25,7,22,25,1839,3.806416530723219,0.28,11.963023382272974,0.88,13.594344752582925,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,4,75,99,25,3,23,25,1255,2.3904382470119523,0.12,18.326693227091635,0.92,19.9203187250996,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,5,100,124,25,7,19,25,1707,4.100761570005858,0.28,11.130638547158759,0.76,14.645577035735208,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,6,125,149,25,5,23,25,1297,3.8550501156515034,0.2,17.733230531996917,0.92,19.275250578257516,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,7,150,174,25,4,22,25,1651,2.4227740763173835,0.16,13.32525741974561,0.88,15.142337976983645,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,8,175,199,25,8,17,25,1701,4.703115814226925,0.32,9.994121105232216,0.68,14.697236919459142,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,9,200,224,25,8,19,25,1861,4.29876410531972,0.32,10.209564750134337,0.76,13.433637829124127,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,10,225,249,25,10,17,25,1725,5.797101449275362,0.4,9.855072463768115,0.68,14.492753623188406,1.0
Karthikeya27adv8,Policy (Karthikeya27adv8),train,11,250,274,25,8,18,25,1873,4.271222637479979,0.32,9.610250934329953,0.72,13.347570742124933,1.0
