series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,5,20,25,2372,2.1079258010118043,0.2,8.431703204047217,0.8,10.539629005059021,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,3,22,25,2114,1.4191106906338695,0.12,10.406811731315043,0.88,11.825922421948912,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,4,23,25,1540,2.5974025974025974,0.16,14.935064935064934,0.92,16.233766233766232,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,6,22,25,2670,2.247191011235955,0.24,8.239700374531836,0.88,9.363295880149813,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,4,23,25,2108,1.8975332068311195,0.16,10.910815939278937,0.92,11.859582542694497,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,9,17,25,2305,3.9045553145336225,0.36,7.375271149674621,0.68,10.845986984815617,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,7,20,25,2606,2.686108979278588,0.28,7.674597083653108,0.8,9.593246354566386,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,6,20,25,2311,2.5962786672436176,0.24,8.654262224145391,0.8,10.817827780181739,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,5,20,25,2404,2.0798668885191347,0.2,8.319467554076539,0.8,10.399334442595674,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,6,19,25,2105,2.8503562945368173,0.24,9.026128266033254,0.76,11.876484560570072,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,8,19,25,2102,3.8058991436726926,0.32,9.039010466222646,0.76,11.893434823977165,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,7,22,25,2311,3.028991778450887,0.28,9.51968844655993,0.88,10.817827780181739,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,4,22,25,1932,2.070393374741201,0.16,11.387163561076605,0.88,12.939958592132506,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,6,23,25,2290,2.6200873362445414,0.24,10.043668122270743,0.92,10.91703056768559,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,6,19,25,2171,2.763703362505758,0.24,8.751727314601567,0.76,11.515430677107323,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,3,21,24,2252,1.3321492007104796,0.12,9.325044404973356,0.84,10.657193605683837,0.96
epsilon,Epsilon Greedy,train,17,400,424,25,6,19,25,2251,2.665482007996446,0.24,8.440693025322078,0.76,11.106175033318525,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,5,24,25,2287,2.1862702229995628,0.2,10.4940970703979,0.96,10.931351114997813,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,9,16,25,2203,4.0853381752156155,0.36,7.262823422605538,0.64,11.348161597821154,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,5,21,25,2067,2.4189646831156266,0.2,10.159651669085632,0.84,12.094823415578132,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,10,16,25,1966,5.0864699898270604,0.4,8.138351983723297,0.64,12.71617497456765,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,11,15,24,2026,5.429417571569595,0.44,7.403751233958539,0.6,11.846001974333662,0.96
epsilon,Epsilon Greedy,test,3,50,74,25,9,18,25,1824,4.934210526315789,0.36,9.868421052631579,0.72,13.706140350877194,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,15,12,25,2044,7.3385518590998045,0.6,5.870841487279844,0.48,12.230919765166341,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,13,12,25,1944,6.68724279835391,0.52,6.172839506172839,0.48,12.860082304526749,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,12,14,25,1896,6.329113924050633,0.48,7.383966244725738,0.56,13.185654008438819,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,15,12,25,1781,8.422234699606962,0.6,6.7377877596855695,0.48,14.03705783267827,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,15,13,25,1841,8.147745790331342,0.6,7.061379684953829,0.52,13.579576317218903,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,17,14,25,2011,8.453505718547985,0.68,6.9617105917454,0.56,12.431626056688215,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,13,13,25,2065,6.295399515738499,0.52,6.295399515738499,0.52,12.106537530266344,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,12,15,25,1870,6.4171122994652405,0.48,8.02139037433155,0.6,13.368983957219251,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,15,11,25,1931,7.767995857068876,0.6,5.696530295183843,0.44,12.94665976178146,1.0
noisy,NoisyNet DQN,train,1,0,24,25,0,14,14,8450,0.0,0.0,1.6568047337278107,0.56,1.6568047337278107,0.56
noisy,NoisyNet DQN,train,2,25,49,25,0,25,25,4218,0.0,0.0,5.926979611190138,1.0,5.926979611190138,1.0
noisy,NoisyNet DQN,train,3,50,74,25,0,25,25,3256,0.0,0.0,7.678132678132678,1.0,7.678132678132678,1.0
noisy,NoisyNet DQN,train,4,75,99,25,0,25,25,2124,0.0,0.0,11.770244821092279,1.0,11.770244821092279,1.0
noisy,NoisyNet DQN,train,5,100,124,25,1,25,25,2073,0.482392667631452,0.04,12.0598166907863,1.0,12.0598166907863,1.0
noisy,NoisyNet DQN,train,6,125,149,25,4,24,25,1569,2.5493945188017846,0.16,15.296367112810707,0.96,15.933715742511154,1.0
noisy,NoisyNet DQN,train,7,150,174,25,7,19,25,1726,4.055619930475087,0.28,11.00811123986095,0.76,14.484356894553882,1.0
noisy,NoisyNet DQN,train,8,175,199,25,13,14,25,1761,7.382169222032936,0.52,7.950028392958546,0.56,14.19647927314026,1.0
noisy,NoisyNet DQN,train,9,200,224,25,15,10,24,2027,7.40009866798224,0.6,4.93339911198816,0.4,11.840157868771584,0.96
noisy,NoisyNet DQN,train,10,225,249,25,9,16,25,1895,4.74934036939314,0.36,8.443271767810026,0.64,13.192612137203167,1.0
noisy,NoisyNet DQN,train,11,250,274,25,13,15,25,2033,6.394490900147566,0.52,7.378258730939498,0.6,12.297097884899165,1.0
noisy,NoisyNet DQN,train,12,275,299,25,14,14,25,1887,7.419183889772125,0.56,7.419183889772125,0.56,13.248542660307367,1.0
noisy,NoisyNet DQN,train,13,300,324,25,11,16,24,1647,6.6788099574984825,0.44,9.714632665452337,0.64,14.571948998178506,0.96
noisy,NoisyNet DQN,train,14,325,349,25,9,19,25,1622,5.548705302096177,0.36,11.713933415536374,0.76,15.413070283600494,1.0
noisy,NoisyNet DQN,train,15,350,374,25,12,15,25,1676,7.159904534606206,0.48,8.949880668257757,0.6,14.916467780429594,1.0
noisy,NoisyNet DQN,train,16,375,399,25,8,16,24,1782,4.489337822671156,0.32,8.978675645342312,0.64,13.468013468013469,0.96
noisy,NoisyNet DQN,train,17,400,424,25,11,16,25,1914,5.747126436781609,0.44,8.359456635318704,0.64,13.061650992685475,1.0
noisy,NoisyNet DQN,train,18,425,449,25,12,14,25,1915,6.266318537859008,0.48,7.310704960835509,0.56,13.054830287206267,1.0
noisy,NoisyNet DQN,train,19,450,474,25,10,16,25,1745,5.730659025787966,0.4,9.169054441260744,0.64,14.326647564469914,1.0
noisy,NoisyNet DQN,train,20,475,499,25,17,13,25,1861,9.134873723804406,0.68,6.985491671144546,0.52,13.433637829124127,1.0
noisy,NoisyNet DQN,test,1,0,24,25,10,16,25,1975,5.063291139240507,0.4,8.10126582278481,0.64,12.658227848101266,1.0
noisy,NoisyNet DQN,test,2,25,49,25,10,15,24,1993,5.017561465127947,0.4,7.526342197691922,0.6,12.042147516307075,0.96
noisy,NoisyNet DQN,test,3,50,74,25,10,18,25,1807,5.534034311012729,0.4,9.96126175982291,0.72,13.835085777531821,1.0
noisy,NoisyNet DQN,test,4,75,99,25,14,13,25,2054,6.815968841285297,0.56,6.329113924050633,0.52,12.171372930866601,1.0
noisy,NoisyNet DQN,test,5,100,124,25,14,14,25,1918,7.299270072992701,0.56,7.299270072992701,0.56,13.034410844629823,1.0
noisy,NoisyNet DQN,test,6,125,149,25,15,13,25,1894,7.9197465681098205,0.6,6.863780359028511,0.52,13.199577613516368,1.0
noisy,NoisyNet DQN,test,7,150,174,25,15,12,25,1781,8.422234699606962,0.6,6.7377877596855695,0.48,14.03705783267827,1.0
noisy,NoisyNet DQN,test,8,175,199,25,16,13,25,1833,8.72885979268958,0.64,7.092198581560283,0.52,13.638843426077468,1.0
noisy,NoisyNet DQN,test,9,200,224,25,13,14,25,1924,6.756756756756757,0.52,7.276507276507276,0.56,12.993762993762994,1.0
noisy,NoisyNet DQN,test,10,225,249,25,12,15,25,2004,5.9880239520958085,0.48,7.485029940119761,0.6,12.4750499001996,1.0
noisy,NoisyNet DQN,test,11,250,274,25,11,16,25,1853,5.936319481921209,0.44,8.634646519158123,0.64,13.491635186184565,1.0
noisy,NoisyNet DQN,test,12,275,299,25,13,14,25,1896,6.856540084388186,0.52,7.383966244725738,0.56,13.185654008438819,1.0
rnd,DQN + RND,train,1,0,24,25,1,24,25,1746,0.572737686139748,0.04,13.745704467353951,0.96,14.3184421534937,1.0
rnd,DQN + RND,train,2,25,49,25,6,19,25,2959,2.027712064886786,0.24,6.421088205474822,0.76,8.448800270361609,1.0
