eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
175,1,167,167,8,1,False,False,511,0,0,1,1,0,0,0,False
175,1,167,167,8,1,False,False,511,0,0,1,1,0,0,0,False
175,1,167,167,8,1,False,False,511,0,0,1,1,0,0,0,False
175,1,167,167,8,1,False,False,511,0,0,1,1,0,0,0,False
175,1,167,167,8,1,False,False,511,0,0,1,1,0,0,0,False
175,1,167,167,8,1,False,False,511,0,0,1,1,0,0,0,False
175,1,167,167,8,1,False,False,511,0,0,1,0,0,0,1,False
175,1,168,168,7,1,False,False,511,0,0,1,0,0,0,0,False
175,1,168,168,7,1,False,False,511,0,0,1,0,0,0,1,False
175,1,169,169,6,1,False,False,511,0,0,1,0,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
175,1,169,169,6,1,False,False,511,0,0,1,1,0,0,0,False
178,1,169,169,9,1,False,False,511,0,0,1,1,0,0,0,False
178,1,169,169,9,1,False,False,511,0,0,1,1,0,0,0,False
178,1,169,169,9,1,False,False,511,0,0,1,1,0,0,0,False
178,1,169,169,9,1,False,False,511,0,0,1,0,0,0,0,False
178,1,169,169,9,1,False,False,511,0,0,1,0,0,0,1,False
178,1,169,169,9,1,False,False,511,0,0,1,0,0,0,1,False
178,1,169,169,9,1,False,False,511,0,0,1,0,0,0,1,False
178,1,169,169,9,1,False,False,511,0,0,1,0,0,0,1,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,170,170,8,1,False,False,511,0,0,1,1,0,0,0,False
178,1,171,171,7,1,False,False,511,0,0,1,1,0,0,0,False
178,1,171,171,7,1,False,False,511,0,0,1,1,0,0,0,False
