episode,cumulative_pools_created
167,1
168,2
170,3
171,4
171,5
172,6
175,7
175,8
179,9
180,10
181,11
182,12
183,13
186,14
186,15
186,16
187,17
187,18
189,19
190,20
190,21
191,22
192,23
193,24
194,25
194,26
195,27
196,28
196,29
197,30
197,31
197,32
197,33
197,34
198,35
198,36
198,37
199,38
199,39
200,40
200,41
201,42
202,43
204,44
205,45
205,46
205,47
205,48
205,49
205,50
205,51
205,52
205,53
205,54
205,55
205,56
205,57
206,58
207,59
207,60
207,61
208,62
209,63
210,64
211,65
212,66
213,67
221,68
221,69
223,70
224,71
224,72
224,73
227,74
228,75
230,76
232,77
235,78
235,79
238,80
240,81
242,82
242,83
244,84
244,85
247,86
247,87
249,88
252,89
253,90
257,91
259,92
259,93
259,94
259,95
259,96
259,97
259,98
259,99
259,100
259,101
259,102
259,103
259,104
259,105
259,106
259,107
259,108
259,109
259,110
259,111
259,112
259,113
259,114
259,115
259,116
259,117
259,118
259,119
259,120
260,121
261,122
261,123
261,124
261,125
263,126
264,127
264,128
265,129
265,130
265,131
265,132
265,133
265,134
265,135
266,136
266,137
266,138
266,139
266,140
267,141
267,142
267,143
267,144
267,145
268,146
268,147
268,148
268,149
268,150
268,151
269,152
269,153
269,154
269,155
269,156
269,157
270,158
270,159
270,160
270,161
271,162
271,163
271,164
271,165
271,166
271,167
271,168
271,169
271,170
271,171
271,172
272,173
272,174
272,175
272,176
272,177
273,178
273,179
273,180
273,181
274,182
274,183
274,184
274,185
274,186
275,187
276,188
276,189
276,190
276,191
276,192
277,193
277,194
277,195
277,196
277,197
277,198
277,199
278,200
278,201
278,202
278,203
279,204
279,205
279,206
279,207
279,208
280,209
280,210
280,211
280,212
281,213
281,214
281,215
281,216
282,217
282,218
282,219
282,220
282,221
283,222
283,223
283,224
283,225
284,226
284,227
285,228
285,229
285,230
286,231
286,232
286,233
286,234
287,235
287,236
287,237
287,238
287,239
288,240
288,241
288,242
288,243
288,244
288,245
289,246
289,247
289,248
289,249
289,250
289,251
289,252
290,253
290,254
290,255
290,256
290,257
290,258
291,259
291,260
291,261
291,262
291,263
291,264
292,265
292,266
292,267
292,268
293,269
293,270
293,271
293,272
294,273
294,274
294,275
294,276
294,277
295,278
295,279
295,280
295,281
296,282
296,283
296,284
296,285
296,286
297,287
297,288
297,289
297,290
297,291
298,292
298,293
299,294
299,295
299,296
299,297
299,298
299,299
299,300
300,301
300,302
300,303
300,304
300,305
301,306
301,307
302,308
302,309
302,310
302,311
302,312
303,313
303,314
304,315
304,316
304,317
305,318
306,319
306,320
306,321
306,322
306,323
306,324
307,325
307,326
307,327
307,328
307,329
307,330
308,331
308,332
308,333
309,334
309,335
309,336
309,337
309,338
309,339
310,340
310,341
310,342
310,343
310,344
310,345
311,346
312,347
312,348
312,349
312,350
313,351
313,352
313,353
313,354
314,355
314,356
314,357
314,358
314,359
315,360
315,361
315,362
315,363
315,364
315,365
316,366
316,367
316,368
317,369
317,370
318,371
318,372
318,373
320,374
320,375
320,376
320,377
321,378
321,379
322,380
322,381
322,382
323,383
323,384
323,385
323,386
323,387
323,388
324,389
325,390
326,391
326,392
326,393
326,394
327,395
329,396
329,397
330,398
331,399
332,400
332,401
332,402
332,403
332,404
332,405
335,406
335,407
335,408
336,409
337,410
337,411
337,412
338,413
339,414
339,415
339,416
342,417
343,418
344,419
345,420
345,421
346,422
346,423
346,424
347,425
348,426
348,427
349,428
350,429
350,430
350,431
350,432
350,433
350,434
350,435
350,436
350,437
350,438
351,439
351,440
351,441
351,442
352,443
354,444
354,445
354,446
355,447
355,448
357,449
357,450
358,451
358,452
359,453
359,454
361,455
362,456
365,457
365,458
366,459
366,460
366,461
366,462
366,463
366,464
366,465
367,466
367,467
367,468
367,469
367,470
368,471
368,472
368,473
368,474
369,475
369,476
369,477
370,478
370,479
370,480
371,481
371,482
372,483
372,484
375,485
375,486
375,487
375,488
375,489
375,490
375,491
376,492
382,493
382,494
383,495
383,496
383,497
383,498
383,499
383,500
