retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
310,310,RETIRED,MASK_EXHAUSTED,182,196,6,9,6,8,1,0,447,64,0,20,19,0,0,1,1|1|1|1|1|1|12|1|1,1|1|1|0|1|1|12|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,359,10,0.9977730512619019,0.014688835324098667,0.9982977012793223,0.07105080597102642,0,,False,False,False,direct_final_action
3,3,RETIRED,MASK_EXHAUSTED,167,197,6,9,24,8,1,0,447,64,0,40,40,0,0,0,1|1|1|1|1|1|32|1|1,1|1|1|1|1|1|32|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,398,7,0.9957073877255121,0.018385669856797904,0.9977720578511556,0.06661500719686349,0,,False,False,False,direct_final_action
70,70,RETIRED,MASK_EXHAUSTED,170,199,6,9,7,8,1,0,447,64,0,21,21,0,0,0,1|1|1|1|1|1|13|1|1,1|1|1|1|1|1|13|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,396,2,0.9991245780672345,0.012596274060862405,0.9986713528633118,0.06989033999187606,0,,False,False,False,direct_final_action
210,210,RETIRED,MASK_EXHAUSTED,180,203,7,9,5,8,1,0,447,64,0,16,14,0,0,1,1|1|1|1|1|1|8|1|1,1|0|1|1|1|1|7|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,239,3,0.9863143682479858,0.09051581770181656,0.9991011023521423,0.04368306957185268,0,,False,False,False,direct_final_action
29,29,RETIRED,MASK_EXHAUSTED,168,204,6,9,35,8,1,0,447,64,0,49,48,0,0,1,1|1|1|2|1|1|40|1|1,1|1|1|1|1|1|40|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|1|0|0|0|0|0,390,3,0.9960980585643223,0.016039819975516626,0.998294482912336,0.06891588717699051,0,,False,False,False,direct_final_action
780,780,RETIRED,MASK_EXHAUSTED,205,205,7,9,12,9,0,0,511,0,0,23,0,0,0,0,1|15|1|1|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,101,0.9999939650297165,0.014451952030261358,0.9993019352356592,0.08583793230354786,0,,False,False,False,direct_final_action
775,775,RETIRED,MASK_EXHAUSTED,205,205,7,9,6,9,0,0,511,0,0,17,0,0,0,0,1|9|1|1|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,76,0.9999905824661255,0.01588347414508462,0.9992982844511668,0.08876472835739453,0,,False,False,False,direct_final_action
792,792,RETIRED,MASK_EXHAUSTED,205,205,6,9,2,9,0,0,511,0,0,12,0,0,0,0,1|4|1|1|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,119,0.9999989867210388,0.0057268631644546986,0.99989914894104,0.03184205945581198,0,,False,False,False,direct_final_action
791,791,RETIRED,MASK_EXHAUSTED,205,205,7,9,8,9,0,0,511,0,0,19,0,0,0,0,1|10|1|2|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,143,0.9999942854046822,0.0122758416691795,0.9993497505784035,0.07856281846761703,0,,False,False,False,direct_final_action
796,796,RETIRED,MASK_EXHAUSTED,205,205,7,9,23,9,0,0,511,0,0,34,0,0,0,0,1|25|1|1|1|1|1|2|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,188,0.9999986135441324,0.005615914574540828,0.9998337237731271,0.03388721293405346,0,,False,False,False,direct_final_action
116,116,RETIRED,MASK_EXHAUSTED,172,213,6,9,7,8,1,0,447,64,0,27,27,0,0,0,1|1|1|1|1|1|19|1|1,1|1|1|1|1|1|19|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,314,3,0.9988108054507884,0.01229630656806486,0.9976000759596626,0.07247221682752882,0,,False,False,False,direct_final_action
167,167,RETIRED,MASK_EXHAUSTED,201,219,7,9,9,8,1,0,447,64,0,20,20,0,0,0,1|1|1|1|1|1|12|1|1,1|1|1|1|1|1|12|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,251,3,0.985447472996182,0.06807495508756903,0.9989641441239251,0.05160971523986922,0,,False,False,False,direct_final_action
317,317,RETIRED,MASK_EXHAUSTED,183,221,6,9,10,7,2,0,319,192,0,29,29,0,0,0,1|1|1|1|1|1|17|5|1,1|1|1|1|1|1|17|5|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,353,5,0.9951822026912159,0.016870206920430064,0.9983351177846067,0.07158816251903773,0,,False,False,False,direct_final_action
398,398,RETIRED,MASK_EXHAUSTED,187,228,6,9,11,8,1,0,447,64,0,31,31,0,0,0,1|1|1|1|1|1|23|1|1,1|1|1|1|1|1|23|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,362,19,0.9951142712312389,0.015618192201310938,0.9974867210919385,0.0758513103831898,0,,False,False,False,direct_final_action
69,69,RETIRED,MASK_EXHAUSTED,187,230,7,9,19,9,0,0,511,0,0,30,0,0,0,0,1|1|1|1|1|1|8|10|6,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,396,0,0.9869161718770078,0.07759134275348563,0.9989223354741147,0.04354192316532135,0,,False,False,False,direct_final_action
2,2,RETIRED,MASK_EXHAUSTED,197,241,6,9,33,8,1,0,447,64,0,47,2,0,0,0,1|1|1|1|1|1|39|1|1,0|0|0|0|0|0|2|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,398,0,0.9602535764376322,0.11704955374201138,0.9995592633883158,0.03134750123276855,0,,False,False,False,direct_final_action
573,573,RETIRED,MASK_EXHAUSTED,227,242,7,9,6,8,1,0,447,64,0,17,17,0,0,0,1|1|1|1|1|1|9|1|1,1|1|1|1|1|1|9|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,262,8,0.9987835387388865,0.012366992964719733,0.9974598288536072,0.07002344292898972,0,,False,False,False,direct_final_action
657,657,RETIRED,MASK_EXHAUSTED,224,247,7,9,2,8,1,0,447,64,0,13,12,0,0,0,1|1|1|1|1|1|5|1|1,1|0|1|1|1|1|5|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,375,3,0.9976655542850494,0.012025636620819569,0.9967465102672577,0.08102356269955635,0,,False,False,False,direct_final_action
400,400,RETIRED,MASK_EXHAUSTED,200,247,7,9,0,8,1,0,447,64,0,11,11,0,0,0,1|1|1|1|1|1|3|1|1,1|1|1|1|1|1|3|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,-1,-1,0.0,0.0,0.0,0.0,0,,False,False,False,direct_final_action
600,600,RETIRED,MASK_EXHAUSTED,198,253,6,9,5,8,1,0,447,64,0,22,22,0,0,0,1|1|1|1|1|1|14|1|1,1|1|1|1|1|1|14|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,396,4,0.9989707946777344,0.010764732863754034,0.9972174525260925,0.06794363334774971,0,,False,False,False,direct_final_action
101,101,RETIRED,MASK_EXHAUSTED,210,256,7,9,2,8,1,0,447,64,0,13,13,0,0,0,1|1|1|1|1|1|5|1|1,1|1|1|1|1|1|5|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,262,4,0.9987100064754486,0.011673138942569494,0.9974997341632843,0.056175630539655685,0,,False,False,False,direct_final_action
2096,2096,RETIRED,MASK_EXHAUSTED,259,259,6,9,34,9,0,0,511,0,0,44,0,0,0,0,1|1|35|1|2|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,259,99,0.9999365771518034,0.0098158146309502,0.999286041540258,0.05535146111951155,0,,False,False,False,direct_final_action
2105,2105,RETIRED,MASK_EXHAUSTED,259,259,7,9,39,9,0,0,511,0,0,53,1,0,0,0,1|13|33|1|1|1|1|1|1,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,259,326,0.9924842226199615,0.06049930870246429,0.9993302531731434,0.05787029088689731,0,,False,False,False,direct_final_action
2106,2106,RETIRED,MASK_EXHAUSTED,259,259,7,9,41,9,0,0,511,0,0,52,1,0,0,0,1|1|44|1|1|1|1|1|1,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,259,212,0.9999370153357343,0.009828632118225825,0.999383560041102,0.055536775963335505,0,,False,False,False,direct_final_action
2114,2114,RETIRED,MASK_EXHAUSTED,259,259,6,9,18,9,0,0,511,0,0,28,1,0,0,0,1|17|1|1|1|1|1|3|2,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,259,392,0.9999014139175415,0.009759799991216924,0.9997351732518938,0.06530215322143501,0,,False,False,False,direct_final_action
2124,2124,RETIRED,MASK_EXHAUSTED,259,259,6,9,45,9,0,0,511,0,0,55,0,0,0,0,1|43|3|1|1|1|1|3|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,259,399,0.9999385383394029,0.007649762804309527,0.9995547148916456,0.05591491278674868,0,,False,False,False,direct_final_action
2101,2101,RETIRED,MASK_EXHAUSTED,259,259,7,9,0,9,0,0,511,0,0,13,0,0,0,0,1|1|5|1|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,-1,-1,0.0,0.0,0.0,0.0,6,,False,False,False,direct_final_action
103,103,RETIRED,MASK_EXHAUSTED,197,262,7,9,0,8,1,0,447,64,0,11,11,0,0,0,1|1|1|1|1|1|3|1|1,1|1|1|1|1|1|3|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,-1,-1,0.0,0.0,0.0,0.0,5,,False,False,False,direct_final_action
541,541,RETIRED,MASK_EXHAUSTED,195,263,6,9,12,8,1,0,447,64,0,26,26,0,0,0,1|1|1|1|1|1|18|1|1,1|1|1|1|1|1|18|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,345,20,0.9964617242415746,0.014477496268227696,0.9977516134579977,0.06907723797485232,5,,False,False,False,direct_final_action
501,501,RETIRED,MASK_EXHAUSTED,196,269,6,9,27,9,0,0,511,0,0,41,1,0,0,0,1|1|1|1|1|2|6|18|10,0|0|0|1|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,394,0,0.9719079799122281,0.0821508697570405,0.9989805508542944,0.04533830857663243,5,,False,False,False,direct_final_action
2287,2287,RETIRED,MASK_EXHAUSTED,265,271,6,9,21,7,2,0,319,192,0,32,31,0,0,0,1|1|1|1|1|1|3|22|1,0|1|1|1|1|1|3|22|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,327,21,0.9799999055408296,0.049641397005567946,0.9982093487467084,0.07014816547078746,0,,False,False,False,direct_final_action
814,814,RETIRED,MASK_EXHAUSTED,224,275,7,9,11,8,1,0,447,64,0,22,22,0,0,0,1|1|1|1|1|1|14|1|1,1|1|1|1|1|1|14|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,345,8,0.9782660766081377,0.0634674086150798,0.9980272921648893,0.07258260317824104,0,,False,False,False,direct_final_action
2747,2747,RETIRED,MASK_EXHAUSTED,274,276,7,9,20,8,1,0,383,128,0,31,31,0,0,0,1|1|1|1|1|1|1|23|1,1|1|1|1|1|1|1|23|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,368,3,0.9728951543569565,0.0963106632232666,0.9985171884298325,0.0649205275811255,0,,False,False,False,direct_final_action
3046,3046,RETIRED,MASK_EXHAUSTED,281,285,7,9,23,8,1,0,383,128,0,34,34,0,0,0,1|1|1|1|1|1|1|26|1,1|1|1|1|1|1|1|26|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,398,9,0.9819385513015415,0.07456428428059039,0.9978159795636716,0.05860992982659651,0,,False,False,False,direct_final_action
3284,3284,RETIRED,MASK_EXHAUSTED,286,288,7,9,14,8,1,0,383,128,0,25,25,0,0,0,1|1|1|1|1|1|1|17|1,1|1|1|1|1|1|1|17|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,330,22,0.9258290827274323,0.15283350832760334,0.9980621933937073,0.05819551593491009,0,,False,False,False,direct_final_action
2831,2831,RETIRED,MASK_EXHAUSTED,276,290,7,9,16,8,1,0,383,128,0,27,27,0,0,0,1|1|1|1|1|1|1|19|1,1|1|1|1|1|1|1|19|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,368,1,0.9874496161937714,0.06559307244606316,0.9990683123469353,0.04868538715527393,0,,False,False,False,direct_final_action
2881,2881,RETIRED,MASK_EXHAUSTED,277,290,7,9,17,8,1,0,383,128,0,28,28,0,0,0,1|1|1|1|1|1|1|20|1,1|1|1|1|1|1|1|20|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,368,5,0.9794664277749903,0.053645266329540926,0.9976382080246421,0.06584823832792394,0,,False,False,False,direct_final_action
2805,2805,RETIRED,MASK_EXHAUSTED,276,290,6,9,13,8,1,0,383,128,0,30,30,0,0,0,1|1|1|1|1|1|1|22|1,1|1|1|1|1|1|1|22|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,347,14,0.9718598998509921,0.08198174375754136,0.9968394132760855,0.07125787537258405,0,,False,False,False,direct_final_action
3217,3217,RETIRED,MASK_EXHAUSTED,285,294,7,9,9,8,1,0,383,128,0,20,20,0,0,0,1|1|1|1|1|1|1|12|1,1|1|1|1|1|1|1|12|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,391,2,0.9805927144156562,0.07739281861318482,0.9990362193849351,0.039739993452611894,0,,False,False,False,direct_final_action
625,625,RETIRED,MASK_EXHAUSTED,247,295,7,9,11,7,2,0,319,192,0,24,24,0,0,0,1|1|1|1|1|1|3|14|1,1|1|1|1|1|1|3|14|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,372,2,0.9735259196975015,0.09835063598372719,0.9978130297227339,0.06708265062082898,0,,False,False,False,direct_final_action
2884,2884,RETIRED,MASK_EXHAUSTED,277,296,7,9,21,8,1,0,383,128,0,33,33,0,0,0,1|1|1|1|1|1|1|25|1,1|1|1|1|1|1|1|25|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,346,8,0.9771038066773188,0.08161085453771409,0.9971607611292884,0.07507296012980598,0,,False,False,False,direct_final_action
2414,2414,RETIRED,MASK_EXHAUSTED,267,305,7,9,11,8,1,0,383,128,0,25,25,0,0,0,1|1|1|1|1|1|1|17|1,1|1|1|1|1|1|1|17|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,374,3,0.996497555212541,0.139493774284016,0.9986323605884205,0.051671842028471554,0,,False,False,False,direct_final_action
