retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
3,3,RETIRED,INITIAL_PASS_EXHAUSTED,167,167,7,9,3,9,0,0,511,0,0,13,5,0,0,0,1|1|1|2|1|1|4|1|1,0|0|1|0|0|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,197,11,0.9996318022410074,0.010047219383219877,0.9988066752751669,0.05665280297398567,0,,False,False,False,direct_final_action
50,50,RETIRED,INITIAL_PASS_EXHAUSTED,168,168,7,9,18,8,1,0,255,256,0,28,8,0,0,0,1|1|1|5|1|1|8|1|9,0|0|0|0|0|0|1|0|7,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,204,27,0.9786301222112443,0.03527936812800666,0.9996112419499291,0.03496060983484818,0,,False,False,False,direct_final_action
155,155,RETIRED,INITIAL_PASS_EXHAUSTED,169,169,7,9,329,9,0,0,511,0,0,339,0,0,0,0,1|2|1|330|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,169,472,0.9999997963658944,0.013947385340634631,0.9999264772177467,0.034184845492787275,0,,False,False,False,direct_final_action
206,206,RETIRED,INITIAL_PASS_EXHAUSTED,170,170,7,9,441,9,0,0,511,0,0,451,0,0,0,0,1|1|1|443|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,170,499,0.9997935254557603,0.009652400036635988,0.9995933598131279,0.06378500026707747,0,,False,False,False,direct_final_action
223,223,RETIRED,INITIAL_PASS_EXHAUSTED,171,171,7,9,2,9,0,0,511,0,0,12,3,0,0,0,1|1|1|2|1|1|3|1|1,0|0|0|0|1|0|1|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,171,46,0.9996503591537476,0.008315670536831021,0.9979312717914581,0.052163492888212204,0,,False,False,False,direct_final_action
237,237,RETIRED,INITIAL_PASS_EXHAUSTED,171,171,7,9,2,9,0,0,511,0,0,12,3,0,0,0,1|1|1|2|1|1|3|1|1,0|0|0|0|1|0|1|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,171,79,0.9994442462921143,0.010026206728070974,0.9990597367286682,0.06397225521504879,0,,False,False,False,direct_final_action
270,270,RETIRED,INITIAL_PASS_EXHAUSTED,171,171,7,9,44,9,0,0,511,0,0,54,0,0,0,0,1|37|1|10|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,171,486,0.992648028514602,0.04636194185480814,0.9995899512009188,0.05921652604063803,0,,False,False,False,direct_final_action
272,272,RETIRED,INITIAL_PASS_EXHAUSTED,171,171,7,9,57,9,0,0,511,0,0,67,0,0,0,0,1|7|1|53|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,171,499,0.9286479636242515,0.12432694034814312,0.9996646559029295,0.06797187644661519,0,,False,False,False,direct_final_action
284,284,RETIRED,INITIAL_PASS_EXHAUSTED,171,171,7,9,72,9,0,0,511,0,0,82,0,0,0,0,1|72|1|3|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,171,385,0.9996666386723518,0.01670171802915219,0.9998223235209783,0.036926258665819965,0,,False,False,False,direct_final_action
283,283,RETIRED,INITIAL_PASS_EXHAUSTED,171,171,7,9,56,9,0,0,511,0,0,66,0,0,0,0,1|4|1|55|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,171,443,0.9991589114069939,0.017242872771540924,0.9993161016276905,0.06580406886392406,0,,False,False,False,direct_final_action
336,336,RETIRED,INITIAL_PASS_EXHAUSTED,172,172,7,9,44,9,0,0,511,0,0,54,0,0,0,0,1|1|1|44|1|1|1|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,198,40,0.9998591244220734,0.00845251012254845,0.9995433200489391,0.078191348944198,0,,False,False,False,direct_final_action
523,523,RETIRED,INITIAL_PASS_EXHAUSTED,179,179,7,9,17,7,2,0,375,136,0,27,8,0,0,0,1|1|1|17|1|1|2|2|1,0|1|0|2|1|0|1|2|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,204,29,0.9988809753866756,0.014231110265588058,0.9974964436362771,0.0656618322519695,0,,False,False,False,direct_final_action
330,330,RETIRED,INITIAL_PASS_EXHAUSTED,172,186,7,9,9,9,0,0,511,0,0,19,0,0,0,0,1|3|1|9|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,186,107,0.9715355369779799,0.10296008239189784,0.9994015494982401,0.053487778123882085,0,,False,False,False,direct_final_action
329,329,RETIRED,INITIAL_PASS_EXHAUSTED,172,186,7,9,13,9,0,0,511,0,0,23,0,0,0,0,1|13|1|3|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,186,112,0.993026825097891,0.0829037932249216,0.9991265764603248,0.0628584769482796,0,,False,False,False,direct_final_action
323,323,RETIRED,INITIAL_PASS_EXHAUSTED,172,186,7,9,2,9,0,0,511,0,0,12,0,0,0,0,1|2|1|3|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,186,167,0.9975942075252533,0.049731744453310966,0.9975667297840118,0.09320082888007164,0,,False,False,False,direct_final_action
711,711,RETIRED,INITIAL_PASS_EXHAUSTED,186,186,6,9,158,9,0,0,511,0,0,167,0,0,0,0,1|1|1|1|158|1|1|1|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,186,357,0.999861796822729,0.009330276102181288,0.9984946488579617,0.07409850078858907,0,,False,False,False,direct_final_action
760,760,RETIRED,INITIAL_PASS_EXHAUSTED,188,188,7,9,448,8,1,0,503,8,0,458,4,0,0,0,1|1|1|450|1|1|1|1|1,0|0|0|2|0|0|0|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,188,499,0.9995791620707938,0.02942903744406067,0.9993357160793883,0.042426618622682453,0,,False,False,False,direct_final_action
829,829,RETIRED,INITIAL_PASS_EXHAUSTED,189,189,6,9,11,9,0,0,511,0,0,20,0,0,0,0,1|7|2|5|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,104,0.9999450065872886,0.06758777492425659,0.9997393434697931,0.04486741548912092,0,,False,False,False,direct_final_action
834,834,RETIRED,INITIAL_PASS_EXHAUSTED,189,189,7,9,8,9,0,0,511,0,0,18,0,0,0,0,1|2|9|1|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,205,111,0.9999269992113113,0.23424051143229008,0.9992943331599236,0.0871709231287241,0,,False,False,False,direct_final_action
815,815,RETIRED,INITIAL_PASS_EXHAUSTED,189,189,7,9,0,9,0,0,511,0,0,10,0,0,0,0,1|1|1|2|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,-1,-1,0.0,0.0,0.0,0.0,0,,False,False,False,direct_final_action
875,875,RETIRED,INITIAL_PASS_EXHAUSTED,189,189,7,9,23,9,0,0,511,0,0,33,0,0,0,0,1|24|1|2|1|1|1|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,189,310,0.9999961801197218,0.012806285375162312,0.9994268650593965,0.052308556421295456,6,,False,False,False,direct_final_action
