episode,cumulative_pools_created
6,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
10,59
21,60
21,61
21,62
21,63
21,64
21,65
21,66
22,67
22,68
22,69
22,70
22,71
22,72
22,73
22,74
23,75
23,76
23,77
23,78
23,79
23,80
23,81
23,82
23,83
23,84
23,85
23,86
24,87
24,88
24,89
24,90
24,91
24,92
24,93
24,94
24,95
24,96
24,97
26,98
26,99
26,100
26,101
27,102
27,103
27,104
27,105
27,106
27,107
27,108
27,109
28,110
33,111
33,112
33,113
33,114
37,115
80,116
80,117
80,118
80,119
88,120
88,121
90,122
90,123
90,124
90,125
95,126
100,127
101,128
103,129
103,130
104,131
104,132
104,133
