series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,25,25,1221,0.0,0.0,20.475020475020475,1.0,20.475020475020475,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,5,20,25,1708,2.927400468384075,0.2,11.7096018735363,0.8,14.637002341920375,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,4,22,25,2346,1.7050298380221653,0.16,9.377664109121909,0.88,10.656436487638533,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,1,24,25,2015,0.49627791563275436,0.04,11.910669975186105,0.96,12.40694789081886,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,4,21,25,2214,1.8066847335140017,0.16,9.48509485094851,0.84,11.291779584462512,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,5,22,25,2046,2.4437927663734116,0.2,10.75268817204301,0.88,12.218963831867057,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,3,23,25,2163,1.3869625520110958,0.12,10.6333795654184,0.92,11.55802126675913,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,6,20,25,2400,2.5,0.24,8.333333333333334,0.8,10.416666666666666,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,8,19,25,2204,3.629764065335753,0.32,8.620689655172415,0.76,11.343012704174228,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,9,20,25,2280,3.9473684210526314,0.36,8.771929824561404,0.8,10.964912280701755,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,7,19,25,2443,2.865329512893983,0.28,7.7773229635693815,0.76,10.233319688907082,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,8,19,25,2412,3.316749585406302,0.32,7.877280265339967,0.76,10.364842454394694,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,4,23,25,1957,2.043944813490036,0.16,11.752682677567705,0.92,12.774655084312723,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,6,20,25,2564,2.3400936037441498,0.24,7.800312012480499,0.8,9.750390015600624,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,5,21,25,2067,2.4189646831156266,0.2,10.159651669085632,0.84,12.094823415578132,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,3,23,25,1905,1.5748031496062993,0.12,12.073490813648293,0.92,13.123359580052494,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,7,21,25,2388,2.9313232830820772,0.28,8.793969849246231,0.84,10.469011725293132,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,7,21,25,2108,3.3206831119544593,0.28,9.962049335863378,0.84,11.859582542694497,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,6,21,25,2081,2.8832292167227296,0.24,10.091302258529554,0.84,12.01345506967804,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,12,15,25,2520,4.761904761904762,0.48,5.9523809523809526,0.6,9.920634920634921,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,10,16,25,1976,5.060728744939271,0.4,8.097165991902834,0.64,12.651821862348179,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,10,16,24,2030,4.926108374384237,0.4,7.8817733990147785,0.64,11.822660098522167,0.96
epsilon,Epsilon Greedy,test,3,50,74,25,9,18,25,1825,4.931506849315069,0.36,9.863013698630137,0.72,13.698630136986301,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,14,13,25,2055,6.81265206812652,0.56,6.326034063260341,0.52,12.165450121654501,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,12,15,25,1946,6.166495375128469,0.48,7.708119218910586,0.6,12.846865364850977,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,12,14,25,1905,6.299212598425197,0.48,7.349081364829396,0.56,13.123359580052494,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,15,12,25,1777,8.441193021947102,0.6,6.752954417557682,0.48,14.068655036578503,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,14,14,25,1838,7.616974972796518,0.56,7.616974972796518,0.56,13.601741022850925,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,16,15,25,2010,7.960199004975125,0.64,7.462686567164179,0.6,12.437810945273633,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,13,13,25,2063,6.301502666020359,0.52,6.301502666020359,0.52,12.118274357731458,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,12,16,25,1879,6.386375731772219,0.48,8.51516764236296,0.64,13.304949441192123,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,15,12,25,1930,7.772020725388601,0.6,6.217616580310881,0.48,12.953367875647668,1.0
noisy,NoisyNet DQN,train,1,0,24,25,0,13,13,9174,0.0,0.0,1.4170481796381076,0.52,1.4170481796381076,0.52
noisy,NoisyNet DQN,train,2,25,49,25,0,24,24,5295,0.0,0.0,4.53257790368272,0.96,4.53257790368272,0.96
noisy,NoisyNet DQN,train,3,50,74,25,0,25,25,2695,0.0,0.0,9.276437847866418,1.0,9.276437847866418,1.0
noisy,NoisyNet DQN,train,4,75,99,25,0,25,25,1619,0.0,0.0,15.441630636195182,1.0,15.441630636195182,1.0
noisy,NoisyNet DQN,train,5,100,124,25,8,19,25,1843,4.3407487791644055,0.32,10.309278350515465,0.76,13.564839934888768,1.0
noisy,NoisyNet DQN,train,6,125,149,25,11,16,25,1858,5.920344456404736,0.44,8.611410118406889,0.64,13.455328310010763,1.0
noisy,NoisyNet DQN,train,7,150,174,25,12,15,25,1894,6.335797254487856,0.48,7.9197465681098205,0.6,13.199577613516368,1.0
noisy,NoisyNet DQN,train,8,175,199,25,15,14,25,1786,8.3986562150056,0.6,7.838745800671893,0.56,13.997760358342665,1.0
noisy,NoisyNet DQN,train,9,200,224,25,13,13,25,1800,7.222222222222222,0.52,7.222222222222222,0.52,13.88888888888889,1.0
