series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,5,22,25,2256,2.2163120567375887,0.2,9.75177304964539,0.88,11.081560283687944,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,3,23,25,2365,1.2684989429175475,0.12,9.725158562367865,0.92,10.570824524312897,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,1,25,25,1616,0.6188118811881188,0.04,15.470297029702971,1.0,15.470297029702971,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,4,22,25,2210,1.8099547511312217,0.16,9.95475113122172,0.88,11.312217194570136,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,10,16,25,2318,4.3140638481449525,0.4,6.9025021570319245,0.64,10.785159620362382,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,8,17,25,2465,3.2454361054766734,0.32,6.896551724137931,0.68,10.141987829614605,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,6,19,25,2428,2.471169686985173,0.24,7.825370675453048,0.76,10.29654036243822,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,10,15,25,2323,4.304778303917348,0.4,6.457167455876022,0.6,10.76194575979337,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,11,19,25,2503,4.394726328405913,0.44,7.59089093088294,0.76,9.988014382740712,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,5,20,25,2271,2.2016732716864817,0.2,8.806693086745927,0.8,11.008366358432408,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,7,22,25,2446,2.8618152085036797,0.28,8.994276369582993,0.88,10.220768601798856,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,5,21,25,2293,2.1805494984736153,0.2,9.158307893589184,0.84,10.902747492368077,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,8,19,25,2205,3.6281179138321997,0.32,8.616780045351474,0.76,11.337868480725623,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,1,25,25,1950,0.5128205128205128,0.04,12.820512820512821,1.0,12.820512820512821,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,9,18,25,2308,3.89948006932409,0.36,7.79896013864818,0.72,10.831889081455806,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,7,19,25,2493,2.807862013638187,0.28,7.62133975130365,0.76,10.028078620136382,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,5,21,25,1972,2.535496957403651,0.2,10.649087221095336,0.84,12.677484787018255,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,6,19,25,2238,2.680965147453083,0.24,8.489722966934764,0.76,11.170688114387847,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,10,16,25,2115,4.7281323877068555,0.4,7.5650118203309695,0.64,11.82033096926714,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,7,19,25,2231,3.137606454504706,0.28,8.516360376512775,0.76,11.205737337516808,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,11,16,25,1967,5.592272496187087,0.44,8.13421453990849,0.64,12.709710218607016,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,11,17,24,1994,5.516549648946841,0.44,8.525576730190572,0.68,12.036108324974924,0.96
epsilon,Epsilon Greedy,test,3,50,74,25,7,20,25,1798,3.8932146829810903,0.28,11.123470522803114,0.8,13.904338153503893,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,10,17,25,2064,4.844961240310077,0.4,8.236434108527131,0.68,12.112403100775193,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,11,14,25,1934,5.687693898655636,0.44,7.238883143743537,0.56,12.926577042399172,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,12,14,25,1813,6.618863761720904,0.48,7.722007722007722,0.56,13.789299503585218,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,13,14,25,1775,7.323943661971831,0.52,7.887323943661972,0.56,14.084507042253522,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,13,17,25,1810,7.18232044198895,0.52,9.392265193370166,0.68,13.812154696132596,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,15,17,25,2015,7.444168734491315,0.6,8.436724565756824,0.68,12.40694789081886,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,12,14,25,2035,5.896805896805897,0.48,6.87960687960688,0.56,12.285012285012286,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,13,16,25,1853,7.015650296815974,0.52,8.634646519158123,0.64,13.491635186184565,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,14,12,25,1897,7.380073800738008,0.56,6.32577754348972,0.48,13.178703215603585,1.0
noisy,NoisyNet DQN,train,1,0,24,25,0,20,20,5518,0.0,0.0,3.624501631025734,0.8,3.624501631025734,0.8
noisy,NoisyNet DQN,train,2,25,49,25,0,15,15,7817,0.0,0.0,1.9188947166432135,0.6,1.9188947166432135,0.6
noisy,NoisyNet DQN,train,3,50,74,25,0,23,23,5116,0.0,0.0,4.495699765441751,0.92,4.495699765441751,0.92
noisy,NoisyNet DQN,train,4,75,99,25,0,25,25,3008,0.0,0.0,8.311170212765957,1.0,8.311170212765957,1.0
noisy,NoisyNet DQN,train,5,100,124,25,1,24,25,2306,0.4336513443191674,0.04,10.407632263660018,0.96,10.841283607979184,1.0
noisy,NoisyNet DQN,train,6,125,149,25,0,25,25,1987,0.0,0.0,12.581781580271766,1.0,12.581781580271766,1.0
noisy,NoisyNet DQN,train,7,150,174,25,2,24,25,1443,1.386001386001386,0.08,16.632016632016633,0.96,17.325017325017324,1.0
noisy,NoisyNet DQN,train,8,175,199,25,4,21,25,1691,2.365464222353637,0.16,12.418687167356595,0.84,14.78415138971023,1.0
noisy,NoisyNet DQN,train,9,200,224,25,10,17,25,1765,5.665722379603399,0.4,9.63172804532578,0.68,14.164305949008499,1.0
noisy,NoisyNet DQN,train,10,225,249,25,14,15,25,2055,6.81265206812652,0.56,7.299270072992701,0.6,12.165450121654501,1.0
noisy,NoisyNet DQN,train,11,250,274,25,11,15,25,1857,5.923532579429187,0.44,8.077544426494345,0.6,13.462574044157243,1.0
noisy,NoisyNet DQN,train,12,275,299,25,13,13,24,1751,7.424328954882924,0.52,7.424328954882924,0.52,13.706453455168475,0.96
noisy,NoisyNet DQN,train,13,300,324,25,16,15,25,1746,9.163802978235967,0.64,8.59106529209622,0.6,14.3184421534937,1.0
noisy,NoisyNet DQN,train,14,325,349,25,10,17,25,1750,5.714285714285714,0.4,9.714285714285714,0.68,14.285714285714286,1.0
noisy,NoisyNet DQN,train,15,350,374,25,9,17,24,2077,4.333172845450169,0.36,8.184882041405874,0.68,11.555127587867116,0.96
noisy,NoisyNet DQN,train,16,375,399,25,8,18,25,1873,4.271222637479979,0.32,9.610250934329953,0.72,13.347570742124933,1.0
noisy,NoisyNet DQN,train,17,400,424,25,7,18,25,1641,4.2656916514320535,0.28,10.968921389396709,0.72,15.234613040828762,1.0
noisy,NoisyNet DQN,train,18,425,449,25,12,15,25,1696,7.0754716981132075,0.48,8.84433962264151,0.6,14.74056603773585,1.0
noisy,NoisyNet DQN,train,19,450,474,25,8,18,25,1381,5.792903692976104,0.32,13.034033309196234,0.72,18.102824040550328,1.0
noisy,NoisyNet DQN,train,20,475,499,25,7,19,25,1340,5.223880597014926,0.28,14.17910447761194,0.76,18.65671641791045,1.0
