phase,experiment,method,block_index,start_episode,end_episode,episodes_in_block,average_env_reward,median_env_reward,min_env_reward,max_env_reward,std_env_reward,q1_env_reward,q3_env_reward,total_wall_time_seconds,total_cpu_time_seconds,total_gpu_time_seconds,average_steps,average_loss,average_rnd_intrinsic,average_count_intrinsic,average_gpu_util_percent,max_gpu_memory_mb,learning_rate,lr_multiplier
train,standard_epsilon,Epsilon,1,0,99,100,408.21210775051236,132.76843201858708,107.55442226024496,1052.5438015797674,314.55271867962864,126.40341525656925,676.7090145877858,566.8811359405518,353.4883190439999,566.8487185058594,258.72,0.30904679750835234,0.36407215978394825,0.011395778448571483,34.82,2.00634765625,0.0001,1.0
train,standard_epsilon,Epsilon,2,100,199,100,412.1989432865383,130.63092237451525,122.12946750799148,1072.1732105699534,346.2447890088723,126.43039966641146,756.8074207984467,487.5032398700714,306.6684734410003,487.47322399902333,239.77,0.6566996942733602,0.008907346053976107,0.007092753373555764,35.67,2.00634765625,0.0001,1.0
train,standard_epsilon,Epsilon,3,200,299,100,510.20060598688235,546.86940673449,-97.99442927096577,1103.8374389617813,384.02765180623663,126.42258333967906,897.0617709508568,604.5957312583923,386.49842987299917,604.5651480216983,289.24,1.1027727578477515,0.008348426772052877,0.007496196384943255,35.17,2.00634765625,0.0001,1.0
train,standard_epsilon,Epsilon,4,300,399,100,537.6159904963181,648.8219948006987,122.21374989421507,1110.035403365904,384.2453853886695,126.44129590552113,905.2036285050056,643.3905019760132,423.6119166770011,643.3603922729493,301.84,1.427465509157846,0.005325400787800765,0.006542381477654099,35.93,2.00634765625,0.0001,1.0
train,standard_epsilon,Epsilon,5,400,499,100,489.1133881528806,129.5857987766467,120.2276932145144,1087.6084132282222,411.3713737256714,126.408064773659,942.9944909745011,537.7017555236816,344.97260090900045,537.6735212402344,253.89,1.6830841458975587,0.004055491764087466,0.003932761770794184,35.97,2.00634765625,0.0001,1.0
train,median_50_first,Median First,1,0,99,100,453.6513950809827,126.48796817859176,115.85898867853672,1122.5358267084753,405.7006950947818,124.38416063331759,919.1334713301318,514.8496787548065,356.1929881880001,514.8186268310548,234.23,0.2771762319110575,0.2390810443639949,0.007072136451951066,36.38,2.8779296875,0.0001,1.0
train,median_50_first,Median First,2,100,199,100,627.8572106371878,679.0693460389593,124.29894690557234,1077.8404999172844,284.3509220753005,495.79628318518695,842.9476221862576,837.3838560581207,593.351167533001,837.3528782958981,394.67,0.6250370200323997,0.013517710695366279,0.013797537730233242,37.79,2.8779296875,0.0001,1.0
train,median_50_first,Median First,3,200,299,100,790.2488808942064,937.7663862132047,124.27958119632294,1132.4980790573677,349.8609742915649,671.0909061795182,1046.0880159575854,863.5214829444885,599.0739881949999,863.4880885009769,410.93,1.1515239827634647,0.01204018811443221,0.006924555817994179,37.9,2.8779296875,0.0001,1.0
train,median_50_first,Median First,4,300,399,100,696.4377682390838,1008.0989972901527,122.19935916135948,1145.5737586226473,458.9943807680455,126.44639080841412,1089.0903154051632,695.6588187217712,500.1135806829984,695.6251705322267,327.87,1.399219576627576,0.005024885836281844,0.0028314879557762625,38.52,2.8779296875,0.0001,1.0
train,median_50_first,Median First,5,400,499,100,582.5638289569116,130.59416908534186,122.1859560112811,1131.52201461704,475.5867748299937,126.41181563504404,1078.7780716456534,568.8899078369141,379.1396026360003,568.860999206543,270.62,1.1608766231423355,0.002345645182326217,0.0022271782531116738,37.47,2.8779296875,0.0001,1.0
train,median_50,Median 50,1,0,99,100,560.0648877843236,637.5936922504054,120.15668790194167,1125.7127538113668,371.2384402579123,124.39729571245135,888.9615126408387,692.6005382537842,488.06174455100063,692.5660155639648,316.96,0.3318248407937437,0.2527645639885023,0.010874464568292446,36.81,3.74951171875,0.0001,1.0
train,median_50,Median 50,2,100,199,100,500.5828236412571,603.7641222796046,122.25291052104966,1063.611075141565,370.8975761395922,126.42551767803465,845.0121750452505,601.5119736194611,404.3719207280028,601.4801464843752,282.32,0.7765892616128689,0.00975192330084878,0.006842834169008521,37.01,3.74951171875,0.0001,1.0
train,median_50,Median 50,3,200,299,100,509.1048440202478,622.5377331904031,122.23384794763683,1127.6753569909365,348.49183662919694,126.43710630248387,755.1889399177614,656.0026977062225,444.9992606190035,655.9698079833986,310.04,1.1018679887481562,0.007068845417689774,0.00841984112867004,36.81,3.74951171875,0.0001,1.0
train,median_50,Median 50,4,300,399,100,451.8005355106045,564.0953129285276,122.25517301067259,1001.0326590914545,318.3042445884932,126.3730186294755,731.3778015281594,601.5314815044403,409.3865120160035,601.4984843749997,286.17,1.3594917952156005,0.0040997849742830566,0.007516851837501269,38.5,3.74951171875,0.0001,1.0
train,median_50,Median 50,5,400,499,100,479.58994664274974,554.4972882344036,122.25424811807558,1099.7161156470063,354.90809711933343,126.37187314658199,814.0029637299285,582.5468060970306,405.37592385900643,582.5123599853514,282.08,1.739461685129075,0.0038880311652605116,0.006501963381381775,38.09,3.74951171875,0.0001,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,1,0,99,100,725.7846092270456,1191.7785381022654,115.9814341501813,1272.243754670541,557.2319280799329,122.28240870509242,1245.754236375138,703.0310769081116,497.97562358199866,702.9983894042972,296.26,0.14149052081274816,0.031549109151090916,0.003385659773777424,37.19,4.62109375,0.0001,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,2,100,199,100,392.4062824411234,124.31719022544175,120.08447417014685,1256.5488472782467,477.62011892618244,122.27479049923045,145.331464356352,391.7936444282532,283.65995891799685,391.7591251220705,163.96,0.33585653904348867,0.0018745387751779327,0.0014565305196853095,37.48,4.62109375,0.0001,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,3,200,299,100,268.7255334175769,122.29778440382226,120.07221746421783,1255.0314751280205,374.17419370862046,122.2534139166367,124.41977036904206,274.55229783058167,196.1790454140064,274.5175399169922,115.36,0.5227308898546525,0.0010844168866698675,0.0010458240266147125,37.56,4.62109375,0.0001,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,4,300,399,100,206.45426701893265,124.28282060271361,120.10754623745359,1253.2614816821065,284.1537088189866,122.26126461358116,126.35438032762823,212.41159176826477,147.78448388100696,212.37757324218762,90.82,0.7668446496136192,0.0007560246857855434,0.0008392787472645802,37.07,4.62109375,0.0001,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,5,400,499,100,181.20900524025322,124.33193061816227,120.09257430386378,1245.1039445928832,242.64558580611316,122.24687292583062,124.44538603359459,184.49883031845093,125.48422084799677,184.46666552734374,80.65,1.0260955562441951,0.0006923299970273836,0.0007369447341877247,36.69,4.62109375,0.0001,1.0
test,standard_epsilon,Epsilon,1,0,99,100,135.21655212849373,134.89663311266565,122.36807367409398,141.1439203202194,2.893354259997415,132.84824977334478,137.00090534727718,89.21010184288025,27.94221479099815,89.1772989501953,63.16,0.0,0.0,0.0,35.81,4.48779296875,0.0001,1.0
test,standard_epsilon,Epsilon,2,100,199,100,134.12377246046037,132.86775276548966,126.527011370048,143.32359929616007,3.3906048774137254,132.74404541689995,135.5627393516442,91.3557460308075,28.547698268002023,91.32219097900392,62.63,0.0,0.0,0.0,34.67,4.48779296875,0.0001,1.0
