phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,ensemble_epsilon_medianfirst_median50,Ensemble,0,1244.9474081290073,1266.7850846837653,500,10.874755144119263,7.0616785990005155,10.87455078125,4.62109375,0.0,39.0,4439.0,49140.0,153.68,39.0,0.02138634490912665,437,1.8948420940517763,0.02472693216899529,1.8948420940517763,500,437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 464, 'ensemble_median_50_first': 34, 'ensemble_median_50': 2}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,1,1238.5294034601047,1245.824686147358,500,10.905224800109863,6.9232742220001455,10.9048935546875,4.62109375,0.0,43.0,4439.0,49140.0,150.05,39.0,0.021961034286301584,500,0.11381701222951392,0.01345239525221346,0.11381701222951392,1000,937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 472, 'ensemble_median_50_first': 27, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,2,1245.6996869226518,1251.6328935488457,500,11.157074689865112,8.102339748000304,11.156806640625,4.62109375,0.0,40.0,4439.0,49140.0,149.46,39.0,0.049405565459746864,500,0.09890952963183895,0.010877317956070165,0.09890952963183895,1500,1437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 464, 'ensemble_median_50_first': 34, 'ensemble_median_50': 2}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,3,1236.7435754918802,1241.600067383691,500,10.286801815032959,6.844351060999543,10.2864169921875,4.62109375,0.0,40.0,4439.0,49140.0,153.58,39.0,0.024759643591474742,500,0.05071825338936401,0.009205801249725025,0.05071825338936401,2000,1937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 464, 'ensemble_median_50_first': 36}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,4,1244.9481507976247,1249.1599169247754,500,11.097394704818726,7.984153139000227,11.0970615234375,4.62109375,0.0,36.0,4439.0,49140.0,149.66,39.0,0.06080634014483076,500,0.03700198005619063,0.008053512453741262,0.03700198005619063,2500,2437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 470, 'ensemble_median_50_first': 30}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,5,1241.5872005274427,1245.3845612711707,500,10.707404613494873,8.149598013000286,10.7073037109375,4.62109375,0.0,38.0,4439.0,49140.0,152.31,39.0,0.03322195880243089,500,0.028811670308122758,0.00730660478437527,0.028811670308122758,3000,2937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 470, 'ensemble_median_50_first': 30}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,6,1242.1250787641904,1245.5514794232947,500,10.346004724502563,7.611557303999689,10.34573046875,4.62109375,0.0,38.0,4439.0,49140.0,148.77,39.0,0.06538656285661272,500,0.02300344214558436,0.006622766896752021,0.02300344214558436,3500,3437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 468, 'ensemble_median_50_first': 32}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,7,1242.4120030943868,1245.806853686541,500,10.557562589645386,7.675719140999718,10.557126953125,4.62109375,0.0,45.0,4439.0,49140.0,154.54,40.0,0.032587327819899654,500,0.052450560371100664,0.006265195580599166,0.052450560371100664,4000,3937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 464, 'ensemble_median_50_first': 35, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,8,1246.031583837293,1249.220514562501,500,11.138712882995605,7.921323810999638,11.1383017578125,4.62109375,0.0,38.0,4439.0,49140.0,151.38,39.0,0.06919949429819826,500,0.04037311847169303,0.005974130265700971,0.04037311847169303,4500,4437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 462, 'ensemble_median_50_first': 36, 'ensemble_median_50': 2}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,9,1238.4364873606803,1241.398897976752,500,10.575491428375244,7.299662672999148,10.5750830078125,4.62109375,0.0,43.0,4439.0,49140.0,155.6,39.0,0.03852340962237213,500,0.025759110524487143,0.005667230126900483,0.025759110524487143,5000,4937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 460, 'ensemble_median_50_first': 39, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,10,1245.0507830856639,1247.6883516534758,500,10.897304773330688,7.646080673000142,10.8968876953125,4.62109375,0.0,40.0,4439.0,49140.0,150.57,39.0,0.06819835268345195,500,0.014557783868126875,0.005129559296943643,0.014557783868126875,5500,5437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 475, 'ensemble_median_50_first': 25}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,11,1208.9983539732755,1211.5708806776443,500,11.190632104873657,7.986419935000413,11.1903232421875,4.62109375,0.0,34.0,4439.0,49140.0,146.42,39.0,0.04341272522730287,500,0.01175379527134612,0.005027515456025941,0.01175379527134612,6000,5937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 452, 'ensemble_median_50_first': 48}"
