phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50_first,Median First,0,115.85898867853672,127.80366354394287,54,0.9453771114349365,0.5078426479999507,0.945154541015625,2.52587890625,0.0,41.0,4437.0,49140.0,121.04,36.0,0.0,0,20.19582552380032,0.01923942745470324,20.19582552380032,54,0,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 54}
train,median_50_first,Median First,1,128.78149711497673,130.40705296713924,60,1.2578136920928955,0.7724144960000103,1.2574638671875,2.8779296875,0.0,40.0,4437.0,49140.0,128.33,36.0,7.418468304708893,51,1.4062888742114106,0.013029708793927527,1.4062888742114106,114,51,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 60}
train,median_50_first,Median First,2,969.1065684624466,986.9731431832317,500,11.490811109542847,7.369013068999948,11.4903798828125,2.8779296875,0.0,42.0,4437.0,49140.0,133.93,37.0,0.06368008614098654,500,0.8613030794192927,0.02712011864737881,0.8613030794192927,614,551,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,3,923.0863308769065,935.1437465966475,500,11.071390867233276,7.744198407999875,11.0710927734375,2.8779296875,0.0,37.0,4437.0,49140.0,145.48,37.0,0.09191146625299007,500,0.12286096878113495,0.022886221751669066,0.12286096878113495,1114,1051,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,4,897.5386338304709,908.9174615600804,500,11.328420639038086,7.845740502000126,11.3282216796875,2.8779296875,0.0,38.0,4437.0,49140.0,147.44,37.0,0.07065219732560217,500,0.04665767310571937,0.02229107872816061,0.04665767310571937,1614,1551,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,5,126.41955324375186,126.76529786593576,59,1.1607496738433838,0.8859080350000568,1.1604796142578124,2.8779296875,0.0,41.0,4437.0,49140.0,151.58,38.0,0.07129587226752508,59,0.013262017399676428,0.005727458168103551,0.013262017399676428,1673,1610,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 59}
train,median_50_first,Median First,6,1034.6280913328146,1044.6977138396217,500,11.26776385307312,7.479686426999933,11.2673974609375,2.8779296875,0.0,37.0,4437.0,49140.0,119.8,36.0,0.10217572786659003,500,0.04108192460335704,0.019728425767580295,0.04108192460335704,2173,2110,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,7,917.1247868547364,928.5896449511647,500,11.335320949554443,7.724671079000018,11.335017578125,2.8779296875,0.0,40.0,4437.0,49140.0,147.58,37.0,0.08465392591431736,500,0.030435656042660412,0.02262535963242932,0.030435656042660412,2673,2610,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,8,1007.4946885185198,1015.5489164320143,500,10.902432680130005,6.489685559999998,10.90225,2.8779296875,0.0,31.0,4437.0,49140.0,120.01,36.0,0.1026351245176047,500,0.02117480792419701,0.015896707747746954,0.02117480792419701,3173,3110,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,9,1093.8193401310668,1099.6373047646957,500,10.039994955062866,6.510408355999971,10.040017578125,2.8779296875,0.0,35.0,4437.0,49140.0,116.94,36.0,0.08927294274047017,500,0.005826904952573386,0.011577660217730233,0.005826904952573386,3673,3610,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
