phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50,Median 50,0,120.15668790194167,132.85973500905206,56,0.8905994892120361,0.5719032549995973,0.8903368530273438,3.3974609375,0.0,39.0,4437.0,49140.0,131.59,37.0,0.0,0,20.70243959767478,0.019815730935938046,20.70243959767478,56,0,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 53, 'median50_explore': 3}"
train,median_50,Median 50,1,546.7164017297994,565.0921455615224,378,8.355588436126709,5.796563343000344,8.3551689453125,3.74951171875,0.0,33.0,4437.0,49140.0,115.2,37.0,0.13606609247695162,371,1.719539758510008,0.03141768133480137,1.719539758510008,434,371,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 316, 'median50_explore': 62}"
train,median_50,Median 50,2,566.1996776963384,584.1600088849818,500,10.618540287017822,7.626750542000082,10.618080078125,3.74951171875,0.0,40.0,4437.0,49140.0,148.45,38.0,0.22061354601196945,500,0.441809458613774,0.03150256779114906,0.441809458613774,934,871,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 395, 'median50_explore': 105}"
train,median_50,Median 50,3,126.46739343184927,127.19029270208452,59,1.2635917663574219,0.961112590999619,1.263276123046875,3.74951171875,0.0,34.0,4437.0,49140.0,146.33,38.0,0.21654019886785644,59,0.49612901558294514,0.007291239848156906,0.49612901558294514,993,930,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 42, 'median50_explore': 17}"
train,median_50,Median 50,4,124.35919744297783,124.75782705591658,58,1.3318772315979004,0.8951000679999197,1.3314866943359376,3.74951171875,0.0,32.0,4437.0,49140.0,121.28,37.0,0.23518619768257285,58,0.021598353911219326,0.006656940821901179,0.021598353911219326,1051,988,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 44, 'median50_explore': 14}"
train,median_50,Median 50,5,870.5168705557911,883.4122494890988,500,10.882813453674316,7.859679537999909,10.8823486328125,3.74951171875,0.0,38.0,4437.0,49140.0,145.47,37.0,0.23468964186124502,500,0.11040547017048084,0.02468670316491034,0.11040547017048084,1551,1488,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 406, 'median50_explore': 94}"
train,median_50,Median 50,6,124.34254427941673,124.66029494035728,58,1.262697696685791,0.9230569729998024,1.26232373046875,3.74951171875,0.0,31.0,4437.0,49140.0,141.93,37.0,0.17086254792480632,58,0.023608830227548706,0.005242371369113793,0.023608830227548706,1609,1546,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 48, 'median50_explore': 10}"
train,median_50,Median 50,7,611.5824344810599,624.3905489327246,463,10.113783836364746,6.706654749000336,10.11340234375,3.74951171875,0.0,38.0,4437.0,49140.0,114.29,37.0,0.19628411597626577,463,0.059004588979387845,0.027073268260670115,0.059004588979387845,2072,2009,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 370, 'median50_explore': 93}"
train,median_50,Median 50,8,124.3702817422988,124.66191936535985,58,1.2971551418304443,0.9050538809997306,1.29681689453125,3.74951171875,0.0,37.0,4437.0,49140.0,115.43,36.0,0.3208787077716712,58,0.020160296723118115,0.004826631913131677,0.020160296723118115,2130,2067,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 46, 'median50_explore': 12}"
train,median_50,Median 50,9,1111.6473316006645,1120.4351786594063,500,11.364361763000488,7.84494938699936,11.36404296875,3.74951171875,0.0,35.0,4437.0,49140.0,115.26,36.0,0.2182836112175137,500,0.019308996639410908,0.017382604151092516,0.019308996639410908,2630,2567,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 410, 'median50_explore': 90}"
train,median_50,Median 50,10,903.354737968912,912.4782163333326,500,11.170235872268677,7.835612253000363,11.1697919921875,3.74951171875,0.0,35.0,4437.0,49140.0,113.68,36.0,0.18618365686200558,500,0.028617418390997046,0.017960782544928305,0.028617418390997046,3130,3067,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 403, 'median50_explore': 97}"
train,median_50,Median 50,11,960.8767246319167,968.9288114043248,500,11.211592435836792,7.6131059210001695,11.2111865234375,3.74951171875,0.0,36.0,4437.0,49140.0,119.25,36.0,0.16357325080037116,500,0.02055220319906948,0.015898651512827825,0.02055220319906948,3630,3567,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 106, 'greedy': 394}"
