phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,standard_epsilon,Epsilon,0,107.55442226024496,124.38701867965574,50,1.886199951171875,1.5822194849999995,1.882025390625,1.654296875,0.0,33.0,4435.0,49140.0,124.78,34.0,0.0,0,32.38995544433594,0.012752373944855655,32.38995544433594,50,0,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 41, 'epsilon_random': 9}"
train,standard_epsilon,Epsilon,1,612.2087427045662,629.323735582484,392,8.35104751586914,5.0272784690000005,8.351052734375,2.00634765625,0.0,33.0,4437.0,49140.0,109.88,34.0,0.38933619949229475,379,1.0817900212728555,0.032842795904408716,1.0817900212728555,442,379,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 314, 'epsilon_random': 78}"
train,standard_epsilon,Epsilon,2,763.0111232040437,780.555727658187,500,10.033388376235962,5.901833807999999,10.0329404296875,2.00634765625,0.0,31.0,4437.0,49140.0,123.6,35.0,0.2345648535490036,500,0.34495304839816526,0.031639678424306684,0.34495304839816526,942,879,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 396, 'epsilon_random': 104}"
train,standard_epsilon,Epsilon,3,648.7002220608641,660.9298482976764,450,8.824894189834595,5.347850830999999,8.8248662109375,2.00634765625,0.0,38.0,4437.0,49140.0,122.48,35.0,0.22481607851675814,450,0.13210047637212685,0.02585594242919588,0.13210047637212685,1392,1329,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 351, 'epsilon_random': 99}"
train,standard_epsilon,Epsilon,4,567.8260350322691,584.5822054228852,500,11.132994413375854,7.054503884999999,11.1326611328125,2.00634765625,0.0,40.0,4437.0,49140.0,145.24,36.0,0.22554600801132618,500,0.18084817828649102,0.03170385899836565,0.18084817828649102,1892,1829,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'epsilon_random': 90, 'greedy': 410}"
train,standard_epsilon,Epsilon,5,614.1489092008821,629.6979280721046,500,10.38088846206665,7.020739601999999,10.3806513671875,2.00634765625,0.0,33.0,4437.0,49140.0,130.56,36.0,0.2668760119639337,500,0.10649772079012473,0.030033060534541342,0.10649772079012473,2392,2329,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 394, 'epsilon_random': 106}"
train,standard_epsilon,Epsilon,6,572.5088955139018,584.0280923752042,397,8.27501130104065,5.220953508000001,8.27488671875,2.00634765625,0.0,31.0,4437.0,49140.0,144.21,37.0,0.20387951749604505,397,0.07857175562726493,0.02822989166615175,0.07857175562726493,2789,2726,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 317, 'epsilon_random': 80}"
train,standard_epsilon,Epsilon,7,458.34827959925076,468.57298516192026,373,8.628673791885376,5.421108295000003,8.6282119140625,2.00634765625,0.0,32.0,4437.0,49140.0,136.93,36.0,0.2262679102603376,373,0.11769035010541329,0.026235175755431703,0.11769035010541329,3162,3099,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'epsilon_random': 65, 'greedy': 308}"
train,standard_epsilon,Epsilon,8,641.552463500081,655.5393723600698,500,10.332577466964722,6.075389733999998,10.3324873046875,2.00634765625,0.0,32.0,4437.0,49140.0,109.95,35.0,0.24769565964117646,500,0.06209429277574236,0.027352874792220386,0.06209429277574236,3662,3599,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 407, 'epsilon_random': 93}"
train,standard_epsilon,Epsilon,9,124.39751244923568,124.68794989538362,58,1.2660505771636963,0.7470827389999997,1.2657552490234374,2.00634765625,0.0,33.0,4437.0,49140.0,113.77,35.0,0.17371508687863063,58,0.0527944920116891,0.004479597254847497,0.0527944920116891,3720,3657,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 50, 'epsilon_random': 8}"
