phase,experiment,method,block_index,start_episode,end_episode,episodes_in_block,average_env_reward,median_env_reward,min_env_reward,max_env_reward,std_env_reward,q1_env_reward,q3_env_reward,total_wall_time_seconds,total_cpu_time_seconds,total_gpu_time_seconds,average_steps,average_loss,average_rnd_intrinsic,average_count_intrinsic,average_gpu_util_percent,max_gpu_memory_mb,learning_rate,lr_multiplier
train,noisy_count,Noisy + Count,1,0,99,100,1212.8196472094141,1213.5596141452038,1173.2141589757516,1235.8689237825224,8.854284804949415,1209.4176255980635,1218.321800547297,820.1815028190613,515.8222380059999,820.1484765625,500.0,7.573103779654503,0.0,0.0033685414609108577,37.75,2.03515625,5e-05,1.0
train,noisy_count,Noisy + Count,2,100,199,100,1214.9795416376812,1216.8188497714727,1180.7440165025796,1232.1224766894964,9.472178690289274,1212.2771322113713,1220.9028816551076,858.5643944740295,533.199206426,858.5310927734375,500.0,19.004944583068887,0.0,0.0014584899747926861,35.3,2.03515625,5e-05,1.0
train,noisy_count,Noisy + Count,3,200,299,100,1216.2544289185892,1218.8248502065217,1151.868480018563,1229.819186632689,10.852185729610097,1213.2109988523675,1222.6219353865204,865.4926676750183,544.8905554040005,865.4531215820313,500.0,22.8384733451435,0.0,0.0012464065197563177,34.29,2.03515625,5e-05,1.0
train,noisy_count,Noisy + Count,4,300,399,100,1214.519475654495,1215.7143872382444,1166.8941377066055,1236.6915206073302,10.62019645625854,1211.5826130790908,1221.0950935841938,836.8097629547119,525.6964930019997,836.7842006835939,500.0,17.683803532294448,0.0,0.0009340374602837151,36.05,2.03515625,5e-05,1.0
train,noisy_count,Noisy + Count,5,400,499,100,1213.9988565108945,1213.5049337403184,1186.3448222138275,1229.1246999309885,6.8007292510311705,1210.4778596889064,1218.668483937534,821.9921667575836,494.5201894840002,821.9750131835938,500.0,14.131397176685333,0.0,0.0008153582134910231,36.26,2.03515625,5e-05,1.0
train,rnd_count,RND + Count,1,0,99,100,626.2605151741984,682.3184436053914,126.36191537344261,996.1788885736077,245.01766781622794,484.0928418690949,814.8759128330278,813.038889169693,516.9735488780002,813.0073495483396,427.53,26.69159365787938,6.616111347647417,0.019530237983221607,36.24,2.52587890625,5e-05,1.0
train,rnd_count,RND + Count,2,100,199,100,568.1957876423807,711.3743023639823,124.33118557340083,1075.5544406213287,340.5498284718749,132.631875785136,845.1818173566217,600.6972417831421,359.62391626099907,600.6652799682618,343.3,43.874115566133725,0.04284951198920588,0.009553117316418886,36.5,2.52587890625,5e-05,1.0
train,rnd_count,RND + Count,3,200,299,100,611.8809255183216,795.3503978781491,-197.9932234668401,1045.3936786701827,351.66638520094614,130.63887449510443,913.2517389186366,709.7728595733643,460.4590616460014,709.7395893535615,361.78,59.483587312398804,0.03002324820525969,0.009610929035987257,37.37,2.52587890625,5e-05,1.0
train,rnd_count,RND + Count,4,300,399,100,698.7802950324501,802.6528963787466,126.39170143618917,1022.8046875691298,270.30578137444485,585.8888033394829,880.6666402721107,809.748916387558,524.9973660299988,809.7148337402343,431.02,60.09404334518695,0.018548278157726753,0.009970965976174612,37.22,2.52587890625,5e-05,1.0
train,rnd_count,RND + Count,5,400,499,100,733.9595887510997,800.587241579248,124.315162344129,1023.3538750009354,236.36283053280982,710.99333830692,886.5349167502089,890.507021188736,558.0632036049956,890.4761095581058,451.55,53.58777481502646,0.012429267971947084,0.009399708786541706,35.71,2.52587890625,5e-05,1.0
