phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,noisy_count,Noisy + Count,0,1214.1287880957775,1226.3757743381468,500,max_steps,False,False,none,-1,,0.0,False,0,9.651350736618042,5.658653157000001,9.650083984375,2.03515625,0.0,0.0,0.0,0.0,29.0,6250.0,49140.0,110.65,36.0,46.11097283917106,437,0.0,0.02449397248473555,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,1,1218.3615421954944,1225.2986544396247,500,max_steps,False,False,none,-1,,0.0,False,0,8.271867752075195,4.333636157000001,8.271904296875,2.03515625,0.0,0.0,0.0,0.0,33.0,6250.0,49140.0,121.56,36.0,31.305714365400373,500,0.0,0.013874224488263514,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,2,1221.477565909819,1226.6259580028457,500,max_steps,False,False,none,-1,,0.0,False,0,8.256052494049072,5.176430805999999,8.256107421875,2.03515625,0.0,0.0,0.0,0.0,44.0,6250.0,49140.0,152.05,37.0,27.309352871112527,500,0.0,0.010296784186053055,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,3,1219.7654175882683,1224.1683239661713,500,max_steps,False,False,none,-1,,0.0,False,0,8.418018579483032,5.004722534999999,8.4181396484375,2.03515625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,114.26,36.0,22.02845946778357,500,0.0,0.008805812755805886,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,4,1212.7221430222403,1216.7700258426746,500,max_steps,False,False,none,-1,,0.0,False,0,7.971811294555664,4.459287635000003,7.97229345703125,2.03515625,0.0,0.0,0.0,0.0,35.0,6250.0,49140.0,114.34,36.0,18.343877919986845,500,0.0,0.008095765640870374,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,5,1208.3711326701641,1212.161870556955,500,max_steps,False,False,none,-1,,0.0,False,0,7.782777309417725,4.882531955000001,7.78255712890625,2.03515625,0.0,0.0,0.0,0.0,39.0,6250.0,49140.0,130.13,36.0,13.726203198533506,500,0.0,0.007581475773579431,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,6,1209.6349856757452,1213.0030043903655,500,max_steps,False,False,none,-1,,0.0,False,0,8.011475324630737,4.975970365000002,8.01110546875,2.03515625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,113.63,35.0,13.867880182676018,500,0.0,0.0067360374292393475,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,7,1215.6358223313564,1218.6862084057336,500,max_steps,False,False,none,-1,,0.0,False,0,8.216736555099487,4.630301175,8.2167158203125,2.03515625,0.0,0.0,0.0,0.0,39.0,6250.0,49140.0,114.27,36.0,11.093873579591513,500,0.0,0.006100772148754851,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,8,1173.2141589757516,1176.2273282933454,500,max_steps,False,False,none,-1,,0.0,False,0,7.549170732498169,4.296620316999999,7.5489326171875,2.03515625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,113.97,36.0,10.951987067393958,500,0.0,0.006026338635188944,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,9,1201.195972748916,1203.777683586562,500,max_steps,False,False,none,-1,,0.0,False,0,7.958969593048096,4.759614247000002,7.958861328125,2.03515625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,143.1,37.0,8.74215514730662,500,0.0,0.00516342167529581,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
