phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,rnd_count,RND + Count,0,126.65081552021742,296.99815926549115,59,stuck,True,False,none,-1,,0.0,True,50,0.8467376232147217,0.35590133899995635,0.8464981079101562,2.17333984375,0.0,0.0,0.0,0.0,36.0,6250.0,49140.0,115.8,36.0,0.0,0,286.6086394746425,0.021156719580245908,286.6086394746425,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 59}
train,rnd_count,RND + Count,1,130.66791561225838,241.9147252112305,61,stuck,True,False,none,-1,,0.0,True,50,1.0771210193634033,0.5414130569997724,1.0768720703125,2.52587890625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,115.19,36.0,35.03868834177653,57,181.09258507900552,0.01279233935702721,181.09258507900552,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 61}
train,rnd_count,RND + Count,2,126.44023058810788,195.10438377036382,59,stuck,True,False,none,-1,,0.0,True,50,0.9177412986755371,0.5877795950000291,0.9173080444335937,2.52587890625,0.0,0.0,0.0,0.0,41.0,6250.0,49140.0,127.29,37.0,13.152265734591726,59,115.4048190359342,0.009751016119573035,115.4048190359342,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 59}
train,rnd_count,RND + Count,3,610.7389884766708,891.3004933399731,500,max_steps,False,False,none,-1,,0.0,False,0,8.415567636489868,5.154597549999835,8.4152177734375,2.52587890625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,125.0,37.0,2.6666742129921914,500,52.884146426558495,0.0322815454610209,52.884146426558495,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,4,684.4537921989536,737.9460721924667,500,max_steps,False,False,none,-1,,0.0,False,0,9.10390567779541,5.440086645000065,9.1035283203125,2.52587890625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,120.37,36.0,1.4917192824482919,500,7.390628240289167,0.03307827758413726,7.390628240289167,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,5,671.1603519116109,696.0507562954332,500,max_steps,False,False,none,-1,,0.0,False,0,9.553423881530762,6.29918238800019,9.553318359375,2.52587890625,0.0,0.0,0.0,0.0,41.0,6250.0,49140.0,152.49,38.0,1.4422433071434497,500,1.8528212312310934,0.03125259645533447,1.8528212312310934,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,6,666.7251108501749,687.2528900941511,500,max_steps,False,False,none,-1,,0.0,False,0,9.806544065475464,5.938188265000008,9.80634765625,2.52587890625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,147.65,38.0,1.452162698686123,500,0.9830872304141521,0.031224686183813247,0.9830872304141521,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,7,130.66801952949928,131.69111657256474,61,stuck,True,False,none,-1,,0.0,True,50,0.9356663227081299,0.5549385580002308,0.9353286743164062,2.52587890625,0.0,0.0,0.0,0.0,35.0,6250.0,49140.0,118.92,37.0,1.339954291943644,61,1.0898091350911094,0.00587399132229242,1.0898091350911094,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 61}
train,rnd_count,RND + Count,8,653.1363046501322,672.0346035412578,500,max_steps,False,False,none,-1,,0.0,False,0,9.803603649139404,5.581254851999802,9.8035556640625,2.52587890625,0.0,0.0,0.0,0.0,34.0,6250.0,49140.0,114.28,37.0,1.3962358611226082,500,0.6225623693168163,0.031570974089084866,0.6225623693168163,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,9,485.7512378957036,501.3936510325528,447,collision,True,True,static.pole,0,,8577.571178464308,False,0,9.038094997406006,5.178681462999975,9.037958984375,2.52587890625,0.0,0.0,0.0,0.0,36.0,6250.0,49140.0,113.88,36.0,1.3396004876101044,447,0.6144964944183726,0.028849247889931463,0.6144964944183726,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 447}
