phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50_first,Median First,0,107.55334944763091,112.03614913080125,50,stuck,True,False,none,-1,,0.0,True,50,1.0942599773406982,0.521621397000672,1.0916304931640626,2.52587890625,0.0,0.0,0.0,0.0,37.0,5835.0,49140.0,121.11,36.0,0.0,0,7.690361971855164,0.012752373944855655,7.690361971855164,50,0,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,1,107.5535043740578,109.21991129242912,50,stuck,True,False,none,-1,,0.0,True,50,1.429671049118042,0.7671429599995463,1.4267969970703125,2.8779296875,0.0,0.0,0.0,0.0,38.0,5835.0,49140.0,115.78,35.0,8.461941757717648,37,1.6053397849947215,0.01727474051747907,1.6053397849947215,100,37,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,2,107.55386647207258,108.84191248741894,50,stuck,True,False,none,-1,,0.0,True,50,1.5111510753631592,0.8458216979997815,1.50787353515625,2.8779296875,0.0,0.0,0.0,0.0,34.0,5835.0,49140.0,111.78,35.0,4.669133124351501,50,1.3008546362072229,0.012752373944855655,1.3008546362072229,150,87,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,3,389.08693771139883,405.12110114181064,356,collision,True,True,static.building,0,,5943.625,False,0,10.710936546325684,6.067992469999808,10.7080966796875,2.8779296875,0.0,0.0,0.0,0.0,35.0,5835.0,49140.0,114.88,35.0,0.18496601024166462,356,0.8237018743742471,0.03680276617314441,0.8237018743742471,506,443,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 356}
train,median_50_first,Median First,4,493.46992400505144,508.65579518409,411,collision,True,True,static.static,0,,16188.643321023863,False,0,12.2832932472229,6.992228404999878,12.275892578125,2.8779296875,0.0,0.0,0.0,0.0,41.0,5835.0,49140.0,115.73,35.0,0.4071318352291329,411,0.15193425090203513,0.03542924916747182,0.15193425090203513,917,854,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 411}
train,median_50_first,Median First,5,107.55348640576459,108.33888913726561,50,stuck,True,False,none,-1,,0.0,True,50,1.5028090476989746,0.8017457270007071,1.5002088623046874,2.8779296875,0.0,0.0,0.0,0.0,39.0,5835.0,49140.0,158.18,39.0,0.5083044095337391,50,0.2955680685164407,0.012752373944855655,0.2955680685164407,967,904,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,6,107.55358400738331,108.25631773918072,50,stuck,True,False,none,-1,,0.0,True,50,1.4497578144073486,0.7872289229999296,1.441890625,2.8779296875,0.0,0.0,0.0,0.0,33.0,5835.0,49140.0,115.63,36.0,0.43577844915911557,50,0.13023006910923868,0.012752373944855655,0.13023006910923868,1017,954,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,7,300.1169796553687,311.6144328737912,307,collision,True,True,static.pole,0,,16633.498710798496,False,0,9.107257604598999,5.4163824480001495,9.1045947265625,2.8779296875,0.0,0.0,0.0,0.0,41.0,5835.0,49140.0,115.55,36.0,0.6765881570735612,307,0.12714885416211627,0.03617949914053448,0.12714885416211627,1324,1261,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 307}
train,median_50_first,Median First,8,107.5536195966212,108.46811736599555,50,stuck,True,False,none,-1,,0.0,True,50,1.4277753829956055,0.7700471389998711,1.4250755615234374,2.8779296875,0.0,0.0,0.0,0.0,35.0,5835.0,49140.0,116.46,36.0,0.4081508608907461,50,0.10464211030630395,0.01724353428442455,0.10464211030630395,1374,1311,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,9,107.55374386894933,108.30446360782115,50,stuck,True,False,none,-1,,0.0,True,50,1.4027199745178223,0.7372232280004027,1.400012939453125,2.8779296875,0.0,0.0,0.0,0.0,35.0,5835.0,49140.0,118.16,36.0,0.6886069034226239,50,0.2262020832579583,0.012752373944855655,0.2262020832579583,1424,1361,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,10,107.55373743655751,108.43746443003094,50,stuck,True,False,none,-1,,0.0,True,50,1.3548669815063477,0.6578922769995188,1.35226904296875,2.8779296875,0.0,0.0,0.0,0.0,32.0,5835.0,49140.0,115.83,36.0,0.5059513846598566,50,0.045851096322294324,0.017216028906245993,0.045851096322294324,1474,1411,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,11,449.9097235666421,463.78218500998463,369,collision,True,True,static.building,0,,7385.61376953125,False,0,10.844932556152344,6.825540865000221,10.8419794921875,2.8779296875,0.0,0.0,0.0,0.0,32.0,5835.0,49140.0,142.55,37.0,0.5209716920485987,369,0.0973568447013884,0.03662117801190836,0.0973568447013884,1843,1780,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 369}
train,median_50_first,Median First,12,107.55315987460199,107.92673453013781,50,stuck,True,False,none,-1,,0.0,True,50,1.3510863780975342,0.7341892499998721,1.3454583740234376,2.8779296875,0.0,0.0,0.0,0.0,47.0,5835.0,49140.0,164.17,39.0,0.3735916699282825,50,0.26838548090308906,0.004787638301684507,0.26838548090308906,1893,1830,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,13,107.55390469295216,108.30776037751144,50,stuck,True,False,none,-1,,0.0,True,50,1.498046636581421,0.8597085950004839,1.4951138916015625,2.8779296875,0.0,0.0,0.0,0.0,31.0,5835.0,49140.0,112.52,36.0,0.6409126148931682,50,0.2324739746330306,0.012752373944855655,0.2324739746330306,1943,1880,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,14,107.55348156327949,108.5908699033421,50,stuck,True,False,none,-1,,0.0,True,50,1.553520917892456,0.9791683909998028,1.5506572265625,2.8779296875,0.0,0.0,0.0,0.0,35.0,5835.0,49140.0,117.63,36.0,0.3128400075063109,50,0.35673815994057806,0.017180385201845057,0.35673815994057806,1993,1930,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,15,107.55452593946248,108.26119443808702,50,stuck,True,False,none,-1,,0.0,True,50,1.6468136310577393,0.8775970739998229,1.6442022705078125,2.8779296875,0.0,0.0,0.0,0.0,31.0,5835.0,49140.0,110.47,36.0,0.2974198389425874,50,0.13809960276354105,0.012752373944855655,0.13809960276354105,2043,1980,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,16,651.8937407100711,667.790498234588,479,collision,True,True,static.static,0,,17714.40534292229,False,0,13.86501669883728,8.914070728000297,13.857462890625,2.8779296875,0.0,0.0,0.0,0.0,35.0,5835.0,49140.0,136.1,36.0,0.5704745947673046,479,0.0749535648984061,0.032437849579653406,0.0749535648984061,2522,2459,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 479}
