phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50,Median 50,0,567.6035008919939,604.084812022501,500,max_steps,False,False,none,-1,,0.0,False,0,15.098064184188843,9.287529719000304,15.09330078125,3.74951171875,0.0,0.0,0.0,0.0,32.0,5837.0,49140.0,134.18,38.0,0.21774929836903884,437,3.1253916474906145,0.04170870578610766,3.1253916474906145,500,437,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 404, 'median50_explore': 96}"
train,median_50,Median 50,1,126.16279738128091,136.52567045941987,233,collision,True,True,static.building,0,,12976.8994140625,False,0,8.01026201248169,4.61360892599987,8.00740966796875,3.74951171875,0.0,0.0,0.0,0.0,35.0,5837.0,49140.0,119.31,38.0,0.1477334800500087,233,0.30627090904248133,0.041413141030344575,0.30627090904248133,733,670,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 49, 'greedy': 184}"
train,median_50,Median 50,2,656.8459497831409,675.6921833832923,500,max_steps,False,False,none,-1,,0.0,False,0,15.668042421340942,9.660450721001325,15.6654306640625,3.74951171875,0.0,0.0,0.0,0.0,35.0,5837.0,49140.0,112.14,36.0,0.3467952353786677,500,0.4228109021287528,0.03346435817901443,0.4228109021287528,1233,1170,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 401, 'median50_explore': 99}"
train,median_50,Median 50,3,347.48418164173484,360.01816090700237,321,collision,True,True,static.vegetation,0,,12583.76302856364,False,0,10.220522403717041,6.0198870900003385,10.2178974609375,3.74951171875,0.0,0.0,0.0,0.0,27.0,5837.0,49140.0,123.61,36.0,0.2097261240386703,321,0.1941040285513555,0.0371056240922666,0.1941040285513555,1554,1491,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 262, 'median50_explore': 59}"
train,median_50,Median 50,4,263.55531630752347,275.57951205232854,289,collision,True,True,static.pole,0,,395.3952115120685,False,0,10.167573928833008,5.570854706000318,10.1601787109375,3.74951171875,0.0,0.0,0.0,0.0,36.0,5837.0,49140.0,119.68,37.0,0.2719779735508417,289,0.1263556105305161,0.04034265754453976,0.1263556105305161,1843,1780,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 63, 'greedy': 226}"
train,median_50,Median 50,5,188.88956429133844,202.40125713915177,336,collision,True,True,static.car,0,,11947.194476330715,False,0,10.778703927993774,6.513826409000103,10.7762041015625,3.74951171875,0.0,0.0,0.0,0.0,29.0,5837.0,49140.0,108.22,35.0,0.4246093577932611,336,0.25884869537219946,0.03762488461715005,0.25884869537219946,2179,2116,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 265, 'median50_explore': 71}"
train,median_50,Median 50,6,499.5866223425658,514.6344476098257,413,stuck,True,False,none,-1,,0.0,True,50,12.576558351516724,8.324811439999394,12.57344921875,3.74951171875,0.0,0.0,0.0,0.0,36.0,5837.0,49140.0,112.19,35.0,0.4288049215523044,413,0.2308450245432196,0.034126962023961135,0.2308450245432196,2592,2529,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 320, 'median50_explore': 93}"
train,median_50,Median 50,7,199.1379954354075,208.8552193764257,242,collision,True,True,static.pole,0,,12605.476735471728,False,0,8.377288818359375,4.804310373001499,8.3699970703125,3.74951171875,0.0,0.0,0.0,0.0,36.0,5837.0,49140.0,111.84,35.0,0.45119325922078585,242,0.29872211167533025,0.03716659682133783,0.29872211167533025,2834,2771,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 60, 'greedy': 182}"
train,median_50,Median 50,8,158.50600176725908,172.0686520471524,316,collision,True,True,static.building,0,,9848.958984375,False,0,9.891393423080444,6.1387529380008345,9.88848046875,3.74951171875,0.0,0.0,0.0,0.0,34.0,5837.0,49140.0,111.24,34.0,0.49398459828918495,316,0.2486157064422629,0.040433622302329386,0.2486157064422629,3150,3087,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 275, 'median50_explore': 41}"
train,median_50,Median 50,9,113.62515270914002,123.79603402889512,246,collision,True,True,static.building,0,,8655.9833984375,False,0,8.33912444114685,4.8830373159999,8.33428125,3.74951171875,0.0,0.0,0.0,0.0,28.0,5837.0,49140.0,107.11,34.0,0.45590491017432716,246,0.12685172987214055,0.04007652871654354,0.12685172987214055,3396,3333,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 186, 'median50_explore': 60}"
train,median_50,Median 50,10,107.55335533086398,108.43192069856072,50,stuck,True,False,none,-1,,0.0,True,50,1.4750466346740723,0.8687219540006481,1.4722039794921875,3.74951171875,0.0,0.0,0.0,0.0,36.0,5837.0,49140.0,113.35,34.0,0.38955335211008785,50,0.4818933409079909,0.012752373944855655,0.4818933409079909,3446,3383,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 42, 'median50_explore': 8}"
train,median_50,Median 50,11,1050.6244922378828,1064.0813172512328,500,max_steps,False,False,none,-1,,0.0,False,24,16.125709533691406,9.313652243999968,16.1229365234375,3.74951171875,0.0,0.0,0.0,0.0,39.0,5837.0,49140.0,133.84,37.0,0.5010569655727595,500,0.057351740010166394,0.026340132626599243,0.057351740010166394,3946,3883,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 405, 'median50_explore': 95}"
train,median_50,Median 50,12,258.3791100667757,270.82243053776745,302,collision,True,True,static.static,0,,5907.418949312602,False,0,10.991842985153198,5.30928370500078,10.98914453125,3.74951171875,0.0,0.0,0.0,0.0,29.0,5837.0,49140.0,107.6,34.0,0.4745384443902861,302,0.20085661986531284,0.03919448171853818,0.20085661986531284,4248,4185,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 240, 'median50_explore': 62}"
train,median_50,Median 50,13,-978.2227252145374,-962.3830541406294,398,collision,True,True,static.building,0,,3934.240966796875,False,0,13.311531782150269,7.123697487000754,13.30409375,3.74951171875,0.0,0.0,0.0,0.0,35.0,5837.0,49140.0,107.85,34.0,0.6202102036229405,398,0.08736865400382313,0.0389244819873682,0.08736865400382313,4646,4583,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 334, 'median50_explore': 64}"
train,median_50,Median 50,14,107.55381868824618,108.23877493682713,50,stuck,True,False,none,-1,,0.0,True,50,1.8769049644470215,0.9704281489994173,1.86894482421875,3.74951171875,0.0,0.0,0.0,0.0,30.0,5837.0,49140.0,105.74,34.0,0.9004205374419689,50,0.09467510267626494,0.012752373944855655,0.09467510267626494,4696,4633,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 47, 'median50_explore': 3}"
train,median_50,Median 50,15,107.5536680030255,108.1939698556317,50,stuck,True,False,none,-1,,0.0,True,50,1.6105239391326904,0.942800824999722,1.6076070556640625,3.74951171875,0.0,0.0,0.0,0.0,38.0,5837.0,49140.0,113.6,34.0,0.6691168454289437,50,0.005366310726822121,0.012752373944855655,0.005366310726822121,4746,4683,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 43, 'median50_explore': 7}"
train,median_50,Median 50,16,128.84358482953496,139.0180268275815,244,collision,True,True,static.building,0,,8909.5068359375,False,0,8.2334303855896,4.667781403000845,8.2306162109375,3.74951171875,0.0,0.0,0.0,0.0,31.0,5837.0,49140.0,109.84,34.0,0.7800808724962541,244,0.1279094161367479,0.04041943861751087,0.1279094161367479,4990,4927,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 205, 'median50_explore': 39}"
