phase,experiment,method,block_index,start_episode,end_episode,episodes_in_block,average_env_reward,median_env_reward,min_env_reward,max_env_reward,std_env_reward,q1_env_reward,q3_env_reward,total_wall_time_seconds,total_cpu_time_seconds,total_gpu_time_seconds,average_steps,average_loss,average_rnd_intrinsic,average_count_intrinsic,average_gpu_util_percent,max_gpu_memory_mb,learning_rate,lr_multiplier
train,standard_epsilon,Epsilon Greedy,1,0,99,100,827.5289205882823,828.9062225404884,743.2861779745798,831.1361497539929,9.408805908732926,828.124517084124,829.5603144039551,324.59857535362244,318.0613826880001,324.58566552734374,500.0,0.09396908130765284,2.207316070895572e-05,0.004676722120659849,46.77,18.20849609375,5e-05,1.0
train,standard_epsilon,Epsilon Greedy,2,100,199,100,828.9921969031047,829.1452170104217,824.0788860763892,831.0980185314759,1.1732804030842359,828.5239453728005,829.8427423970362,311.179696559906,304.9028857469997,311.1664191894531,500.0,0.1752420448684744,5.554886017053651e-07,0.001954525218071856,45.05,18.20849609375,5e-05,1.0
train,standard_epsilon,Epsilon Greedy,3,200,299,100,828.7936069594762,828.8840823106971,825.2969968090521,830.9275687272348,1.1719204149818088,828.0628262359243,829.6975364341296,321.7908570766449,315.3103635900003,321.7767399902344,500.0,0.23921367511994027,4.7166731108174045e-07,0.001641289401288268,45.06,18.20849609375,5e-05,1.0
train,standard_epsilon,Epsilon Greedy,4,300,399,100,828.5810313035478,828.9282273098415,820.1936489659138,831.2762522924216,1.5814649656027666,827.7223347911158,829.5440467716198,319.6576850414276,313.2721258390013,319.64406884765623,500.0,0.27108786662014983,3.4333096404172907e-07,0.0014662837617502491,45.08,18.20849609375,5e-05,1.0
train,standard_epsilon,Epsilon Greedy,5,400,499,100,829.1588080767104,829.2522878252032,825.7843387416498,830.9005659370116,1.1737510848843837,828.54146228568,830.0858897302815,310.98373198509216,304.8005414290001,310.96903295898437,500.0,0.2898236127802527,2.2716803532317725e-07,0.001106930465284059,46.07,18.20849609375,5e-05,1.0
train,median_50,Median 50,1,0,99,100,819.4608495736112,826.1627803470894,372.6580016687196,828.9904965625412,48.2064468912105,825.0707345320437,826.9870776949825,306.3091666698456,299.66921534299945,306.29611791992187,500.0,0.0927989288645507,1.9431460469388823e-05,0.006505938438032722,47.93,19.0361328125,5e-05,1.0
train,median_50,Median 50,2,100,199,100,825.800063814062,826.0001844604279,817.5151661580916,829.7414998200744,1.9703581748617118,824.7736356187654,827.2195720890443,308.2432482242584,301.93648027400127,308.230060546875,500.0,0.181416970308447,7.66555270119825e-07,0.002913870600200004,46.07,19.0361328125,5e-05,1.0
train,median_50,Median 50,3,200,299,100,825.3567756202615,825.9824063301207,812.2188569867919,829.6423836008636,2.6470058810893984,824.1279018587359,827.0220076980668,303.0460867881775,296.6258721910035,303.03319140625,500.0,0.23527258594446923,6.298773521685154e-07,0.0023366870684985636,44.77,19.0361328125,5e-05,1.0
train,median_50,Median 50,4,300,399,100,825.6715568415816,825.9975388203549,813.8502819573588,828.5827549468958,2.459202140252161,824.7675136554062,827.285927741068,311.3058123588562,305.2059076729993,311.2916513671875,500.0,0.27490692805742883,5.567729038617786e-07,0.0018835417846489494,46.98,19.0361328125,5e-05,1.0
train,median_50,Median 50,5,400,499,100,825.2984717307896,825.8209262424527,808.8172540310121,828.4173034590183,2.7422421932422214,824.6137613692331,827.1343986593972,306.244300365448,299.6503478619993,306.23142529296877,500.0,0.28753987349714927,4.219776604380146e-07,0.0017359747176333006,46.88,19.0361328125,5e-05,1.0
test,standard_epsilon,Epsilon Greedy,1,0,99,100,833.5802170266055,833.5802170266054,833.5802170266054,833.5802170266054,1.1368683772161603e-13,833.5802170266054,833.5802170266054,54.185635805130005,46.204891735998444,54.17444857788086,500.0,0.0,0.0,0.0,43.62,18.90673828125,5e-05,1.0
test,standard_epsilon,Epsilon Greedy,2,100,199,100,833.5802170266055,833.5802170266054,833.5802170266054,833.5802170266054,1.1368683772161603e-13,833.5802170266054,833.5802170266054,52.39930820465088,44.56647681400045,52.38605410766601,500.0,0.0,0.0,0.0,41.66,18.90673828125,5e-05,1.0
test,standard_epsilon,Epsilon Greedy,3,200,299,100,833.5802170266055,833.5802170266054,833.5802170266054,833.5802170266054,1.1368683772161603e-13,833.5802170266054,833.5802170266054,51.26308059692383,43.73975091100101,51.24943923950195,500.0,0.0,0.0,0.0,39.17,18.90673828125,5e-05,1.0
test,median_50,Median 50,1,0,99,100,833.580217026606,833.580217026606,833.580217026606,833.580217026606,0.0,833.580217026606,833.580217026606,51.40323734283447,43.81305798400035,51.38947561645508,500.0,0.0,0.0,0.0,39.94,18.90673828125,5e-05,1.0
test,median_50,Median 50,2,100,199,100,833.580217026606,833.580217026606,833.580217026606,833.580217026606,0.0,833.580217026606,833.580217026606,51.28609919548035,43.780378548999124,51.27149459838867,500.0,0.0,0.0,0.0,40.64,18.90673828125,5e-05,1.0
test,median_50,Median 50,3,200,299,100,833.580217026606,833.580217026606,833.580217026606,833.580217026606,0.0,833.580217026606,833.580217026606,51.914299726486206,44.32882544699987,51.9003625793457,500.0,0.0,0.0,0.0,43.5,18.90673828125,5e-05,1.0
